RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Viajero;2026M03;8.270.160
Total;;Viajero;2026M02;6.594.807
Total;;Viajero;2026M01;5.948.424
Total;;Viajero;2025M12;6.937.385
Total;;Viajero;2025M11;7.413.495
Total;;Viajero;2025M10;11.041.430
Total;;Viajero;2025M09;12.050.972
Total;;Viajero;2025M08;13.828.672
Total;;Viajero;2025M07;13.044.764
Total;;Viajero;2025M06;12.256.716
Total;;Viajero;2025M05;11.803.477
Total;;Viajero;2025M04;10.018.537
Total;;Viajero;2025M03;7.708.029
Total;;Viajero;2025M02;6.542.730
Total;;Viajero;2025M01;5.774.050
Total;;Viajero;2024M12;6.561.380
Total;;Viajero;2024M11;7.152.418
Total;;Viajero;2024M10;10.757.739
Total;;Viajero;2024M09;11.753.507
Total;;Viajero;2024M08;13.622.908
Total;;Viajero;2024M07;12.692.328
Total;;Viajero;2024M06;11.865.112
Total;;Viajero;2024M05;11.768.411
Total;;Viajero;2024M04;9.386.103
Total;;Viajero;2024M03;8.433.226
Total;;Viajero;2024M02;6.512.168
Total;;Viajero;2024M01;5.660.859
Total;;Viajero;2023M12;6.586.138
Total;;Viajero;2023M11;6.798.815
Total;;Viajero;2023M10;10.390.441
Total;;Viajero;2023M09;11.627.872
Total;;Viajero;2023M08;13.266.497
Total;;Viajero;2023M07;12.680.483
Total;;Viajero;2023M06;11.535.550
Total;;Viajero;2023M05;10.580.202
Total;;Viajero;2023M04;9.829.384
Total;;Viajero;2023M03;7.361.364
Total;;Viajero;2023M02;5.967.064
Total;;Viajero;2023M01;5.367.962
Total;;Viajero;2022M12;6.054.556
Total;;Viajero;2022M11;6.284.698
Total;;Viajero;2022M10;9.743.259
Total;;Viajero;2022M09;11.050.305
Total;;Viajero;2022M08;12.889.916
Total;;Viajero;2022M07;12.292.936
Total;;Viajero;2022M06;10.990.468
Total;;Viajero;2022M05;9.920.671
Total;;Viajero;2022M04;8.689.822
Total;;Viajero;2022M03;6.061.398
Total;;Viajero;2022M02;5.133.961
Total;;Viajero;2022M01;3.770.578
Total;;Pernoctaciones;2026M03;23.606.982
Total;;Pernoctaciones;2026M02;18.564.904
Total;;Pernoctaciones;2026M01;17.395.903
Total;;Pernoctaciones;2025M12;18.546.462
Total;;Pernoctaciones;2025M11;20.301.411
Total;;Pernoctaciones;2025M10;34.281.206
Total;;Pernoctaciones;2025M09;39.420.118
Total;;Pernoctaciones;2025M08;48.181.913
Total;;Pernoctaciones;2025M07;44.691.923
Total;;Pernoctaciones;2025M06;38.982.683
Total;;Pernoctaciones;2025M05;35.565.862
Total;;Pernoctaciones;2025M04;29.070.077
Total;;Pernoctaciones;2025M03;22.393.743
Total;;Pernoctaciones;2025M02;18.373.966
Total;;Pernoctaciones;2025M01;16.830.947
Total;;Pernoctaciones;2024M12;18.025.526
