Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2026M03;787.339
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2026M02;614.920
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2026M01;538.799
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M12;685.108
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M11;685.893
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M10;843.852
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M09;1.021.623
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M08;1.333.873
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M07;1.221.977
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M06;1.099.444
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M05;955.855
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M04;857.178
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M03;693.640
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M02;676.294
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2025M01;537.216
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M12;643.956
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M11;673.668
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M10;795.523
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M09;987.854
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M08;1.260.924
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M07;1.135.161
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M06;1.103.063
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M05;1.011.206
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M04;874.510
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M03;860.283
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M02;705.236
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2024M01;569.160
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M12;710.935
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M11;673.931
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M10;881.182
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M09;1.040.799
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M08;1.352.621
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M07;1.280.780
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M06;1.118.880
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M05;920.523
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M04;980.532
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M03;804.822
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M02;700.088
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2023M01;571.285
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M12;648.223
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M11;666.655
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M10;867.663
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M09;1.092.918
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M08;1.370.076
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M07;1.324.060
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M06;1.168.278
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M05;1.003.842
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M04;967.766
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M03;695.459
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M02;683.530
Total Nacional;01 Andalucía;;Total;Residentes en España;Viajero;2022M01;462.136
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2026M03;1.682.802
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2026M02;1.197.050
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2026M01;1.042.918
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M12;1.309.357
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M11;1.311.490
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M10;1.703.330
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M09;2.624.618
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M08;4.125.912
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M07;3.636.198
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M06;2.645.739
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M05;2.210.388
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M04;2.003.776
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M03;1.504.607
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M02;1.311.157
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2025M01;998.142
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2024M12;1.244.788
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2024M11;1.294.175
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2024M10;1.665.690
Total Nacional;01 Andalucía;;Total;Residentes en España;Pernoctaciones;2024M09;2.512.737
