concepto,elemento,estadistico,desglose,categoria,unidadMedida,ola,valor,errorEstandar
CONOCIMIENTOS FINANCIEROS,INFLACION_CORRECTAS,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,58.20085907,0
CONOCIMIENTOS FINANCIEROS,INFLACION_INCORRECTAS,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,32.6615715,0
CONOCIMIENTOS FINANCIEROS,INFLACION_NO SABE,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,8.9248209,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_CORRECTAS,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,45.68555832,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_INCORRECTAS,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,43.67771149,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_NO SABE,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,10.39014721,0
CONOCIMIENTOS FINANCIEROS,DIVERSIFICACION RIESGO_CORRECTAS,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,48.50449371,0
CONOCIMIENTOS FINANCIEROS,DIVERSIFICACION RIESGO_INCORRECTAS,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,24.08043098,0
CONOCIMIENTOS FINANCIEROS,DIVERSIFICACION RIESGO_NO SABE,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,27.2233963,0
CONOCIMIENTOS FINANCIEROS,INDICE TRES PREGUNTAS_CORRECTAS,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,50.79697037,0
CONOCIMIENTOS FINANCIEROS,INDICE TRES PREGUNTAS_INCORRECTAS,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,33.47323608,0
CONOCIMIENTOS FINANCIEROS,INDICE TRES PREGUNTAS_NO SABE,PORCENTAJE DE RESPUESTAS,Todos los individuos,Todos los individuos,%,2016,15.51278782,0
CONOCIMIENTOS FINANCIEROS,INFLACION_CORRECTAS,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.6133268,1
CONOCIMIENTOS FINANCIEROS,INFLACION_INCORRECTAS,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.5845561,1
CONOCIMIENTOS FINANCIEROS,INFLACION_NO SABE,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.345801,1
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_CORRECTAS,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.5923694,1
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_INCORRECTAS,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.5998745,1
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_NO SABE,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.3565129,1
CONOCIMIENTOS FINANCIEROS,DIVERSIFICACION RIESGO_CORRECTAS,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.6237134,1
CONOCIMIENTOS FINANCIEROS,DIVERSIFICACION RIESGO_INCORRECTAS,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.5160178,1
CONOCIMIENTOS FINANCIEROS,DIVERSIFICACION RIESGO_NO SABE,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.5582686,1
CONOCIMIENTOS FINANCIEROS,INDICE TRES PREGUNTAS_CORRECTAS,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.3914241,1
CONOCIMIENTOS FINANCIEROS,INDICE TRES PREGUNTAS_INCORRECTAS,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.348904,1
CONOCIMIENTOS FINANCIEROS,INDICE TRES PREGUNTAS_NO SABE,PORCENTAJE DE RESPUESTAS,TOTAL,TOTAL,%,2016,0.3042703,1
CONOCIMIENTOS FINANCIEROS,INFLACION_CORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 18 y 34,%,2016,49.46765137,0
CONOCIMIENTOS FINANCIEROS,INFLACION_INCORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 18 y 34,%,2016,43.22806168,0
CONOCIMIENTOS FINANCIEROS,INFLACION_NO SABE,PORCENTAJE DE RESPUESTAS,EDAD,Entre 18 y 34,%,2016,7.096574306,0
CONOCIMIENTOS FINANCIEROS,INFLACION_CORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 35 y 44,%,2016,59.01486969,0
CONOCIMIENTOS FINANCIEROS,INFLACION_INCORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 35 y 44,%,2016,34.0255928,0
CONOCIMIENTOS FINANCIEROS,INFLACION_NO SABE,PORCENTAJE DE RESPUESTAS,EDAD,Entre 35 y 44,%,2016,6.824914455,0
CONOCIMIENTOS FINANCIEROS,INFLACION_CORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 45 y 54,%,2016,64.74649048,0
CONOCIMIENTOS FINANCIEROS,INFLACION_INCORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 45 y 54,%,2016,28.6431694,0
CONOCIMIENTOS FINANCIEROS,INFLACION_NO SABE,PORCENTAJE DE RESPUESTAS,EDAD,Entre 45 y 54,%,2016,6.569346905,0
CONOCIMIENTOS FINANCIEROS,INFLACION_CORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 55 y 64,%,2016,63.24263382,0
CONOCIMIENTOS FINANCIEROS,INFLACION_INCORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 55 y 64,%,2016,27.55307007,0
CONOCIMIENTOS FINANCIEROS,INFLACION_NO SABE,PORCENTAJE DE RESPUESTAS,EDAD,Entre 55 y 64,%,2016,8.829444885,0
CONOCIMIENTOS FINANCIEROS,INFLACION_CORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 65 y 79,%,2016,56.88360977,0
CONOCIMIENTOS FINANCIEROS,INFLACION_INCORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 65 y 79,%,2016,25.47050667,0
CONOCIMIENTOS FINANCIEROS,INFLACION_NO SABE,PORCENTAJE DE RESPUESTAS,EDAD,Entre 65 y 79,%,2016,17.27235413,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_CORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 18 y 34,%,2016,45.9852066,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_INCORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 18 y 34,%,2016,47.06541443,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_NO SABE,PORCENTAJE DE RESPUESTAS,EDAD,Entre 18 y 34,%,2016,6.826039314,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_CORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 35 y 44,%,2016,50.47497559,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_INCORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 35 y 44,%,2016,44.10248566,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_NO SABE,PORCENTAJE DE RESPUESTAS,EDAD,Entre 35 y 44,%,2016,5.369694233,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_CORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 45 y 54,%,2016,48.2939682,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_INCORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 45 y 54,%,2016,44.06068039,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_NO SABE,PORCENTAJE DE RESPUESTAS,EDAD,Entre 45 y 54,%,2016,7.298605919,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_CORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 55 y 64,%,2016,45.89489365,0
CONOCIMIENTOS FINANCIEROS,TIPO INTERES COMPUESTO_INCORRECTAS,PORCENTAJE DE RESPUESTAS,EDAD,Entre 55 y 64,%,2016,41.39468765,0
