Periodo,Menor 34,35-44,45-54,55-64,65 o más,Total_pobl,Crecimiento_pobl,Edad_media,Ind_envejecer,Saldo_vegetativo,Saldo_migratorio,Tasa_mortalidad,Tasa_natalidad
2026,17551549.654908,6593651.444881,8133931.720871,7168322.578384,10462800.966041,49912282.365085,"11,866794","44,711298","153,941008","-2,534351","14,401145","9,276262","6,741911"
2027,17723764.978762,6568481.987037,8162352.33995,7321511.304566,10729955.66743,50508093.27774499,"10,397509","44,888040","159,641397","-2,456478","12,853987","9,255500","6,799022"
2028,17846417.206846,6565151.1784729995,8147892.742451,7470007.090434,11004479.66703,51035975.885234,"8,884314","45,075277","165,553194","-2,391228","11,275542","9,247679","6,856451"
2029,17935435.413102,6571732.066056,8092160.121164,7597356.021767,11292688.949875,51491401.571963996,"7,482023","45,273068","171,747256","-2,344531","9,826554","9,258558","6,914027"
2030,17994917.404946,6572784.769044,7994228.209765,7708279.992712,11605853.478452,51878093.854919,"6,271706","45,479698","177,995952","-2,313756","8,585462","9,286330","6,972574"
2031,18023909.611662,6578049.051232,7866697.979084,7831686.956838,11902095.124968,52204469.723784,"5,282207","45,692629","184,398327","-2,295819","7,578026","9,329188","7,033369"
2032,18025907.757517,6588812.974731,7713924.3057039995,7954285.216298,12195982.745622,52480944.999872,"4,508795","45,908968","190,799344","-2,289001","6,797796","9,386697","7,097696"
2033,18001675.937539,6607933.889373001,7561499.903706,8045918.906918,12499035.677661,52718097.315197006,"3,928678","46,125685","197,213161","-2,291601","6,220279","9,457570","7,165969"
2034,17969913.116356,6618961.805639,7412038.778216,8132516.450305,12790146.234356,52925610.384872004,"3,510998","46,339900","202,920685","-2,301535","5,812533","9,539604","7,238069"
2035,17917116.843787,6644628.748454,7285432.030914,8182161.762422,13080378.326331,53111752.711908,"3,222473","46,549073","207,875033","-2,316932","5,539405","9,630037","7,313105"
2036,17848984.494612,6683842.096267,7170402.387761001,8206681.740313,13371227.805038,53283174.523990996,"3,025926","46,751092","212,238496","-2,341708","5,367634","9,730181","7,388473"
