Periodo,<=25,26-35,36-45,46-55,56-65,65+,Total_pobl,Crecimiento_pobl,Edad_media,Ind_envejecer,Saldo_vegetativo,Saldo_migratorio,Tasa_mortalidad,Tasa_natalidad
2026,12376813.343544,5779888.16409,6768906.30715,8122847.568781,7034527.692608,9827273.288912,49912282.365085,"11,866794","44,711298","153,941008","-2,534351","14,401145","9,276262","6,741911"
2027,12425158.026935,5912825.662283,6712989.71136,8189565.251917,7172271.336392,10093256.288858,50508093.27774499,"10,397509","44,888040","159,641397","-2,456478","12,853987","9,255500","6,799022"
2028,12447733.116632,6029973.864789,6676138.199283,8210232.346207,7319271.553472,10350598.804851,51035975.885234,"8,884314","45,075277","165,553194","-2,391228","11,275542","9,247679","6,856451"
2029,12439469.739535,6126196.563457,6659929.633676,8187605.236607,7461381.370938,10614790.027751,51491401.571964,"7,482023","45,273068","171,747256","-2,344531","9,826554","9,258558","6,914027"
2030,12390135.002929,6232176.632584,6654063.708991,8124339.216351,7582961.335598,10892387.958466,51878093.854919,"6,271706","45,479698","177,995952","-2,313756","8,585462","9,286330","6,972574"
2031,12313726.920507,6340637.580813,6644113.210151,8020115.350513,7688969.37724,11194876.28456,52204469.723784,"5,282207","45,692629","184,398327","-2,295819","7,578026","9,329188","7,033369"
2032,12222254.203362,6439714.223639,6640249.301269,7887626.381767,7808195.207669999,11480873.682165,52480944.999872,"4,508795","45,908968","190,799344","-2,289001","6,797796","9,386697","7,097696"
2033,12114419.13355,6534361.782285,6643870.442758,7731228.248094,7927434.024366,11764750.684144,52718097.315197,"3,928678","46,125685","197,213161","-2,291601","6,220279","9,457570","7,165969"
2034,11998239.644134,6616955.272526,6657672.389623,7576282.482718,8016642.581393,12057784.014478,52925610.384872004,"3,510998","46,339900","202,920685","-2,301535","5,812533","9,539604","7,238069"
2035,11861979.790403001,6717060.250566,6665054.9752360005,7425213.351247,8101444.407773,12338964.936683001,53111752.711908,"3,222473","46,549073","207,875033","-2,316932","5,539405","9,630037","7,313105"
2036,11749486.446836,6776514.306085,6688302.36978,7297655.898263,8149894.285076,12619285.217951,53283174.523991,"3,025926","46,751092","212,238496","-2,341708","5,367634","9,730181","7,388473"
