motivo,segmento,año,valor,motivo_corto
Dificultad para acceder a ayudas o subvenciones públicas,50-499 empleados,2019,29.73,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,50-499 empleados,2020,27.343,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,50-499 empleados,2021,28.276,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,50-499 empleados,2022,26.896,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,50-499 empleados,2023,28.589,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,50-499 empleados,2024,27.767,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Servicios,2019,44.126,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Servicios,2020,37.524,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Servicios,2021,39.018,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Servicios,2022,42.519,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Servicios,2023,41.167,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Servicios,2024,37.397999999999996,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Todas las empresas,2019,42.879999999999995,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Todas las empresas,2020,37.057,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Todas las empresas,2021,39.111000000000004,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Todas las empresas,2022,42.278,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Todas las empresas,2023,41.336,Dificultad subvenciones
Dificultad para acceder a ayudas o subvenciones públicas,Todas las empresas,2024,37.252,Dificultad subvenciones
El alto coste de los cursos de formación,50-499 empleados,2019,39.266,Alto coste
El alto coste de los cursos de formación,50-499 empleados,2020,34.06,Alto coste
El alto coste de los cursos de formación,50-499 empleados,2021,36.454,Alto coste
El alto coste de los cursos de formación,50-499 empleados,2022,37.563,Alto coste
El alto coste de los cursos de formación,50-499 empleados,2023,39.072,Alto coste
El alto coste de los cursos de formación,50-499 empleados,2024,36.299,Alto coste
El alto coste de los cursos de formación,Servicios,2019,45.63,Alto coste
El alto coste de los cursos de formación,Servicios,2020,40.301,Alto coste
El alto coste de los cursos de formación,Servicios,2021,40.131,Alto coste
El alto coste de los cursos de formación,Servicios,2022,44.484,Alto coste
El alto coste de los cursos de formación,Servicios,2023,41.732,Alto coste
El alto coste de los cursos de formación,Servicios,2024,42.31,Alto coste
El alto coste de los cursos de formación,Todas las empresas,2019,44.669,Alto coste
El alto coste de los cursos de formación,Todas las empresas,2020,39.763999999999996,Alto coste
El alto coste de los cursos de formación,Todas las empresas,2021,40.5,Alto coste
El alto coste de los cursos de formación,Todas las empresas,2022,44.2,Alto coste
El alto coste de los cursos de formación,Todas las empresas,2023,43.299,Alto coste
El alto coste de los cursos de formación,Todas las empresas,2024,41.786,Alto coste
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,50-499 empleados,2019,65.481,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,50-499 empleados,2020,52.354,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,50-499 empleados,2021,52.561,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,50-499 empleados,2022,55.245,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,50-499 empleados,2023,55.509,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,50-499 empleados,2024,57.919,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Servicios,2019,63.038,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Servicios,2020,52.749,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Servicios,2021,52.941,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Servicios,2022,56.111999999999995,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Servicios,2023,55.886,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Servicios,2024,56.15599999999999,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Todas las empresas,2019,63.20399999999999,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Todas las empresas,2020,53.054,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Todas las empresas,2021,54.332,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Todas las empresas,2022,57.002,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Todas las empresas,2023,56.312,Carga de trabajo
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,Todas las empresas,2024,56.387,Carga de trabajo
