categoria,TOTAL (2),Cursos de formación  diseñados y gestionados por su empresa,Cursos de formación diseñados y gestionados por otra organización,"Formación planificada en el puesto de trabajo, utilizando los medios habituales de trabajo","Aprendizaje planificado a partir de rotación de puestos de trabajo, intercambios, etc.","Participación en conferencias, seminarios, grupos de trabajo, talleres o ferias de muestras",TOTAL
TOTAL,72.93225066562165,33.51467956239851,72.11851114350847,58.49423366402352,26.92379112391202,34.063854417301776,
TAMAÑO DE LA EMPRESA,,,,,,,
De 5 a 9 trabajadores,64.67073011400753,27.452633797992043,66.49714089962845,54.59520233295564,26.269466916124273,31.31132133477386,
De 10 a 49 trabajadores,79.01339409003037,33.32838181452776,74.86871193519919,59.676869708064274,25.1199286981292,32.65817918090228,
De 50 a 249 trabajadores,94.06451612903226,58.117773858514596,85.30276308054086,69.11130707427003,36.57652361356065,51.00921026846953,
De 250 a 499 trabajadores,98.31393014853472,77.13352388730094,84.64679461004492,76.92935892200899,42.017149857084526,60.96365863617803,
Más de 499 trabajadores,99.18864097363083,85.88957055214723,85.07157464212679,82.36196319018404,50.86912065439673,66.00204498977506,
ACTIVIDAD ECONÓMICA,,,,,,,
Industria,78.35676245318881,35.33551083145204,72.39300638839522,61.64080887650704,33.150007204957014,30.577837552235938,
Construcción,79.31080868999842,25.60565371024735,78.54982332155477,63.259363957597174,22.894699646643108,21.925088339222615,
Comercio y reparación de vehículos,70.70276923076923,34.418410333182464,72.64735577759983,58.60286181805522,28.884517633951884,40.04630435539463,
Transporte y almacenamiento,79.53575782202357,29.93166868893288,78.44051344274858,53.04936458266811,20.15454371288077,17.306341401111183,
Hostelería,58.38778216208444,23.458918164655667,63.714465512052314,58.23415141317136,24.857041232318256,17.40403294207776,
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",81.27472527472527,47.98539751216874,69.17252568956192,56.42915089237426,29.583558680367766,54.28610059491617,
"Actividades profesionales, científicas y técnicas",82.79253436650151,44.89740820734341,73.32163426925845,56.02951763858891,24.586033117350613,61.258099352051836,
Actividades administrativas y servicios auxiliares,72.70553996466064,36.89063616869192,76.65475339528234,56.93352394567548,25.153681200857754,34.38170121515368,
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",71.84619681593892,37.50161980044059,65.13541531683296,51.76882208111961,26.247246339251003,46.65025268886873,
COMUNIDAD AUTÓNOMA,,,,,,,
Andalucía ,73.30828445747801,26.799509963247242,73.86553991549366,55.196639747981095,24.94187064029802,28.039602970222766,
Aragón ,78.90235210263721,31.87508065556846,73.13201703445606,58.8333978577881,29.1908633372048,33.92695831720222,
