Año,Competencia,Sector Servicios (%),Peer Group 250-499 (%),Cataluña (%)
2019,Dirección/Gestión,17.043336913297146,30.25616239729338,18.48374848750365
2019,Trabajo en Equipo,28.287132448985517,30.352827452875786,28.009346184336795
2019,Atención al Cliente,33.69307131868451,25.374577090381827,24.191596778904326
2019,Administrativas/Oficina,14.50001451336681,14.644755920734655,11.9810572871031
2019,Técnica Específica,44.11773243156948,54.27742870952151,47.584178245086996
2019,Resolución Problemas,12.596441322457984,13.968100531657806,12.980347978470396
2019,Idiomas,10.750341064120054,34.7027549540841,14.586723411357283
2019,TIC Generales,11.545093030681258,23.537941034316095,11.956022864772395
2019,TIC Profesionales,6.684856753069577,9.424842919284679,8.015187549547294
2019,Cálculo/Comunicación,1.582537517053206,2.9966167230546157,1.2079108774565026
2020,Dirección/Gestión,15.581088992974239,23.03282959874935,10.595408656248958
2020,Trabajo en Equipo,23.00021955503513,22.928608650338717,18.798520641055543
2020,Atención al Cliente,23.86380269320843,18.60343929129755,18.531969479892048
2020,Administrativas/Oficina,11.129610655737705,10.057321521625846,9.156032385966082
2020,Técnica Específica,47.535494730679154,62.7931214174049,53.99326958318062
2020,Resolución Problemas,12.245682084309134,13.757165190203231,13.973944623996267
2020,Idiomas,9.969628220140516,29.963522668056278,13.670742678172791
2020,TIC Generales,12.731447599531617,22.35539343408025,13.061006897011294
2020,TIC Profesionales,5.549253512880562,10.369984366857738,5.8507979875387335
2020,Cálculo/Comunicación,0.700746487119438,1.354872329338197,0.749675140772332
2021,Dirección/Gestión,19.073772763121433,26.42626480086114,21.411395713538944
2021,Trabajo en Equipo,26.98322474297123,29.44025834230355,26.879247255619447
2021,Atención al Cliente,26.4055761210149,18.353067814854683,15.381599581808677
2021,Administrativas/Oficina,18.718515308043738,13.078579117330463,19.79874542603241
2021,Técnica Específica,39.18276575033927,52.529601722282024,47.004704652378464
2021,Resolución Problemas,11.06058560638895,13.02475780409042,10.094093047569263
2021,Idiomas,8.701676104673057,30.893433799784713,11.231050705697857
2021,TIC Generales,15.801141086945709,22.604951560818083,16.194458964976477
2021,TIC Profesionales,6.528921509417875,11.410118406889127,6.949817041296393
2021,Cálculo/Comunicación,2.3901721577627306,3.821313240043057,1.3512807109252483
2022,Dirección/Gestión,14.900472233845418,24.22680412371134,13.059921001764854
2022,Trabajo en Equipo,27.229362185426506,29.053420805998126,26.491721993444827
2022,Atención al Cliente,31.00962400621675,18.134957825679475,23.972602739726028
2022,Administrativas/Oficina,17.280769920497338,11.715089034676664,14.425581981679132
2022,Técnica Específica,33.12570984517903,53.608247422680414,42.13799478947811
2022,Resolución Problemas,12.085599856536554,15.55763823805061,11.68165392049752
2022,Idiomas,10.159603084464104,28.8659793814433,9.969325153374234
2022,TIC Generales,13.186681810030485,20.89971883786317,14.13564165055887
2022,TIC Profesionales,6.321358120628848,8.200562324273664,6.4228086393814605
2022,Cálculo/Comunicación,1.9977284954271026,4.404873477038426,1.9455416421548029
2023,Dirección/Gestión,11.605946351102732,19.844834626378113,11.366823393549451
2023,Trabajo en Equipo,27.32357417039544,28.460596161698653,26.903406747504743
2023,Atención al Cliente,27.663706362005133,20.048999591670068,20.386867936979296
2023,Administrativas/Oficina,16.43423353851046,14.250714577378522,17.460612059721193
2023,Técnica Específica,33.40109478274695,45.77378521845651,39.38794027880888
2023,Resolución Problemas,13.872169350625752,13.719885667619437,14.394126866287223
2023,Idiomas,9.121675335589524,29.236423029808083,11.183287965025158
2023,TIC Generales,12.771708269925274,19.926500612494895,12.952651983832384
2023,TIC Profesionales,7.41533604379131,8.697427521437321,6.82793038026891
2023,Cálculo/Comunicación,2.2582733322733777,4.001633319722336,2.5303142786439
2024,Dirección/Gestión,16.439152691584518,25.322391559202813,16.39904610492846
2024,Trabajo en Equipo,30.078035844319576,34.15396639312231,28.994435612082672
2024,Atención al Cliente,31.456161897205707,21.570926143024618,27.003179650238472
2024,Administrativas/Oficina,16.99453314349683,12.817506838608832,15.007949125596184
2024,Técnica Específica,44.985816604897344,55.76397030089879,50.29213036565978
2024,Resolución Problemas,10.889695573259138,15.787416959749903,9.848966613672497
2024,Idiomas,8.258974665521851,27.471668620554905,10.26033386327504
2024,TIC Generales,13.84158071493006,21.492770613520907,16.28974562798092
2024,TIC Profesionales,5.807584040691672,7.854630715123095,5.9360095389507155
2024,Cálculo/Comunicación,1.2661804823441185,2.1101992966002343,1.2221780604133545
