Tipo de alojamiento,Total Nacional,Comunidades y Ciudades Autónomas,Residencia: Nivel 2,Viajeros y pernoctaciones,Periodo,Total,año,mes,cod_comunidad,nombre_comunidad
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M12,6937385,2025,12,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M11,7413495,2025,11,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M10,11041430,2025,10,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M09,12050972,2025,9,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M08,13828672,2025,8,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M07,13044764,2025,7,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M06,12256716,2025,6,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M05,11803477,2025,5,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M04,10049832,2025,4,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M03,7708029,2025,3,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M02,6542730,2025,2,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2025M01,5774050,2025,1,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M12,6561380,2024,12,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M11,7152418,2024,11,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M10,10757739,2024,10,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M09,11753507,2024,9,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M08,13622908,2024,8,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M07,12692328,2024,7,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M06,11865112,2024,6,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M05,11768411,2024,5,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M04,9386103,2024,4,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M03,8433226,2024,3,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M02,6512168,2024,2,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2024M01,5660859,2024,1,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M12,6586138,2023,12,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M11,6798815,2023,11,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M10,10390441,2023,10,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M09,11627872,2023,9,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M08,13266497,2023,8,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M07,12680483,2023,7,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M06,11535550,2023,6,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M05,10580202,2023,5,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M04,9829384,2023,4,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M03,7361364,2023,3,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M02,5967064,2023,2,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2023M01,5367962,2023,1,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M12,6054556,2022,12,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M11,6284698,2022,11,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M10,9743259,2022,10,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M09,11050305,2022,9,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M08,12889916,2022,8,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M07,12292936,2022,7,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M06,10990468,2022,6,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M05,9920671,2022,5,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M04,8689822,2022,4,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M03,6061398,2022,3,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M02,5133961,2022,2,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2022M01,3770578,2022,1,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M12,4881952,2021,12,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M11,5391958,2021,11,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M10,8131666,2021,10,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M09,8256057,2021,9,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M08,10408035,2021,8,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M07,8544001,2021,7,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M06,5676067,2021,6,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M05,3404118,2021,5,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M04,1955719,2021,4,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M03,1770722,2021,3,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M02,1179236,2021,2,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Viajero,2021M01,1124601,2021,1,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Pernoctaciones,2025M12,18546462,2025,12,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Pernoctaciones,2025M11,20301411,2025,11,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Pernoctaciones,2025M10,34281206,2025,10,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Pernoctaciones,2025M09,39420118,2025,9,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Pernoctaciones,2025M08,48181913,2025,8,,
Encuesta de Ocupación Hotelera,Total Nacional,,,Pernoctaciones,2025M07,44691923,2025,7,,
