Puntos turísticos,Viajeros y pernoctaciones,Residencia,Periodo,Total,año,mes,cod_postal_ciudad,nombre_ciudad
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M12,23737,2025,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M11,21544,2025,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M10,24269,2025,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M09,23576,2025,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M08,27284,2025,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M07,22343,2025,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M06,25329,2025,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M05,25331,2025,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M04,24413,2025,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M03,23347,2025,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M02,19328,2025,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2025M01,19025,2025,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M12,23319,2024,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M11,21985,2024,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M10,22711,2024,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M09,26563,2024,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M08,26767,2024,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M07,22423,2024,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M06,21594,2024,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M05,23981,2024,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M04,20985,2024,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M03,25215,2024,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M02,18285,2024,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2024M01,16373,2024,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M12,20667,2023,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M11,20538,2023,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M10,21847,2023,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M09,23465,2023,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M08,26444,2023,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M07,21296,2023,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M06,19548,2023,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M05,19362,2023,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M04,19750,2023,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M03,19246,2023,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M02,15741,2023,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2023M01,17140,2023,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M12,19285,2022,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M11,17948,2022,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M10,20978,2022,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M09,20487,2022,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M08,23797,2022,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M07,21469,2022,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M06,18710,2022,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M05,19550,2022,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M04,19741,2022,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M03,18452,2022,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M02,14676,2022,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2022M01,11658,2022,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M12,16766,2021,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M11,16728,2021,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M10,21467,2021,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M09,18647,2021,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M08,26661,2021,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en España,2021M07,19567,2021,7,01059,Vitoria-Gasteiz
