RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Periodo,Total,año,mes
Total,,Viajero,2025M12,6937385,2025,12
Total,,Viajero,2025M11,7413495,2025,11
Total,,Viajero,2025M10,11041430,2025,10
Total,,Viajero,2025M09,12050972,2025,9
Total,,Viajero,2025M08,13828672,2025,8
Total,,Viajero,2025M07,13044764,2025,7
Total,,Viajero,2025M06,12256716,2025,6
Total,,Viajero,2025M05,11803477,2025,5
Total,,Viajero,2025M04,10049832,2025,4
Total,,Viajero,2025M03,7708029,2025,3
Total,,Viajero,2025M02,6542730,2025,2
Total,,Viajero,2025M01,5774050,2025,1
Total,,Viajero,2024M12,6561380,2024,12
Total,,Viajero,2024M11,7152418,2024,11
Total,,Viajero,2024M10,10757739,2024,10
Total,,Viajero,2024M09,11753507,2024,9
Total,,Viajero,2024M08,13622908,2024,8
Total,,Viajero,2024M07,12692328,2024,7
Total,,Viajero,2024M06,11865112,2024,6
Total,,Viajero,2024M05,11768411,2024,5
Total,,Viajero,2024M04,9386103,2024,4
Total,,Viajero,2024M03,8433226,2024,3
Total,,Viajero,2024M02,6512168,2024,2
Total,,Viajero,2024M01,5660859,2024,1
Total,,Viajero,2023M12,6586138,2023,12
Total,,Viajero,2023M11,6798815,2023,11
Total,,Viajero,2023M10,10390441,2023,10
Total,,Viajero,2023M09,11627872,2023,9
Total,,Viajero,2023M08,13266497,2023,8
Total,,Viajero,2023M07,12680483,2023,7
Total,,Viajero,2023M06,11535550,2023,6
Total,,Viajero,2023M05,10580202,2023,5
Total,,Viajero,2023M04,9829384,2023,4
Total,,Viajero,2023M03,7361364,2023,3
Total,,Viajero,2023M02,5967064,2023,2
Total,,Viajero,2023M01,5367962,2023,1
Total,,Viajero,2022M12,6054556,2022,12
Total,,Viajero,2022M11,6284698,2022,11
Total,,Viajero,2022M10,9743259,2022,10
Total,,Viajero,2022M09,11050305,2022,9
Total,,Viajero,2022M08,12889916,2022,8
Total,,Viajero,2022M07,12292936,2022,7
Total,,Viajero,2022M06,10990468,2022,6
Total,,Viajero,2022M05,9920671,2022,5
Total,,Viajero,2022M04,8689822,2022,4
Total,,Viajero,2022M03,6061398,2022,3
Total,,Viajero,2022M02,5133961,2022,2
Total,,Viajero,2022M01,3770578,2022,1
Total,,Viajero,2021M12,4881952,2021,12
Total,,Viajero,2021M11,5391958,2021,11
Total,,Viajero,2021M10,8131666,2021,10
Total,,Viajero,2021M09,8256057,2021,9
Total,,Viajero,2021M08,10408035,2021,8
Total,,Viajero,2021M07,8544001,2021,7
Total,,Viajero,2021M06,5676067,2021,6
Total,,Viajero,2021M05,3404118,2021,5
Total,,Viajero,2021M04,1955719,2021,4
Total,,Viajero,2021M03,1770722,2021,3
Total,,Viajero,2021M02,1179236,2021,2
Total,,Viajero,2021M01,1124601,2021,1
Total,,Pernoctaciones,2025M12,18546462,2025,12
Total,,Pernoctaciones,2025M11,20301411,2025,11
Total,,Pernoctaciones,2025M10,34281206,2025,10
Total,,Pernoctaciones,2025M09,39420118,2025,9
Total,,Pernoctaciones,2025M08,48181913,2025,8
Total,,Pernoctaciones,2025M07,44691923,2025,7
Total,,Pernoctaciones,2025M06,38982683,2025,6
Total,,Pernoctaciones,2025M05,35565862,2025,5
Total,,Pernoctaciones,2025M04,28957925,2025,4
Total,,Pernoctaciones,2025M03,22393743,2025,3
Total,,Pernoctaciones,2025M02,18373966,2025,2
Total,,Pernoctaciones,2025M01,16830947,2025,1
Total,,Pernoctaciones,2024M12,18025526,2024,12
Total,,Pernoctaciones,2024M11,19978052,2024,11
Total,,Pernoctaciones,2024M10,33836772,2024,10
Total,,Pernoctaciones,2024M09,38965938,2024,9
Total,,Pernoctaciones,2024M08,47760600,2024,8
Total,,Pernoctaciones,2024M07,43918939,2024,7
Total,,Pernoctaciones,2024M06,38185201,2024,6
Total,,Pernoctaciones,2024M05,35701080,2024,5
Total,,Pernoctaciones,2024M04,27099375,2024,4
Total,,Pernoctaciones,2024M03,24520234,2024,3
Total,,Pernoctaciones,2024M02,18581766,2024,2
Total,,Pernoctaciones,2024M01,16491597,2024,1
Total,,Pernoctaciones,2023M12,17913857,2023,12
Total,,Pernoctaciones,2023M11,19023828,2023,11
Total,,Pernoctaciones,2023M10,32415687,2023,10
Total,,Pernoctaciones,2023M09,37980229,2023,9
Total,,Pernoctaciones,2023M08,46695607,2023,8
Total,,Pernoctaciones,2023M07,43109417,2023,7
Total,,Pernoctaciones,2023M06,36255025,2023,6
Total,,Pernoctaciones,2023M05,32187667,2023,5
Total,,Pernoctaciones,2023M04,28046754,2023,4
Total,,Pernoctaciones,2023M03,20597741,2023,3
Total,,Pernoctaciones,2023M02,16816547,2023,2
Total,,Pernoctaciones,2023M01,15472477,2023,1
Total,,Pernoctaciones,2022M12,16627833,2022,12
Total,,Pernoctaciones,2022M11,17661676,2022,11
Total,,Pernoctaciones,2022M10,29865924,2022,10
Total,,Pernoctaciones,2022M09,35999861,2022,9
Total,,Pernoctaciones,2022M08,46140100,2022,8
Total,,Pernoctaciones,2022M07,42121775,2022,7
Total,,Pernoctaciones,2022M06,35111326,2022,6
Total,,Pernoctaciones,2022M05,29785395,2022,5
Total,,Pernoctaciones,2022M04,25197638,2022,4
Total,,Pernoctaciones,2022M03,17632648,2022,3
Total,,Pernoctaciones,2022M02,13623546,2022,2
Total,,Pernoctaciones,2022M01,10598385,2022,1
Total,,Pernoctaciones,2021M12,13220155,2021,12
Total,,Pernoctaciones,2021M11,14930647,2021,11
Total,,Pernoctaciones,2021M10,23935219,2021,10
Total,,Pernoctaciones,2021M09,25679512,2021,9
Total,,Pernoctaciones,2021M08,34460041,2021,8
Total,,Pernoctaciones,2021M07,26351353,2021,7
Total,,Pernoctaciones,2021M06,14259621,2021,6
Total,,Pernoctaciones,2021M05,7342738,2021,5
Total,,Pernoctaciones,2021M04,4142415,2021,4
Total,,Pernoctaciones,2021M03,3588559,2021,3
Total,,Pernoctaciones,2021M02,2436961,2021,2
Total,,Pernoctaciones,2021M01,2459473,2021,1
Total,Residentes en España,Viajero,2025M12,3777442,2025,12
