,age,job,marital,education,age_scaled,cluster,deposit,loan,housing,total_products_bought
0,59,admin.,married,secondary,1.485349703560648,0,1,0,1,2
1,56,admin.,married,secondary,1.2341717008360769,0,1,0,0,1
2,41,technician,married,secondary,-0.02171831278677903,1,1,0,1,2
3,55,services,married,secondary,1.1504456999278865,0,1,0,1,2
4,54,admin.,married,tertiary,1.066719699019696,0,1,0,0,1
5,42,management,single,tertiary,0.062007688121411365,2,1,1,1,3
6,56,management,married,tertiary,1.2341717008360769,0,1,1,1,3
7,60,retired,divorced,secondary,1.5690757044688384,0,1,0,1,2
8,37,technician,married,secondary,-0.3566223164195406,1,1,0,1,2
9,28,services,single,secondary,-1.1101563245932542,3,1,0,1,2
10,38,admin.,single,secondary,-0.2728963155113502,3,1,0,1,2
11,30,blue-collar,married,secondary,-0.9427043227768733,1,1,0,1,2
12,29,management,married,tertiary,-1.0264303236850638,2,1,1,1,3
13,46,blue-collar,single,tertiary,0.39691169175417296,1,1,0,1,2
14,31,technician,single,tertiary,-0.858978321868683,3,1,0,1,2
15,35,management,divorced,tertiary,-0.5240743182359214,2,1,0,1,2
16,32,blue-collar,single,primary,-0.7752523209604926,3,1,0,1,2
17,49,services,married,secondary,0.6480896944787441,1,1,0,1,2
18,41,admin.,married,secondary,-0.02171831278677903,1,1,0,1,2
19,49,admin.,divorced,secondary,0.6480896944787441,1,1,1,1,3
20,28,admin.,divorced,secondary,-1.1101563245932542,3,1,0,1,2
21,43,management,single,tertiary,0.14573368902960177,2,1,0,1,2
22,43,management,divorced,tertiary,0.14573368902960177,2,1,0,1,2
23,43,blue-collar,married,primary,0.14573368902960177,1,1,0,1,2
24,37,unemployed,single,secondary,-0.3566223164195406,3,1,0,1,2
25,35,blue-collar,single,secondary,-0.5240743182359214,3,1,0,1,2
26,31,technician,single,tertiary,-0.858978321868683,3,1,0,1,2
27,43,blue-collar,single,secondary,0.14573368902960177,1,1,0,1,2
28,31,admin.,married,secondary,-0.858978321868683,3,1,0,1,2
29,28,blue-collar,single,secondary,-1.1101563245932542,3,1,0,1,2
30,32,blue-collar,married,secondary,-0.7752523209604926,1,1,0,1,2
31,60,technician,married,primary,1.5690757044688384,0,1,0,1,2
32,26,blue-collar,single,secondary,-1.277608326409635,3,1,0,1,2
33,40,blue-collar,married,secondary,-0.10544431369496943,1,1,0,1,2
34,33,blue-collar,divorced,primary,-0.6915263200523022,1,1,0,1,2
35,32,management,single,tertiary,-0.7752523209604926,2,1,0,0,1
36,35,blue-collar,married,primary,-0.5240743182359214,1,1,0,0,1
37,33,management,divorced,secondary,-0.6915263200523022,3,1,0,1,2
38,38,management,married,tertiary,-0.2728963155113502,2,1,0,1,2
39,23,entrepreneur,single,primary,-1.528786329134206,3,1,0,1,2
40,60,blue-collar,married,primary,1.5690757044688384,0,1,1,1,3
41,48,management,married,tertiary,0.5643636935705537,2,1,0,1,2
42,45,entrepreneur,divorced,tertiary,0.3131856908459825,2,1,0,1,2
43,36,blue-collar,married,secondary,-0.440348317327731,1,1,0,1,2
44,52,management,married,unknown,0.8992676972033152,0,1,0,1,2
45,35,blue-collar,divorced,primary,-0.5240743182359214,1,1,0,1,2
46,43,technician,married,secondary,0.14573368902960177,1,1,0,1,2
47,52,housemaid,married,secondary,0.8992676972033152,0,1,0,1,2
48,53,technician,divorced,primary,0.9829936981115057,0,1,0,1,2
49,48,blue-collar,divorced,primary,0.5643636935705537,1,1,0,1,2
50,41,blue-collar,single,primary,-0.02171831278677903,1,1,0,1,2
51,39,management,divorced,tertiary,-0.1891703146031598,2,1,1,1,3
52,59,retired,married,secondary,1.485349703560648,0,1,1,1,3
53,41,blue-collar,married,secondary,-0.02171831278677903,1,1,0,1,2
54,48,blue-collar,married,secondary,0.5643636935705537,1,1,0,1,2
55,40,admin.,married,secondary,-0.10544431369496943,1,1,0,1,2
56,48,blue-collar,married,secondary,0.5643636935705537,1,1,0,1,2
57,60,retired,married,primary,1.5690757044688384,0,1,0,1,2
58,40,technician,single,unknown,-0.10544431369496943,3,1,0,1,2
59,57,technician,married,tertiary,1.3178977017442672,0,1,0,0,1
