Periodo;Total
2074;52,668839
2073;52,317897
2072;52,061459
2071;51,840888
2070;51,678036
2069;51,548935
2068;51,474353
2067;51,49185
2066;51,549511
2065;51,629409
2064;51,778051
2063;51,99419
2062;52,197271
2061;52,433421
2060;52,674316
2059;52,897068
2058;53,061775
2057;53,168785
2056;53,284674
2055;53,372215
2054;53,418461
2053;53,413917
2052;53,365635
2051;53,245375
2050;53,032076
2049;52,710138
2048;52,287467
2047;51,703379
2046;50,982989
2045;50,110114
2044;49,135058
2043;48,00587
2042;46,821892
2041;45,56801
2040;44,330872
2039;43,111803
2038;41,969517
2037;40,853402
2036;39,783699
2035;38,771708
2034;37,806663
2033;36,89295
2032;35,986027
2031;35,165663
2030;34,387796
2029;33,587696
2028;32,964942
2027;32,461088
2026;32,044522
2025;31,63438
2024;31,297598
