Sexo;Provincias;Periodo;Total
Total;Total Nacional;2039;47,300255
Total;Total Nacional;2038;47,12743
Total;Total Nacional;2037;46,944209
Total;Total Nacional;2036;46,751092
Total;Total Nacional;2035;46,549073
Total;Total Nacional;2034;46,3399
Total;Total Nacional;2033;46,125685
Total;Total Nacional;2032;45,908968
Total;Total Nacional;2031;45,692629
Total;Total Nacional;2030;45,479698
Total;Total Nacional;2029;45,273068
Total;Total Nacional;2028;45,075277
Total;Total Nacional;2027;44,88804
Total;Total Nacional;2026;44,711298
Total;Total Nacional;2025;44,542384
Total;Total Nacional;2024;44,374593
Total;02 Albacete;2039;48,181185
Total;02 Albacete;2038;47,977907
Total;02 Albacete;2037;47,762106
Total;02 Albacete;2036;47,534664
Total;02 Albacete;2035;47,296817
Total;02 Albacete;2034;47,050464
Total;02 Albacete;2033;46,797744
Total;02 Albacete;2032;46,540887
Total;02 Albacete;2031;46,282457
Total;02 Albacete;2030;46,024871
Total;02 Albacete;2029;45,770317
Total;02 Albacete;2028;45,5206
Total;02 Albacete;2027;45,276974
Total;02 Albacete;2026;45,038763
Total;02 Albacete;2025;44,803467
Total;02 Albacete;2024;44,565673
Total;03 Alicante/Alacant;2039;47,812696
Total;03 Alicante/Alacant;2038;47,624957
Total;03 Alicante/Alacant;2037;47,425471
Total;03 Alicante/Alacant;2036;47,214519
Total;03 Alicante/Alacant;2035;46,992968
Total;03 Alicante/Alacant;2034;46,762145
Total;03 Alicante/Alacant;2033;46,523715
Total;03 Alicante/Alacant;2032;46,279737
Total;03 Alicante/Alacant;2031;46,032572
Total;03 Alicante/Alacant;2030;45,784494
Total;03 Alicante/Alacant;2029;45,537675
Total;03 Alicante/Alacant;2028;45,293887
Total;03 Alicante/Alacant;2027;45,054265
Total;03 Alicante/Alacant;2026;44,818698
Total;03 Alicante/Alacant;2025;44,585074
Total;03 Alicante/Alacant;2024;44,348707
Total;04 Almería;2039;43,843885
Total;04 Almería;2038;43,700933
Total;04 Almería;2037;43,546811
Total;04 Almería;2036;43,381655
Total;04 Almería;2035;43,206181
Total;04 Almería;2034;43,021719
Total;04 Almería;2033;42,83007
Total;04 Almería;2032;42,633511
Total;04 Almería;2031;42,434697
Total;04 Almería;2030;42,236369
Total;04 Almería;2029;42,041232
Total;04 Almería;2028;41,851665
Total;04 Almería;2027;41,669517
Total;04 Almería;2026;41,495169
Total;04 Almería;2025;41,326854
Total;04 Almería;2024;41,159553
Total;01 Araba/Álava;2039;48,531373
Total;01 Araba/Álava;2038;48,361634
Total;01 Araba/Álava;2037;48,180616
Total;01 Araba/Álava;2036;47,989054
Total;01 Araba/Álava;2035;47,787713
Total;01 Araba/Álava;2034;47,578434
Total;01 Araba/Álava;2033;47,363146
Total;01 Araba/Álava;2032;47,144145
Total;01 Araba/Álava;2031;46,923995
Total;01 Araba/Álava;2030;46,705284
Total;01 Araba/Álava;2029;46,490189
Total;01 Araba/Álava;2028;46,280897
Total;01 Araba/Álava;2027;46,0785
Total;01 Araba/Álava;2026;45,882017
Total;01 Araba/Álava;2025;45,688272
Total;01 Araba/Álava;2024;45,490403
Total;33 Asturias;2039;52,735547
Total;33 Asturias;2038;52,559676
Total;33 Asturias;2037;52,369154
Total;33 Asturias;2036;52,164987
Total;33 Asturias;2035;51,94862
Total;33 Asturias;2034;51,72231
Total;33 Asturias;2033;51,48859
Total;33 Asturias;2032;51,250451
Total;33 Asturias;2031;51,010901
Total;33 Asturias;2030;50,773093
Total;33 Asturias;2029;50,539762
Total;33 Asturias;2028;50,313413
Total;33 Asturias;2027;50,095421
Total;33 Asturias;2026;49,885685
Total;33 Asturias;2025;49,682234
Total;33 Asturias;2024;49,479246
Total;05 Ávila;2039;51,834921
Total;05 Ávila;2038;51,632536
Total;05 Ávila;2037;51,417739
Total;05 Ávila;2036;51,191558
Total;05 Ávila;2035;50,955033
Total;05 Ávila;2034;50,711246
Total;05 Ávila;2033;50,462602
Total;05 Ávila;2032;50,212806
Total;05 Ávila;2031;49,965671
Total;05 Ávila;2030;49,725076
Total;05 Ávila;2029;49,494793
Total;05 Ávila;2028;49,278094
Total;05 Ávila;2027;49,077964
Total;05 Ávila;2026;48,894786
Total;05 Ávila;2025;48,725058
Total;05 Ávila;2024;48,561798
Total;06 Badajoz;2039;49,024449
Total;06 Badajoz;2038;48,791647
Total;06 Badajoz;2037;48,546339
Total;06 Badajoz;2036;48,289227
Total;06 Badajoz;2035;48,02122
Total;06 Badajoz;2034;47,743845
Total;06 Badajoz;2033;47,458859
Total;06 Badajoz;2032;47,168101
Total;06 Badajoz;2031;46,873525
Total;06 Badajoz;2030;46,577179
Total;06 Badajoz;2029;46,280944
Total;06 Badajoz;2028;45,986111
Total;06 Badajoz;2027;45,693858
Total;06 Badajoz;2026;45,404148
Total;06 Badajoz;2025;45,11585
Total;06 Badajoz;2024;44,826196
Total;07 Balears, Illes;2039;45,552009
Total;07 Balears, Illes;2038;45,367067
Total;07 Balears, Illes;2037;45,173902
Total;07 Balears, Illes;2036;44,972708
Total;07 Balears, Illes;2035;44,764103
Total;07 Balears, Illes;2034;44,549143
Total;07 Balears, Illes;2033;44,329241
Total;07 Balears, Illes;2032;44,106053
Total;07 Balears, Illes;2031;43,881593
Total;07 Balears, Illes;2030;43,657962
Total;07 Balears, Illes;2029;43,437114
Total;07 Balears, Illes;2028;43,220696
Total;07 Balears, Illes;2027;43,009639
Total;07 Balears, Illes;2026;42,803236
Total;07 Balears, Illes;2025;42,598685
Total;07 Balears, Illes;2024;42,389616
Total;08 Barcelona;2039;45,850821
Total;08 Barcelona;2038;45,695551
Total;08 Barcelona;2037;45,532233
Total;08 Barcelona;2036;45,361285
Total;08 Barcelona;2035;45,183848
Total;08 Barcelona;2034;45,001869
Total;08 Barcelona;2033;44,817794
Total;08 Barcelona;2032;44,634587
Total;08 Barcelona;2031;44,455711
Total;08 Barcelona;2030;44,284854
Total;08 Barcelona;2029;44,125692
Total;08 Barcelona;2028;43,98161
Total;08 Barcelona;2027;43,854962
Total;08 Barcelona;2026;43,745741
Total;08 Barcelona;2025;43,650261
Total;08 Barcelona;2024;43,558784
Total;48 Bizkaia;2039;49,380178
Total;48 Bizkaia;2038;49,233912
Total;48 Bizkaia;2037;49,076193
Total;48 Bizkaia;2036;48,908016
Total;48 Bizkaia;2035;48,730667
Total;48 Bizkaia;2034;48,546277
Total;48 Bizkaia;2033;48,357152
Total;48 Bizkaia;2032;48,166024
Total;48 Bizkaia;2031;47,975776
Total;48 Bizkaia;2030;47,789548
Total;48 Bizkaia;2029;47,610197
Total;48 Bizkaia;2028;47,440252
Total;48 Bizkaia;2027;47,281257
Total;48 Bizkaia;2026;47,132797
Total;48 Bizkaia;2025;46,992114
Total;48 Bizkaia;2024;46,85213
Total;09 Burgos;2039;50,322224
Total;09 Burgos;2038;50,148744
Total;09 Burgos;2037;49,962106
Total;09 Burgos;2036;49,763577
Total;09 Burgos;2035;49,554603
Total;09 Burgos;2034;49,337965
Total;09 Burgos;2033;49,116599
Total;09 Burgos;2032;48,893736
Total;09 Burgos;2031;48,672941
Total;09 Burgos;2030;48,458008
Total;09 Burgos;2029;48,25231
Total;09 Burgos;2028;48,058898
Total;09 Burgos;2027;47,879578
Total;09 Burgos;2026;47,713993
Total;09 Burgos;2025;47,559182
Total;09 Burgos;2024;47,407447
Total;10 Cáceres;2039;51,213095
Total;10 Cáceres;2038;50,992644
Total;10 Cáceres;2037;50,760299
Total;10 Cáceres;2036;50,517213
Total;10 Cáceres;2035;50,264394
Total;10 Cáceres;2034;50,00379
Total;10 Cáceres;2033;49,737656
Total;10 Cáceres;2032;49,468327
Total;10 Cáceres;2031;49,198317
Total;10 Cáceres;2030;48,930216
Total;10 Cáceres;2029;48,666345
Total;10 Cáceres;2028;48,408582
Total;10 Cáceres;2027;48,157778
Total;10 Cáceres;2026;47,913762
Total;10 Cáceres;2025;47,674955
Total;10 Cáceres;2024;47,437189
Total;11 Cádiz;2039;47,934322
Total;11 Cádiz;2038;47,703159
Total;11 Cádiz;2037;47,457692
Total;11 Cádiz;2036;47,197782
Total;11 Cádiz;2035;46,9237
Total;11 Cádiz;2034;46,636327
Total;11 Cádiz;2033;46,336895
Total;11 Cádiz;2032;46,027081
Total;11 Cádiz;2031;45,70882
Total;11 Cádiz;2030;45,384291
Total;11 Cádiz;2029;45,055561
Total;11 Cádiz;2028;44,724457
Total;11 Cádiz;2027;44,392438
Total;11 Cádiz;2026;44,060032
Total;11 Cádiz;2025;43,726705
Total;11 Cádiz;2024;43,390123
