Periodo;Total
2074;248,31685
2073;248,72429
2072;249,353326
2071;249,98648
2070;250,653382
2069;251,238103
2068;251,771151
2067;252,345136
2066;252,7701
2065;252,97469
2064;253,105592
2063;253,164095
2062;252,914774
2061;252,53622
2060;251,978596
2059;251,220667
2058;250,197247
2057;248,971078
2056;247,804592
2055;246,63839
2054;245,480956
2053;244,415633
2052;243,492049
2051;242,643254
2050;241,813137
2049;240,950643
2048;240,064987
2047;238,948642
2046;237,643424
2045;236,057704
2044;234,30031
2043;232,150688
2042;229,87247
2041;227,357044
2040;224,834876
2039;222,158791
2038;219,392174
2037;215,926343
2036;212,238496
2035;207,875033
2034;202,920685
2033;197,213161
2032;190,799344
2031;184,398327
2030;177,995952
2029;171,747256
2028;165,553194
2027;159,641397
2026;153,941008
2025;148,267757
2024;142,550927
