,cluster_demografico,nombre_segmento
0,0,Seniors Jubilados
1,0,Seniors Jubilados
2,3,Consolidados Técnicos
3,0,Seniors Jubilados
4,0,Seniors Jubilados
5,2,Activos Directivos
6,0,Seniors Jubilados
7,0,Seniors Jubilados
8,3,Consolidados Técnicos
9,1,Activos Operarios
10,1,Activos Operarios
11,1,Activos Operarios
12,2,Activos Directivos
13,3,Consolidados Técnicos
14,1,Activos Operarios
15,2,Activos Directivos
16,1,Activos Operarios
17,3,Consolidados Técnicos
18,3,Consolidados Técnicos
19,3,Consolidados Técnicos
20,1,Activos Operarios
21,2,Activos Directivos
22,2,Activos Directivos
23,3,Consolidados Técnicos
24,1,Activos Operarios
25,1,Activos Operarios
26,1,Activos Operarios
27,3,Consolidados Técnicos
28,1,Activos Operarios
29,1,Activos Operarios
30,1,Activos Operarios
31,0,Seniors Jubilados
32,1,Activos Operarios
33,3,Consolidados Técnicos
34,1,Activos Operarios
35,2,Activos Directivos
36,2,Activos Directivos
37,1,Activos Operarios
38,2,Activos Directivos
39,1,Activos Operarios
40,0,Seniors Jubilados
41,2,Activos Directivos
42,3,Consolidados Técnicos
43,1,Activos Operarios
44,3,Consolidados Técnicos
45,1,Activos Operarios
46,3,Consolidados Técnicos
47,3,Consolidados Técnicos
48,3,Consolidados Técnicos
49,3,Consolidados Técnicos
50,1,Activos Operarios
51,2,Activos Directivos
52,0,Seniors Jubilados
53,3,Consolidados Técnicos
54,3,Consolidados Técnicos
55,3,Consolidados Técnicos
56,3,Consolidados Técnicos
57,0,Seniors Jubilados
58,3,Consolidados Técnicos
59,0,Seniors Jubilados
60,3,Consolidados Técnicos
61,3,Consolidados Técnicos
62,3,Consolidados Técnicos
63,3,Consolidados Técnicos
64,0,Seniors Jubilados
65,3,Consolidados Técnicos
66,3,Consolidados Técnicos
67,2,Activos Directivos
68,3,Consolidados Técnicos
69,3,Consolidados Técnicos
70,0,Seniors Jubilados
71,2,Activos Directivos
72,3,Consolidados Técnicos
73,3,Consolidados Técnicos
74,3,Consolidados Técnicos
75,1,Activos Operarios
76,2,Activos Directivos
77,1,Activos Operarios
78,1,Activos Operarios
79,1,Activos Operarios
80,1,Activos Operarios
81,1,Activos Operarios
82,1,Activos Operarios
83,1,Activos Operarios
84,3,Consolidados Técnicos
85,1,Activos Operarios
86,0,Seniors Jubilados
87,1,Activos Operarios
88,2,Activos Directivos
89,1,Activos Operarios
90,3,Consolidados Técnicos
91,3,Consolidados Técnicos
92,1,Activos Operarios
93,1,Activos Operarios
94,3,Consolidados Técnicos
95,2,Activos Directivos
96,1,Activos Operarios
97,3,Consolidados Técnicos
98,1,Activos Operarios
99,1,Activos Operarios
100,1,Activos Operarios
101,2,Activos Directivos
102,1,Activos Operarios
103,2,Activos Directivos
104,1,Activos Operarios
105,1,Activos Operarios
106,3,Consolidados Técnicos
107,2,Activos Directivos
108,2,Activos Directivos
109,3,Consolidados Técnicos
110,1,Activos Operarios
111,1,Activos Operarios
112,1,Activos Operarios
113,2,Activos Directivos
114,1,Activos Operarios
115,1,Activos Operarios
116,2,Activos Directivos
117,2,Activos Directivos
118,1,Activos Operarios
119,2,Activos Directivos
120,1,Activos Operarios
121,1,Activos Operarios
122,1,Activos Operarios
123,1,Activos Operarios
124,1,Activos Operarios
125,2,Activos Directivos
126,2,Activos Directivos
127,1,Activos Operarios
128,3,Consolidados Técnicos
129,3,Consolidados Técnicos
130,1,Activos Operarios
131,2,Activos Directivos
132,2,Activos Directivos
133,1,Activos Operarios
134,2,Activos Directivos
135,3,Consolidados Técnicos
136,2,Activos Directivos
137,1,Activos Operarios
138,1,Activos Operarios
139,1,Activos Operarios
