anio,tabla,pregunta,ambito,TOTAL,NADA,POCO,BASTANTE,MUCHO
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS",De dirección,100,8.849,19.912,42.71,28.53
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS",De trabajo en equipo,100,2.354,6.313,48.921,42.412
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS",De atención al público/ trato a clientes,100,4.344,14.56,39.998,41.099
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS",Administrativas de oficina,100,7.903,24.507,43.707,23.883
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,4.426,14.532,48.469,32.573
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS",En lenguas extranjeras,100,18.558,40.786,26.824,13.832
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS",Básicas de cálculo y/o comunicación oral o escrita,100,17.603,38.581,33.558,10.258
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS",Generales de tecnologías de la información,100,10.301,28.712,44.416,16.571
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS",Profesionales de tecnologías de la información,100,21.65,41.529,26.527,10.294
2022,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS","Competencias técnicas, prácticas y otras específicas del puesto de trabajo",100,15.553,25.882,36.815,21.749
