anio,tabla,pregunta,ambito,categoria,PORCENTAJE DE EMPRESAS QUE PROPORCIONARON FORMACIÓN EN SEGURIDAD Y SALUD LABORAL
2023,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",tamano_empresa,De 5 a 9 trabajadores,66.985
2023,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",tamano_empresa,De 10 a 49 trabajadores,78.531
2023,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",tamano_empresa,De 50 a 249 trabajadores,93.039
2023,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",tamano_empresa,De 250 a 499 trabajadores,95.566
2023,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",tamano_empresa,Más de 499 trabajadores,97.093
2023,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Industria,79.249
2023,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Construcción,81.786
2023,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Comercio y reparación de vehículos,69.71
2023,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Transporte y almacenamiento,78.148
2023,EAL-18c,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Hostelería,69.843
