anio,tabla,pregunta,dimension,ambito,detectaron_total,detectaron_proporcionaron_formacion,detectaron_no_proporcionaron_formacion,no_detectaron_total,no_detectaron_proporcionaron_formacion,no_detectaron_no_proporcionaron_formacion
2024,EAL-18,"EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,TOTAL,29.12369381417594,89.97451064326575,10.02548935673425,70.87630618582406,66.57059021059533,33.42940978940467
2024,EAL-18,"EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,62.7536231884058,99.7690531177829,0.23094688221709,37.2463768115942,98.7029831387808,1.297016861219196
2024,EAL-18,"EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,29.340513983371125,91.94306691569524,8.063373478456882,70.65948601662888,69.76172010804162,30.23827989195839
2024,EAL-18,"EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,27.053956674525153,90.61164090759618,9.388359092403814,72.94604332547485,73.01664735654613,26.98335264345387
2024,EAL-18,"EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,28.46734925496992,90.8689501436104,9.131049856389591,71.53265074503008,67.38433192302443,32.61566807697557
2024,EAL-18,"EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,25.90190514795298,95.03129890453836,4.968701095461659,74.09809485204703,71.21854485776805,28.78145514223195
2024,EAL-18,"EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Hostelería,30.27132850019883,82.45250606305578,17.54749393694422,69.72867149980117,51.01996051765738,48.98003948234262
2024,EAL-18,"EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Actividades administrativas y servicios auxiliares,28.286468378844788,93.12757940068184,6.872420599318141,71.71353162115521,65.67343761058815,34.32656238941185
2024,EAL-18,"EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",26.601052249637156,89.6845694799659,10.3154305200341,73.39894775036285,67.4782178829636,32.521782117036395
2024,EAL-18,"EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Andalucía,27.268814890526656,88.1633458275794,11.836654172420596,72.73118510947334,67.63560157790927,32.361932938856015
