Anio,tabla,titulo,competencia,TOTAL,NADA,POCO,BASTANTE,MUCHO
2024,EAL-16,EMPRESAS SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS,De dirección,100,10.414,18.818,40.283,30.484
2024,EAL-16,EMPRESAS SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS,De trabajo en equipo,100,2.224,5.822,45.125,46.829
2024,EAL-16,EMPRESAS SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS,De atención al público/ trato a clientes,100,5.128,13.392,37.144,44.336
2024,EAL-16,EMPRESAS SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS,Administrativas de oficina,100,11.117,25.313,37.788,25.782
2024,EAL-16,EMPRESAS SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS,"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,5.893,15.752,44.063,34.292
2024,EAL-16,EMPRESAS SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS,En lenguas extranjeras,100,23.022,40.356,24.568,12.054
2024,EAL-16,EMPRESAS SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS,Básicas de cálculo y/o comunicación oral o escrita,100,22.688,36.513,29.697,11.102
2024,EAL-16,EMPRESAS SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS,Generales de tecnologías de la información,100,13.593,29.346,39.173,17.888
2024,EAL-16,EMPRESAS SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS,Profesionales de tecnologías de la información,100,26.908,37.656,24.493,10.944
2024,EAL-16,EMPRESAS SEGÚN GRADO DE IMPORTANCIA PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS,"Competencias técnicas, prácticas y otras específicas del puesto de trabajo",100,13.417,18.861,36.496,31.226
