anio,tabla,pregunta,ambito,NADA,POCO,BASTANTE,MUCHO
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Responder a un sistema predeterminado de promoción interna,24.833,42.321,26.86,5.987
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Readaptar al personal a los cambios técnicos introducidos en la empresa,12.615,22.193,49.421,15.771
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Readaptar al personal a los cambios organizativos introducidos en la empresa,14.246,29.411,44.323,12.02
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,7.888,15.038,50.533,26.541
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,8.168,22.567,51.043,18.222
2024,EAL-23,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Adaptación impuesta por cambios normativos,8.955,22.904,42.755,25.385
2024,EAL-23c,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Responder a un sistema predeterminado de promoción interna,7.551,36.456,44.463,11.53
2024,EAL-23c,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Readaptar al personal a los cambios técnicos introducidos en la empresa,2.345,15.439,54.421,27.794
2024,EAL-23c,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Readaptar al personal a los cambios organizativos introducidos en la empresa,3.682,25.152,50.874,20.292
2024,EAL-23c,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ,Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,1.267,9.804,51.856,37.073
