anio,tabla,pregunta,ambito,TOTAL,NADA,POCO,BASTANTE,Unnamed: 5,MUCHO
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",De dirección,39.91,36.411,43.242,46.37,43.679,51.599
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",De trabajo en equipo,58.868,61.092,57.303,52.457,47.959,45.956
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",De atención al público/ trato a clientes,49.737,55.038,45.58,34.963,33.399,34.232
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",Administrativas de oficina,17.702,17.661,18.34,14.941,14.166,8.715
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",Técnicas específicas del puesto de trabajo,23.85,21.635,24.593,35.016,38.859,39.31
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",34.018,32.252,35.999,36.183,34.727,30.909
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",En lenguas extranjeras,9.962,9.095,9.825,16.45,20.364,18.871
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",Generales de tecnologías de la información ,12.539,9.908,14.28,20.816,25.48,28.15
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",Profesionales de tecnologías de la información ,5.794,4.464,6.564,10.309,13.379,17.179
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",De cálculo o lingüísticas,0.749,0.744,0.779,0.661,0.443,0.313
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",De comunicación oral o escrita,2.314,2.082,2.354,3.742,3.443,4.451
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",Otras ,5.378,5.732,4.967,4.909,6.099,6.332
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",No sabe,1.276,1.2,1.165,2.186,3.738,3.824
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",(1) Una empresa puede haber señalado de una a tres competencias.,,,,,,
