anio,tabla,pregunta,competencia,tamano_empresa,porcentaje,sector,comunidad_autonoma
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,TOTAL,15.275112566003186,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,TOTAL,21.72680638647452,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,TOTAL,18.633906510642035,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,TOTAL,11.114246654375338,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,TOTAL,53.49299519634772,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",TOTAL,11.671119138101869,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,TOTAL,9.327614102419384,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,TOTAL,11.85862462530258,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,TOTAL,4.75160226260802,,
2020,EAL-20,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De cálculo o lingüísticas,TOTAL,0.5938718942443968,,
