anio,tabla,pregunta,dimension,ambito,detectaron_total,detectaron_proporcionaron_formacion,detectaron_no_proporcionaron_formacion,no_detectaron_total,no_detectaron_proporcionaron_formacion,no_detectaron_no_proporcionaron_formacion
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,TOTAL,30.806256352489527,87.33332632839836,12.667724411848146,69.19374364751047,48.51587973596927,51.48412026403073
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,85.95611285266457,99.12472647702408,0.87527352297593,14.043887147335424,91.96428571428572,8.035714285714286
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,33.81237999089416,90.83777296411218,9.16222703588783,66.18762000910584,51.35781792080392,48.64218207919608
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,27.07081264698197,90.7915057915058,9.208494208494209,72.92918735301804,53.310641347187385,46.69294159799355
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,29.904408427011298,84.80735747131568,15.192642528684315,70.09559157298871,46.03736929318325,53.96263070681675
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,29.10838688772479,88.5343228200371,11.465677179962894,70.89161311227521,59.82326502628171,40.17673497371829
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Hostelería,24.538328683406405,77.3145641580942,22.685435841905793,75.4616713165936,37.2761569416499,62.72132796780684
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Actividades administrativas y servicios auxiliares,26.16252034410602,95.24550099977785,4.7544990002221725,73.83747965589397,57.64779973234669,42.35220026765331
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",30.590272141968295,78.65228157056951,21.365405022992572,69.4097278580317,39.192454595058074,60.807545404941926
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Andalucía,32.0313512112968,88.73609706774519,11.263902932254805,67.9686487887032,56.60916801677309,43.39083198322691
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cataluña,32.18412068414591,89.56994304227413,10.43005695772587,67.81419754124552,46.80951318106292,53.19048681893708
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Comunitat Valenciana,33.47655574139224,83.19407356361444,16.814540442759927,66.52344425860777,46.91577441588279,53.08422558411721
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),33.89429229587919,88.14423258448178,11.855767415518216,66.1057077041208,45.64901752008518,54.35098247991482
2020,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,31.173538740371544,84.50996677740864,15.490033222591364,68.82646125962846,43.05464121132323,56.94535878867677
2021,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,TOTAL,17.44744159128367,87.99012096410738,12.008076292116602,82.5528729413837,62.92606167749998,37.07393832250002
2021,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,54.82295482295482,99.77728285077951,0.22271714922049,45.17704517704518,94.86486486486488,5.0
2021,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,19.961152857619336,87.47788480440339,12.52211519559662,80.03884714238066,68.20443681823753,31.79556318176247
2021,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,16.957686393174264,88.21120374433231,11.788796255667693,83.04231360682573,67.0380215644694,32.9619784355306
2021,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,15.486848177203507,89.44321471139111,10.556785288608888,84.51315182279649,64.84188520881762,35.15811479118239
2021,EAL-18,"EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,19.006065765669895,93.25307950727884,6.746920492721165,80.99393423433011,68.23019314150571,31.769806858494285
