anio,tabla,proporcionaron_formacion,pregunta,ambito,NADA,POCO,BASTANTE,MUCHO
2020,EAL-24,Si,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ",El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,10.031,13.505,60.232,16.232
2020,EAL-24,Si,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ","La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",32.843,22.364,35.637,9.155
2020,EAL-24,Si,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ",Dificultad para evaluar la necesidades de formación de la empresa,37.356,45.367,15.583,1.694
2020,EAL-24,Si,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ",La falta de cursos de formación adecuados en el mercado,31.751,39.726,21.844,6.679
2020,EAL-24,Si,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ",El alto coste de los cursos de formación,24.188,36.048,29.953,9.811
2020,EAL-24,Si,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ",El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,38.558,35.28,23.59,2.573
2020,EAL-24,Si,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ",La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,19.757,27.189,39.518,13.536
2020,EAL-24,Si,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ",Dificultad para acceder a ayudas o subvenciones públicas,28.6,34.344,26.123,10.934
2020,EAL-24c,Si,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,19.936,34.377,40.575,5.112
2020,EAL-24c,Si,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS","La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",30.288,45.687,21.086,2.939
2020,EAL-24c,Si,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",Dificultad para evaluar la necesidades de formación de la empresa,42.045,48.371,8.626,0.958
2020,EAL-24c,Si,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",La falta de cursos de formación adecuados en el mercado,36.358,50.288,12.141,1.214
2020,EAL-24c,Si,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",El alto coste de los cursos de formación,22.684,46.134,27.987,3.195
2020,EAL-24c,Si,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,39.105,43.898,15.208,1.789
2020,EAL-24c,Si,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,16.997,36.55,36.55,9.904
2020,EAL-24c,Si,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",Dificultad para acceder a ayudas o subvenciones públicas,38.914,45.431,12.268,3.387
2020,EAL-24f,Si,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,10.567,12.991,61.078,15.364
2020,EAL-24f,Si,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS","La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",34.293,20.911,35.687,9.109
2020,EAL-24f,Si,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",Dificultad para evaluar la necesidades de formación de la empresa,38.287,42.99,16.888,1.836
2020,EAL-24f,Si,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",La falta de cursos de formación adecuados en el mercado,32.089,38.983,21.95,6.978
2020,EAL-24f,Si,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",El alto coste de los cursos de formación,23.941,35.758,30.057,10.244
2020,EAL-24f,Si,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,38.941,35.043,23.438,2.578
2020,EAL-24f,Si,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,19.443,27.808,39.344,13.405
