anio,tabla,pregunta,ambito,NADA,POCO,BASTANTE,MUCHO
2021,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Responder a un sistema predeterminado de promoción interna,24.725,45.142,25.657,4.475
2021,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios técnicos introducidos en la empresa,10.094,25.066,48.979,15.861
2021,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios organizativos introducidos en la empresa,12.028,31.603,45.423,10.946
2021,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,7.145,14.417,54.944,23.494
2021,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,7.261,22.26,52.744,17.736
2021,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptación impuesta por cambios normativos,8.33,24.063,47.582,20.025
2021,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Responder a un sistema predeterminado de promoción interna,8.89,41.074,41.364,8.673
2021,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios técnicos introducidos en la empresa,2.963,12.774,59.578,24.686
2021,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios organizativos introducidos en la empresa,3.804,26.055,52.307,17.834
2021,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,1.767,10.276,56.549,31.408
2021,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,4.465,25.021,51.637,18.877
2021,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptación impuesta por cambios normativos,4.164,27.417,46.779,21.639
2021,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Responder a un sistema predeterminado de promoción interna,24.735,44.781,25.803,4.681
2021,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios técnicos introducidos en la empresa,10.322,25.524,47.645,16.509
2021,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Readaptar al personal a los cambios organizativos introducidos en la empresa,11.946,31.881,44.656,11.517
2021,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,7.019,14.252,54.938,23.791
2021,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,7.847,23.218,51.241,17.695
2021,EAL-23f,"EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Adaptación impuesta por cambios normativos,8.67,24.414,47.278,19.638
2022,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS ",Responder a un sistema predeterminado de promoción interna,20.773,44.002,30.479,4.747
