anio,tabla,pregunta,TOTAL,ambito,NADA,POCO,BASTANTE,MUCHO
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,De dirección,11.22,22.91,40.466,25.404
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,De trabajo en equipo,3.24,10.339,48.565,37.856
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,De atención al público/ trato a clientes,5.755,18.505,39.209,36.532
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,Administrativas de oficina,10.175,26.234,41.314,22.277
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,Técnicas específicas del puesto de trabajo,15.604,27.366,36.756,20.275
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",5.978,17.568,46.763,29.69
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,En lenguas extranjeras,20.125,40.933,27.781,11.161
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,Básicas de cálculo y/o comunicación oral o escrita,18.27,39.684,31.555,10.491
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,Generales de tecnologías de la información ,10.798,30.978,41.785,16.438
2021,EAL-16,"EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,Profesionales de tecnologías de la información ,22.563,42.041,25.273,10.122
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,De dirección,1.825,10.69,45.964,41.521
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,De trabajo en equipo,1.564,6.078,43.431,48.927
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,De atención al público/ trato a clientes,3.043,16.97,39.809,40.179
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,Administrativas en oficina,2.134,25.666,51.158,21.042
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,Técnicas específicas del puesto de trabajo,7.091,21.517,41.542,29.85
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",2.029,13.968,50.666,33.337
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,En lenguas extranjeras,8.269,32.585,37.45,21.696
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,Básicas de cálculo y/o comunicación oral o escrita,5.369,30.837,48.727,15.067
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,Generales de tecnologías de la información ,3.027,17.266,48.574,31.133
2021,EAL-16c,"EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,Profesionales de tecnologías de la información ,7.027,27.353,40.54,25.079
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,De dirección,11.649,23.523,40.161,24.667
2021,EAL-16f,"EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",100,De trabajo en equipo,3.143,10.337,47.167,39.354
