anio,tabla,pregunta,dimension,ambito,total_empresas,total_trabajadores,varones,mujeres,distribucion_porcentual_varones,distribucion_porcentual_mujeres
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,ENCUESTA ANUAL LABORAL TOTAL,308934,8971719,5339455,3632264,59.5,40.5
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 5 a 9 trabajadores,161389,1043863,614464,429399,58.9,41.1
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 10 a 49 trabajadores,125157,2418561,1575664,842897,65.1,34.9
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 50 a 249 trabajadores,18760,1843904,1176140,667764,63.8,36.2
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 250 a 499 trabajadores,2033,697649,415975,281674,59.6,40.4
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,1595,2967742,1557212,1410530,52.5,47.5
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,50514,1896336,1398755,497581,73.8,26.2
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,38270,658935,584347,74588,88.7,11.3
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,74902,1948630,983095,965535,50.5,49.5
2020,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,18517,618758,470554,148204,76,24
