ENCUESTA ANUAL LABORAL,,,,,,,,,EAL
,,,,,,,,,Volver al índice
"EAL-22. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",,,,,,,,,
Año 2020. Porcentaje sobre el total de empresas formadoras en cada categoría.,,,,,,,,,
,TOTAL,ANDALUCÍA,ARAGÓN,ASTURIAS (PRINCIPADO DE),BALEARS (ILLES),CANARIAS,CANTABRIA,CASTILLA-LA MANCHA,CASTILLA Y LEÓN
De dirección,15.275112566003186,18.022900763358777,14.23545966228893,8.749544294567992,18.59678782755706,16.784806740671392,15.245327102803738,21.963954859356576,18.744117251579937
De trabajo en equipo,21.72680638647452,22.610687022900763,15.75984990619137,15.092963908129786,20.583262890955197,20.181891132807277,18.80841121495327,20.734377631800573,29.581820626596745
De atención al público/ trato a clientes,18.633906510642035,24.30916030534351,19.535647279549718,23.113379511483778,17.32882502113271,21.773438544870938,20.385514018691588,14.58649149402055,18.90547263681592
Administrativas de oficina,11.114246654375338,12.561068702290076,10.131332082551594,11.52023332118119,10.016906170752325,13.895947572555839,15.42056074766355,12.161024086238841,10.488100040338846
Técnicas específicas del puesto de trabajo,53.49299519634772,43.2557251908397,54.22138836772983,60.37185563251914,50.824175824175825,53.48401765413936,52.62850467289719,63.28111840997136,52.144681995428265
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",11.671119138101867,10.698473282442748,14.376172607879925,11.702515493984688,7.840236686390533,8.840444028353618,6.308411214953271,9.17972039750716,15.019497109049349
En lenguas extranjeras,9.327614102419385,5.4961832061068705,11.726078799249532,6.234050309879693,11.327134404057482,7.208773572288351,5.607476635514018,1.8359440795014317,5.472636815920398
Generales de tecnologías de la información ,11.85862462530258,13.19083969465649,10.670731707317072,11.265038279256288,9.657650042265427,7.971111408318844,10.86448598130841,11.588344281623716,10.54188516875084
Profesionales de tecnologías de la información ,4.75160226260802,3.645038167938931,6.285178236397749,2.6248632883703973,2.8317836010143704,1.1903169720476128,2.6869158878504673,4.27825501094829,4.585182197122496
De cálculo o lingüísticas,0.5938718942443968,0.4312977099236641,1.2898686679174485,0,1.183431952662722,0,0.35046728971962615,0.067374094660603,0.9412397472098964
De comunicación oral o escrita,1.3909269920106357,0.5572519083969466,3.6819887429643527,1.093693036820999,1.0355029585798816,2.180018724087201,1.9275700934579438,0.35371399696816574,2.1514051364797635
Otras ,16.35185812293838,18.416030534351144,15.572232645403377,12.322274881516588,13.334742180896027,18.403102848736125,21.55373831775701,13.373757790129694,12.168885303213662
,CATALUÑA,COMUNITAT VALENCIANA,EXTREMADURA,GALICIA,MADRID (COMUNIDAD DE),MURCIA (REGIÓN DE),NAVARRA (COMUNIDAD FORAL DE),PAÍS VASCO,"RIOJA, LA"
De dirección,10.595408656248958,16.98170546404911,20.908273381294965,15.493110556580232,15,10.990856503078932,18.496012153437142,13.530051672559152,6.615120274914089
De trabajo en equipo,18.798520641055543,19.00565246459612,25.674460431654676,14.039275252251274,29.079054604726977,22.261615973129317,18.571971135586782,23.551808539570303,18.72852233676976
De atención al público/ trato a clientes,18.531969479892048,15.340667355497478,23.741007194244606,13.898231528696973,17.595762021189895,12.931517074080984,12.875047474363843,18.370954582540115,18.127147766323024
Administrativas de oficina,9.156032385966082,9.432930164711603,17.67086330935252,10.94716285125312,10.525672371638143,8.565030789326366,8.58336498290923,17.405493608920317,13.316151202749142
Técnicas específicas del puesto de trabajo,53.99326958318062,54.099556311918796,46.76258992805755,55.441032874037106,55.6479217603912,61.72793431610375,65.78047854158754,59.89937449007343,60.30927835051546
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",13.973944623996267,9.220203002491946,9.802158273381295,6.7158511446240645,16.320293398533007,9.72196305280836,9.41891378655526,8.621158553168344,9.965635738831615
En lenguas extranjeras,13.670742678172791,7.9438400291740106,2.068345323741007,6.325268525550613,14.747351263243683,4.963612614293711,9.950626661602735,10.946423714985043,7.3883161512027495
Generales de tecnologías de la información ,13.061006897011294,9.894852002674284,10.746402877697841,14.928935662363024,12.770986145069275,8.695652173913043,11.773642233194074,10.742453086755507,9.965635738831615
Profesionales de tecnologías de la información ,5.8507979875387335,4.096517352458518,0.8992805755395683,5.620049907779104,7.013039934800326,2.183243142377309,3.7599696164071403,6.173511014413925,5.0687285223367695
De cálculo o lingüísticas,0.749675140772332,0.2370388379019024,0,3.027015297819247,0.10187449062754686,0.05598059339428998,0.41777440182301556,0.5983138428066358,1.5463917525773196
De comunicación oral o escrita,1.575983740379169,0.5105451893271744,3.7320143884892087,1.5189324075078658,1.4792176039119804,1.0076506810972197,0.94948727687049,2.7604025020397063,2.8350515463917527
Otras ,21.50734681637957,19.157600437610164,14.073741007194245,15.916241727243138,11.45476772616137,13.659264788206755,12.077478161792632,10.416100081588251,13.65979381443299
(1) Una empresa puede haber señalado de una a tres competencias.,,,,,,,,,
