ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-C1. EMPRESAS  Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,,,,
Año 2020,,,,,,
,TOTAL EMPRESAS,TOTAL TRABAJADORES,VARONES,MUJERES,DISTRIBUCIÓN PORCENTUAL,
,,,,,Varones,Mujeres
TOTAL,308934,8971719,5339455,3632264,59.5,40.5
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,161389,1043863,614464,429399,58.9,41.1
De 10 a 49 trabajadores,125157,2418561,1575664,842897,65.1,34.9
De 50 a 249 trabajadores,18760,1843904,1176140,667764,63.8,36.2
De 250 a 499 trabajadores,2033,697649,415975,281674,59.6,40.4
Más de 499 trabajadores,1595,2967742,1557212,1410530,52.5,47.5
ACTIVIDAD ECONÓMICA,,,,,,
Industria,50514,1896336,1398755,497581,73.8,26.2
Construcción,38270,658935,584347,74588,88.7,11.3
Comercio y reparación de vehículos,74902,1948630,983095,965535,50.5,49.5
Transporte y almacenamiento,18517,618758,470554,148204,76,24
Hostelería,52690,888045,417509,470536,47,53
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",15129,778414,450471,327943,57.9,42.1
"Actividades profesionales, científicas y técnicas",23223,578484,285530,292954,49.4,50.6
Actividades administrativas y servicios auxiliares,17205,1243979,572068,671911,46,54
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",18484,360138,177126,183012,49.2,50.8
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,46314,890916,573658,317258,64.4,35.6
Aragón ,8889,231187,148760,82427,64.3,35.7
Asturias (Principado de),5628,132347,84329,48018,63.7,36.3
Balears (Illes),9703,207300,122944,84356,59.3,40.7
Canarias ,14899,319009,186242,132767,58.4,41.6
Cantabria ,3552,79033,49939,29094,63.2,36.8
Castilla-La Mancha,11282,220355,151493,68862,68.7,31.3
Castilla y León,13569,302494,186031,116463,61.5,38.5
Cataluña ,59461,1811917,1030026,781891,56.8,43.2
Comunitat Valenciana ,34678,890796,523644,367152,58.8,41.2
Extremadura ,5224,91169,58133,33036,63.8,36.2
Galicia ,16836,403976,228805,175171,56.6,43.4
Madrid (Comunidad de),46884,2520820,1434847,1085973,56.9,43.1
Murcia (Región de),9953,224376,144524,79852,64.4,35.6
Navarra (Comunidad Foral de),4306,129194,85270,43924,66,34
País Vasco ,15449,470081,300978,169103,64,36
"Rioja, La",2307,46749,29832,16917,63.8,36.2
(1) Datos obtenidos a partir del marco del que se extrae la muestra de la Encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2020.,,,,,,
Los datos de trabajadores de esta tabla se han calculado promediando los valores del último día de cada mes del Año 2020 en los que la empresa ha estado activa y sumando para todas las empresas del marco.,,,,,,
