ENCUESTA ANUAL LABORAL,,,EAL
,,,Volver al índice
"EAL-M1. ERRORES DE MUESTREO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,
Año 2021. Coeficientes de variación en porcentaje,,,
,EMPRESAS QUE HAN APLICADO  MEDIDAS DE FLEXIBLIDAD INTERNA SOBRE EL TOTAL DE EMPRESAS,EMPRESAS QUE HAN PROPORCIONADO FORMACIÓN A SUS TRABAJADORES SOBRE EL TOTAL DE EMPRESAS,EMPRESAS QUE PREVÉN UN AUMENTO DE SU PLANTILLA EN UN AÑO SOBRE EL TOTAL DE EMPRESAS
TOTAL,2.5893530592466623,1.2475333900157375,2.777164123901647
TAMAÑO DE LA EMPRESA,,,
De 5 a 9 trabajadores,4.2867107012613985,2.2269612936189107,5.213607460739079
De 10 a 49 trabajadores,3.601403040231184,1.5911002858616883,3.7413867237721643
De 50 a 249 trabajadores,3.2554775431448366,0.9573685384966413,2.9335026496500514
De 250 a 499 trabajadores,3.7944969408685596,1.1467535307619174,3.991086443398996
Más de 499 trabajadores,0.9033599986868275,0.24915371837417832,0.8994189698647905
ACTIVIDAD ECONÓMICA,,,
Industria,5.144623088868296,1.8993498525555133,4.744347003740573
Construcción,8.097496922312894,2.372670203816824,5.59916463556595
Comercio y reparación de vehículos,6.837760185837817,3.0372890747916625,7.4623822835071625
Transporte y almacenamiento,10.073630174212354,3.401958410615774,9.372732782913198
Hostelería,5.154974318687433,5.24892367292177,10.173510644725242
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",10.753091304071456,3.465928903213817,7.939806461605098
"Actividades profesionales, científicas y técnicas",10.446399373309967,3.275774601624749,7.496461805120763
Actividades administrativas y servicios auxiliares,7.893672180680578,4.523733251934312,8.961388650715266
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",6.804621946286329,4.751397598784089,10.407185739704133
COMUNIDAD AUTÓNOMA,,,
Andalucía ,8.05629320007333,3.9926467006604933,9.357458661816857
Aragón ,9.044988195944644,3.9397845692925246,9.376085638296558
Asturias (Principado de),8.184861540867908,4.603588665373018,10.9841512671804
Balears (Illes),8.109468255041442,5.216801256384604,10.152667304403561
Canarias ,7.530980113769853,4.652646855252813,9.726411933319634
Cantabria ,10.159810605237006,4.846590036343041,11.722652141750698
Castilla-La Mancha,8.588279817102716,4.694998578288263,10.87514958408672
Castilla y León,7.887842789117625,3.6338646599245514,11.307709422324976
Cataluña ,7.296324004352371,3.59470987011973,7.569936925266576
Comunitat Valenciana ,7.593350124258653,3.843932774212766,7.933938544183822
Extremadura ,9.637591163919815,4.884918349348056,10.061810342434626
Galicia ,9.421928426202406,3.903657078324415,10.305943181608418
Madrid (Comunidad de),8.048344588863912,3.3008400639973257,7.0218919746243476
Murcia (Región de),10.917754421808125,4.054827536842649,8.928323849417566
Navarra (Comunidad Foral de),10.24771828118042,3.933474682362709,11.262734769833214
País Vasco ,8.470376965697827,4.504130347177136,10.028036842691119
"Rioja, La",7.705847781049112,3.7893211869093695,9.887885687796029
