ENCUESTA ANUAL LABORAL,,,,,EAL
,,,,,Volver al índice
"EAL-24. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ",,,,,
Año 2022. Porcentaje sobre el total de empresas que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,6.678,18.954,58.916,15.452
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,18.231,28.405,42.455,10.91
Dificultad para evaluar la necesidades de formación de la empresa,100,26.082,57.363,14.48,2.075
La falta de cursos de formación adecuados en el mercado,100,22.951,47.662,23.214,6.173
El alto coste de los cursos de formación,100,17.484,38.316,32.39,11.81
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,26.686,42.646,27.847,2.821
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,12.034,30.964,42.493,14.509
Dificultad para acceder a ayudas o subvenciones públicas,100,19.705,38.017,29.851,12.427
"EAL-24a. EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ",,,,,
Año 2022. Porcentaje sobre el total de empresas de 5 a 49 trabajadores que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,6.433,18.18,59.14,16.247
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,18.498,27.515,42.539,11.447
Dificultad para evaluar la necesidades de formación de la empresa,100,26.087,57.225,14.519,2.169
La falta de cursos de formación adecuados en el mercado,100,22.831,47.016,23.604,6.549
El alto coste de los cursos de formación,100,17.351,37.713,32.628,12.307
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,26.525,42.237,28.305,2.933
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,11.967,30.84,42.372,14.822
Dificultad para acceder a ayudas o subvenciones públicas,100,18.891,37.122,30.718,13.268
"EAL-24b. EMPRESAS DE 50 A 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",,,,,
Año 2022. Porcentaje sobre el total de empresas de 50 a 499 trabajadores que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,8.51,25.285,57.866,8.339
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,15.714,35.81,42.503,5.973
Dificultad para evaluar la necesidades de formación de la empresa,100,25.699,58.683,14.431,1.187
La falta de cursos de formación adecuados en el mercado,100,23.824,53.375,20.002,2.799
El alto coste de los cursos de formación,100,18.878,43.559,30.263,7.3
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,28.122,46.071,23.972,1.835
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,12.874,31.881,43.696,11.549
Dificultad para acceder a ayudas o subvenciones públicas,100,26.965,46.14,22.186,4.71
"EAL-24c. EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",,,,,
Año 2022. Porcentaje sobre el total de empresas de más de 499 trabajadores que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,14.123,35.676,44.575,5.626
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,16.417,46.069,31.678,5.836
Dificultad para evaluar la necesidades de formación de la empresa,100,30.037,58.049,10.432,1.482
La falta de cursos de formación adecuados en el mercado,100,26.826,56.381,15.109,1.683
El alto coste de los cursos de formación,100,16.703,47.515,29.362,6.421
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,28.677,50.462,19.522,1.339
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,9.935,34.789,42.644,12.633
Dificultad para acceder a ayudas o subvenciones públicas,100,29.987,47.693,18.017,4.302
"EAL-24d. EMPRESAS DE LA INDUSTRIA QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",,,,,
