ENCUESTA ANUAL LABORAL,,,,,EAL
,,,,,Volver al índice
"EAL-25. EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2023. Porcentaje sobre el total de empresas que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,13.241,13.026,47.034,26.699
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,22.492,15.961,42.408,19.139
Dificultad para evaluar la necesidades de formación de la empresa,100,34.482,43.432,18.482,3.604
La falta de cursos de formación adecuados en el mercado,100,30.779,37.822,23.197,8.202
El alto coste de los cursos de formación,100,29.704,30.409,28.722,11.164
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,69.621,19.825,8.522,2.033
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,38.805,35.16,20.893,5.142
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,25.779,26.965,34.846,12.41
Dificultad para acceder a ayudas o subvenciones públicas,100,31.62,28.236,26.333,13.81
Otras razones,100,56.22,23.577,14.296,5.907
"EAL-25a. EMPRESAS DE 5 A 49 TRABAJADORES QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2023. Porcentaje sobre el total de empresas de 5 a 49 trabajadores que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,13.298,12.989,47.048,26.666
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,22.515,15.834,42.513,19.138
Dificultad para evaluar la necesidades de formación de la empresa,100,34.626,43.329,18.429,3.615
La falta de cursos de formación adecuados en el mercado,100,30.82,37.724,23.285,8.171
El alto coste de los cursos de formación,100,29.688,30.322,28.816,11.174
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,69.642,19.834,8.497,2.027
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,38.82,35.076,20.976,5.127
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,25.882,26.926,34.851,12.341
Dificultad para acceder a ayudas o subvenciones públicas,100,31.578,28.107,26.432,13.883
Otras razones,,,,,
"EAL-25b. EMPRESAS DE 50 O MÁS TRABAJADORES QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2023. Porcentaje sobre el total de empresas de más de 50 trabajadores no que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,9.342,15.6,46.107,28.95
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,20.93,24.717,35.177,19.176
Dificultad para evaluar la necesidades de formación de la empresa,100,24.53,50.512,22.121,2.837
La falta de cursos de formación adecuados en el mercado,100,27.974,44.559,17.147,10.321
El alto coste de los cursos de formación,100,30.822,36.384,22.268,10.526
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,68.137,19.183,10.262,2.417
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,37.748,40.945,15.173,6.134
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,18.665,29.679,34.545,17.11
Dificultad para acceder a ayudas o subvenciones públicas,100,34.519,37.117,19.534,8.83
Otras razones,100,52.853,35.571,6.172,5.404
"EAL-25c. EMPRESAS DE LA INDUSTRIA QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2023. Porcentaje sobre el total de empresas en la industria que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,13.897,12.082,47.22,26.801
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,28.162,13.991,41.491,16.355
Dificultad para evaluar la necesidades de formación de la empresa,100,37.681,46.353,14.292,1.674
