ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-18. EMPRESAS SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,,,,
Año 2024. Porcentaje sobre el total de empresas en cada categoría.,,,,,,
,DETECTARON NECESIDADES FORMATIVAS DE SU PERSONAL,,,NO DETECTARON NECESIDADES FORMATIVAS DE SU PERSONAL,,
,Total,Proporcionaron formación (1),No proporcionaron formación (1),Total,Proporcionaron formación (2),No proporcionaron formación (2)
TOTAL,29.12369381417594,89.97451064326575,10.02548935673425,70.87630618582406,66.57059021059533,33.42940978940467
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,23.671862237569215,83.5447255074602,16.4552744925398,76.32813776243079,59.481180811808116,40.518819188191884
De 10 a 49 trabajadores,31.724690468656373,93.10074064642092,6.899259353579084,68.27530953134362,72.74923577556454,27.25076422443546
De 50 a 249 trabajadores,48.70109405249651,98.74271979291855,1.2665249144864565,51.29890594750349,90.86361242759347,9.13638757240653
De 250 a 499 trabajadores,58.70818915801615,100,0,41.25336409073433,96.83131407269339,3.168685927306617
Más de 499 trabajadores,62.7536231884058,99.7690531177829,0.23094688221709006,37.2463768115942,98.70298313878081,1.297016861219196
ACTIVIDAD ECONÓMICA,,,,,,
Industria,29.340513983371125,91.94306691569524,8.063373478456882,70.65948601662888,69.76172010804162,30.23827989195839
Construcción,27.053956674525153,90.61164090759618,9.388359092403814,72.94604332547485,73.01664735654613,26.98335264345387
Comercio y reparación de vehículos,28.467349254969918,90.8689501436104,9.131049856389591,71.53265074503008,67.38433192302443,32.61566807697557
Transporte y almacenamiento,25.90190514795298,95.03129890453835,4.968701095461659,74.09809485204703,71.21854485776805,28.78145514223195
Hostelería,30.27132850019883,82.45250606305578,17.54749393694422,69.72867149980117,51.01996051765738,48.98003948234262
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",32.92454345846945,94.81132075471699,5.188679245283019,67.07545654153056,74.21956087824351,25.780439121756487
"Actividades profesionales, científicas y técnicas",33.65614798694233,91.92800948378058,8.07199051621942,66.34385201305767,75.57815319009349,24.421846809906512
Actividades administrativas y servicios auxiliares,28.286468378844788,93.12757940068185,6.872420599318141,71.71353162115521,65.67343761058815,34.32656238941185
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",26.601052249637156,89.6845694799659,10.3154305200341,73.39894775036285,67.4782178829636,32.521782117036395
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,27.268814890526656,88.1633458275794,11.836654172420596,72.73118510947334,67.63560157790927,32.361932938856015
Aragón ,29.24347738490984,87.90905959352393,12.09094040647606,70.75652261509016,67.63952164009112,32.34624145785877
Asturias (Principado de),28.940731399747794,88.0718954248366,11.982570806100219,71.05926860025221,66.63708961845607,33.36291038154392
Balears (Illes),24.98456109395677,85.48728813559322,14.51271186440678,75.01543890604323,53.828060684464305,46.183699870633895
Canarias ,32.17108321710832,82.7492774566474,17.2507225433526,67.82891678289168,63.228238519533924,36.771761480466076
Cantabria ,20.682680151706702,93.03178484107579,6.968215158924205,79.3173198482933,66.05036659228563,33.94963340771438
Castilla-La Mancha,23.50944851523332,91.40419947506561,8.595800524934383,76.49055148476668,68.83129978824242,31.16870021175759
Castilla y León,31.137802728637638,83.29140461215933,16.729559748427672,68.86219727136236,65.03934022182197,34.95118020665466
Cataluña ,31.72210934894017,90.311633687028,9.688366312971992,68.27789065105983,69.36178717356546,30.638212826434536
Comunitat Valenciana ,26.022667567364707,94.22170945101432,5.778290548985675,73.9773324326353,66.96766774891775,33.035714285714285
Extremadura ,23.93695616483336,88.20301783264746,11.796982167352537,76.06304383516664,71.01230304338442,28.987696956615583
Galicia ,26.402254239991493,92.65002013693113,7.349979863068868,73.59774576000851,68.43892219894532,31.568301668713428
Madrid (Comunidad de),35.43244098003832,91.26325737687704,8.736742623122966,64.56755901996168,63.01322499783905,36.98677500216095
Murcia (Región de),23.24515905947441,92.82261063592414,7.177389364075864,76.75484094052558,72.3392273904719,27.67203513909224
Navarra (Comunidad Foral de),28.000840866092076,96.17117117117117,3.828828828828829,71.99915913390792,72.2919708029197,27.67883211678832
País Vasco ,26.84024236606875,92.48994188645507,7.510058113544926,73.15975763393125,63.69823698236982,36.30176301763018
"Rioja, La",21.563236449332287,92.34972677595628,7.6502732240437155,78.43676355066772,64.3465197796695,35.65348022033049
(1) Los porcentajes en estas columnas se calculan respecto al total de empresas en cada categoría que detectaron necesidades formativas de su personal.,,,,,,
(2) Los porcentajes en estas columnas se calculan respecto al total de empresas en cada categoría que no detectaron necesidades formativas de su personal.,,,,,,
