ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-18a. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN MEDIO UTILIZADO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,,,,
Año 2024. Porcentaje sobre el total de empresas que proporcionaron formación a sus trabajadores.,,,,,,
,TOTAL,Cursos de formación  diseñados y gestionados por su empresa ,Cursos de formación diseñados y gestionados por otra organización ,"Formación planificada en el puesto de trabajo, utilizando los medios habituales de trabajo","Aprendizaje planificado a partir de rotación de puestos de trabajo, intercambios, etc.","Participación en conferencias, seminarios, grupos de trabajo, talleres o ferias de muestras"
TOTAL,73.46827753473718,34.26932926076762,73.70996853017401,56.005491793163024,27.37527767493521,35.08654202147353
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,65.3194233986582,27.217847995377596,65.98911665531189,51.141371370421794,22.937813154876377,32.18865613977595
De 10 a 49 trabajadores,79.22790528576526,35.02863746834583,79.00287224459967,57.33102194122946,29.277350056935028,33.99870833970666
De 50 a 249 trabajadores,94.75935347350412,58.77797310780634,84.13550624792131,70.50886112034969,36.475507198175514,51.39924929918753
De 250 a 499 trabajadores,98.38523644752019,76.16256350136773,85.38491598280578,76.86596326690113,46.697928878468154,57.79601406799531
Más de 499 trabajadores,99.27536231884058,85.45012165450122,84.96350364963503,80.04866180048661,51.53284671532847,65.59610705596107
ACTIVIDAD ECONÓMICA,,,,,,
Industria,76.22260015117158,34.29357661700176,76.12117906636587,61.91090066192329,36.08101742816769,33.867169100329725
Construcción,77.71229037854188,22.42065195615466,84.76860994247446,57.771672247502934,21.27300306230503,23.03025099453364
Comercio y reparación de vehículos,73.95872740807634,38.68061514091479,71.44577915649133,54.40069962378721,29.94026796911095,41.624315226717705
Transporte y almacenamiento,77.4067693554925,30.568828958565163,79.66878313805067,52.05210447077306,24.25868953328533,20.416312103161616
Hostelería,60.73537059129424,25.970788214555526,68.13648954923192,54.371694787207254,21.5311004784689,13.127675648451271
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",80.54410110855245,48.577127659574465,73.39760638297872,52.972074468085104,31.788563829787233,63.62367021276596
"Actividades profesionales, científicas y técnicas",81.78817555313746,42.449776043283514,68.30458113441838,51.03108785311987,25.282717637145772,59.22213845403344
Actividades administrativas y servicios auxiliares,74.26149629479241,36.37482058642608,74.83425603171348,60.2009432027886,28.28241405235459,39.51882988175791
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",73.50780116110305,40.519528598753624,67.16233726167705,57.17282655642624,24.52026901955945,43.228234713395445
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,73.32472609249197,23.902570247731774,76.82375094764129,47.9274167909809,26.16223618889242,27.75671908243868
Aragón ,73.58718646116651,36.26283367556468,73.53867214236824,54.97604380561259,25.530458590006845,38.64476386036961
Asturias (Principado de),73.01387137452711,32.340241796200345,74.39550949913644,57.96632124352332,21.20034542314335,32.10276338514681
Balears (Illes),61.53506837229819,30.39426523297491,72.68817204301075,55.6415770609319,23.412186379928315,36.07168458781362
Canarias ,69.62459321245932,29.797178866538687,71.32125865954428,59.961605875970285,24.021367164677407,28.42834487939237
Cantabria ,71.5802781289507,36.70081243376899,78.20558106676086,53.973860826563055,27.446132108795478,31.75556340515719
Castilla-La Mancha,73.92981102969533,29.233176838810643,76.30672926447575,55.33646322378717,27.47000521648409,36.76577986437141
Castilla y León,70.56596383575952,35.078630897317296,70.76780758556892,50.712303422756705,26.938020351526365,36.95652173913044
Cataluña ,76.295599963611,37.30127186009539,75.36565977742448,58.31677265500795,30.78100158982512,41.25
Comunitat Valenciana ,74.3200980760089,38.074398249452955,71.11934017842114,55.53610503282276,26.032654435280257,32.28076081467766
Extremadura ,75.34066655721557,32.381782523425585,69.07823055131837,58.00828067117019,33.994334277620396,33.55850947918937
Galicia ,75.14487745228348,26.729871232489035,74.47997735955852,62.97580302815905,27.12607895853969,34.49129758030281
Madrid (Comunidad de),72.99127490558666,41.842742449343696,71.67579966866319,58.771505033770865,26.178157257550655,38.46820440932841
Murcia (Región de),76.93637621023512,28.46067415730337,77.69662921348315,53.69662921348315,26.651685393258425,30.617977528089888
Navarra (Comunidad Foral de),78.85221778431784,35.64382831245001,74.19354838709677,59.87736603572381,29.08557717941882,36.73687016795521
País Vasco ,71.1740356350111,44.73196223870533,69.77410654079569,58.917734322319625,31.50708024275118,36.79197572488199
"Rioja, La",70.22780832678711,37.86353467561521,70.3579418344519,59.45190156599553,28.859060402684563,36.74496644295302
(1) Una empresa puede haber utilizado uno o más medios formativos.,,,,,,
