ENCUESTA ANUAL LABORAL,,,,,,,,EAL
,,,,,,,,Volver al índice
"EAL-18b. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,,,,,,
Año 2024. Porcentaje sobre el total de empresas en cada categoría.,,,,,,,,
                         ,,PORCENTAJE DE TRABAJADORES QUE SE FORMARON DURANTE EL PERIODO DE INACTIVIDAD ,,,,,,
,Empresas que realizaron suspensión de contrato/reducción de jornada,Total,El 0'%,Más del 0% hasta el 25%,Más del 25% hasta el 50% ,Más del 50% hasta el 75%,Más del 75% hasta el 100%,El 100%
                         ,,,,,,,,
TOTAL,1.396570483033751,100,81.299,13.061,1.327,2.022,0.42,1.871
TAMAÑO DE LA EMPRESA,,,,,,,,
De 5 a 9 trabajadores,0.7638446849140674,100,85.635,9.391,1.418,2.351,0,1.206
De 10 a 49 trabajadores,1.5639832762184325,100,82.378,13.232,0,2.052,0.312,2.025
De 50 a 249 trabajadores,3.367700688847868,100,64.167,23.95,4.927,1.052,1.926,3.978
De 250 a 499 trabajadores,9.91926182237601,100,69.215,19.402,4.646,0,3.834,2.904
Más de 499 trabajadores,11.78743961352657,100,66.136,26.049,5.791,1.364,0.325,0.334
ACTIVIDAD ECONÓMICA,,,,,,,,
Industria,3.526077097505669,100,79.042,12.156,0.385,1.863,0.546,6.008
Construcción,0.13122192073306346,100,84.067,8.563,0.058,5.92,1.391,0
Comercio y reparación de vehículos,0.23064813345862367,100,85.276,11.029,1.964,0,0,1.732
Transporte y almacenamiento,0.8512363194162951,100,82.853,16.628,0.328,0,0.191,0
Hostelería,2.8050533786057326,100,86.534,13.319,0.128,0.019,0,0
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",1.1781716917474427,100,73.417,25.752,0.716,0.116,0,0
"Actividades profesionales, científicas y técnicas",0.3409503083061299,100,66.559,29.363,2.09,0,1.988,0
Actividades administrativas y servicios auxiliares,1.40594863465638,100,85.59,9.907,3.315,0.094,1.094,0
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",1.0023584905660377,100,68.871,6.066,6.637,12.714,0.063,5.65
COMUNIDAD AUTÓNOMA,,,,,,,,
Andalucía ,1.9491814155324834,100,86.189,8.659,2.918,0.933,0,1.301
Aragón ,1.0577213659715927,100,94.925,3.531,1.291,0,0.253,0
Asturias (Principado de),0.7723833543505675,100,83.657,7.451,0,0,8.892,0
Balears (Illes),0.035288928098809,100,73.093,26.907,0,0,0,0
Canarias ,0.3312412831241283,100,77.763,22.237,0,0,0,0
Cantabria ,1.1125158027812896,100,78.692,11.272,0.629,9.408,0,0
Castilla-La Mancha,0.4627844195912071,100,98.346,1.416,0.239,0,0,0
Castilla y León,1.1032051700502643,100,95.891,3.299,0,0,0,0.81
Cataluña ,1.7269612153925462,100,69.01,18.953,0.327,8.934,0.399,2.377
Comunitat Valenciana ,3.0523655833270786,100,79.585,19.84,0.112,0.463,0,0
Extremadura ,1.231324905598424,100,80.051,6.802,0.899,0,1.798,10.45
Galicia ,0.8187569780424265,100,88.408,10.332,0.42,0,0.84,0
Madrid (Comunidad de),0.416720927204063,100,81.248,12.697,3.062,0.16,1.051,1.782
Murcia (Región de),0.4581604426002766,100,93.809,6.046,0.145,0,0,0
Navarra (Comunidad Foral de),5.339499684675215,100,77.908,4.953,0,7.804,0,9.335
País Vasco ,1.235826984222209,100,66.394,19.083,0,0,0,14.523
"Rioja, La",1.0997643362136684,100,76.991,11.669,7.139,1.476,2.725,0
