ENCUESTA ANUAL LABORAL,,,,,,,EAL
,,,,,,,Volver al índice
"EAL-C2. EMPRESAS, SEGÚN PORCENTAJE DE TRABAJADORES CON CONTRATO TEMPORAL, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,,,,,
Año 2021. Porcentaje respecto al total de trabajadores en cada categoría.,,,,,,,
                         ,PORCENTAJE DE TEMPORALIDAD (2),,,,,,
,TOTAL,De más de 0% hasta 20%,De más de 20% hasta 40%,De más de 40% hasta 60%,De más de 60% hasta 80%,De más de 80% hasta 100%,No tienen
                         ,,,,,,,
 TOTAL,100,39.8,22.2,11.7,6.8,6.2,13.4
TAMAÑO DE LA EMPRESA,,,,,,,
De 5 a 9 trabajadores,100,33.5,21.4,12.2,7.5,7.9,17.5
De 10 a 49 trabajadores,100,45,23.1,11.3,6.3,4.7,9.6
De 50 a 249 trabajadores,100,55.5,22.2,9.6,4.9,2.4,5.4
De 250 a 499 trabajadores,100,57.6,22.5,8.8,2.6,2.3,6.1
Más de 499 trabajadores,100,53.7,27.6,6.9,2.1,3.9,5.8
ACTIVIDAD ECONÓMICA,,,,,,,
Industria,100,51.7,22.6,7.7,3,1.7,13.2
Construcción,100,22,20.3,17.8,17.5,16.5,5.9
Comercio y reparación de vehículos,100,49.3,21.2,7.7,2.9,1.8,17
Transporte y almacenamiento,100,39.8,25.2,13.7,6.4,4.4,10.5
Hostelería,100,27.7,27.3,18,10.2,10.1,6.6
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100,44,13.7,6,2.8,2.5,31
"Actividades profesionales, científicas y técnicas",100,49,15.9,6.1,2.6,1.7,24.6
Actividades administrativas y servicios auxiliares,100,32.3,26.3,15.2,7.7,7.5,11.1
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100,33.8,22.4,12.9,7.9,11.6,11.5
COMUNIDAD AUTÓNOMA,,,,,,,
Andalucía ,100,27.1,23.7,16.9,11.7,14.3,6.3
Aragón ,100,45.2,23.5,10.3,5,3.1,12.9
Asturias (Principado de),100,39,25.3,12.4,6.8,5.5,11.1
Balears (Illes),100,40.1,23.1,11.9,6.6,5.2,13.1
Canarias ,100,39.5,23.3,11.4,7.1,5.8,12.9
Cantabria ,100,42.1,23.9,11.1,6.7,5.4,10.8
Castilla-La Mancha,100,37.7,24.7,13.2,8.4,6.5,9.5
Castilla y León,100,44,23.8,10.8,5,3.6,12.8
Cataluña ,100,45,19.7,8.9,4.6,3.6,18.1
Comunitat Valenciana ,100,38.9,24.6,13.2,7.4,6.5,9.5
Extremadura ,100,33.4,24.2,16,10.4,7.8,8.3
Galicia ,100,41.2,25.6,12.2,5.6,4,11.4
Madrid (Comunidad de),100,41.3,17.5,9.4,5.7,4.7,21.4
Murcia (Región de),100,38,26.2,12.9,7.3,6.4,9.2
Navarra (Comunidad Foral de),100,47.4,25.6,8.8,4.5,3.4,10.3
País Vasco ,100,48.5,20.8,8.1,3.9,3.2,15.5
"Rioja, La",100,49.9,21.8,7.8,3.4,3,14
(1)  Datos obtenidos a partir del marco del que se extrae la muestra de la Encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2021.,,,,,,,
(2) El porcentaje de temporalidad para cada empresa del marco se ha calculado como suma de trabajadores temporales en el último día de cada uno de los doce meses del año entre la suma del total trabajadores en el último día de cada uno de los doce meses del año.,,,,,,,
