ENCUESTA ANUAL LABORAL,,,EAL
,,,Volver al índice
"EAL-C3. TRABAJADORES CON CONTRATO TEMPORAL, SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,
Año 2022. Porcentaje respecto al total de trabajadores en cada categoría.,,,
,PORCENTAJE DE TEMPORALIDAD (2),,
,TOTAL,Varones,Mujeres
TOTAL,14.9,14.9,15
TAMAÑO DE LA EMPRESA,,,
De 5 a 9 trabajadores,14.2,14.9,13.2
De 10 a 49 trabajadores,13.7,14,13.2
De 50 a 249 trabajadores,13.9,13.8,14
De 250 a 499 trabajadores,13.9,13.1,15.1
Más de 499 trabajadores,17,17,17
ACTIVIDAD ECONÓMICA,,,
Industria,11.3,11.3,11.5
Construcción,22,23,14.1
Comercio y reparación de vehículos,11,9.8,12.1
Transporte y almacenamiento,13.8,13.7,14
Hostelería,15.6,14.9,16.2
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",6,5.8,6.2
"Actividades profesionales, científicas y técnicas",12.8,12.9,12.6
Actividades administrativas y servicios auxiliares,27.6,30.2,25.3
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",20.2,21.6,18.9
COMUNIDAD AUTÓNOMA,,,
Andalucía ,20,19.8,20.3
Aragón ,12.9,12.8,13
Asturias (Principado de),16.5,17,15.5
Balears (Illes),9.6,10.9,7.9
Canarias ,16.1,15.8,16.4
Cantabria ,16,15.8,16.2
Castilla-La Mancha,15,14.7,15.6
Castilla y León,13.7,13.2,14.4
Cataluña ,13.3,13.2,13.4
Comunitat Valenciana ,14.7,14.7,14.6
Extremadura ,17.9,17.5,18.6
Galicia ,16,15.6,16.5
Madrid (Comunidad de),14.4,14.3,14.6
Murcia (Región de),15,15,15
Navarra (Comunidad Foral de),15.4,15.2,15.7
País Vasco ,15.3,15.1,15.6
"Rioja, La",11.9,11.6,12.4
(1) Datos obtenidos a partir del marco del que se extrae la muestra de la encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2022.,,,
(2) El porcentaje de temporalidad para cada empresa del marco se ha calculado como suma de trabajadores temporales en el último día de cada uno de los doce meses del año entre suma de total trabajadores en el último día de cada uno de los doce meses del año.,,,
