ENCUESTA ANUAL LABORAL,,,,,,,,,EAL
,,,,,,,,,Volver al índice
EAL-22. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN COMUNIDAD AUTÓNOMA POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1),,,,,,,,,
Año 2024. Porcentaje sobre el total de empresas formadoras en cada categoría.,,,,,,,,,
,TOTAL,ANDALUCÍA,ARAGÓN,ASTURIAS (PRINCIPADO DE),BALEARS (ILLES),CANARIAS,CANTABRIA,CASTILLA-LA MANCHA,CASTILLA Y LEÓN
De dirección,16.34734049117611,17.53197525127779,18.288843258042437,13.536269430051814,15.025089605734767,20.173608213003924,15.718827269516073,16.46322378716745,15.70767807585569
De trabajo en equipo,28.49484758731334,27.035288938886307,25.475701574264203,19.926597582037996,29.93548387096774,32.810282948001,25.785941363475803,32.45696400625978,32.32192414431082
De atención al público/ trato a clientes,24.5302665679378,25.978821745616393,14.907597535934292,21.243523316062177,24.88888888888889,32.36791586678908,23.066054397739315,21.690140845070424,22.67345050878816
Administrativas de oficina,17.027644082438602,19.54953412731408,17.412731006160165,15.177029360967184,19.268817204301076,16.501126784074785,19.18050158954433,14.606155451225874,24.051803885291395
Técnicas específicas del puesto de trabajo,50.83880970011107,46.91007801227654,55.742642026009584,60.2979274611399,44.86021505376344,45.3217594524664,54.60967855881314,56.84924360980699,49.60222016651249
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",11.20996853017401,14.668264410261427,11.800136892539356,9.995682210708118,12.716845878136201,12.019030131040815,11.515365595196045,12.936880542514345,8.066604995374654
En lenguas extranjeras,7.478711588300629,5.536670661025654,8.131416837782341,5.094991364421416,7.154121863799283,5.216592938819798,6.676086188625927,2.201356285863328,6.901017576318224
Generales de tecnologías de la información ,12.666990620757744,9.764984960015651,15.017111567419576,12.651122625215889,11.32616487455197,7.845755779984977,14.623807841752031,8.38810641627543,15.365402405180388
Profesionales de tecnologías de la información ,5.3109187955078365,4.4606392604729646,6.543463381245722,4.598445595854923,4.28673835125448,5.099741256990234,6.216884493111975,4.465310380803339,4.25531914893617
Básicas de cálculo y/o comunicación oral o escrita,1.2549364432926078,0.8192511799662517,1.2457221081451062,1.7055267702936097,1.189964157706093,0.30882230197813204,1.2363122571529495,0.7094418362023995,2.062904717853839
Otras ,13.934268172281872,14.929935682668559,15.715263518138261,12.154576856649395,18.03584229390681,19.255487855771637,8.97209466619569,14.950443401147627,11.591119333950047
,CATALUÑA,COMUNITAT VALENCIANA,EXTREMADURA,GALICIA,MADRID (COMUNIDAD DE),MURCIA (REGIÓN DE),NAVARRA (COMUNIDAD FORAL DE),PAÍS VASCO,"RIOJA, LA"
De dirección,16.39904610492846,13.011277562699883,18.348224013946393,15.621904627140228,17.451255256786034,15.112359550561798,14.129565449213542,16.410991233985165,13.087248322147651
De trabajo en equipo,28.994435612082672,28.840262582056894,33.07910220091523,26.397339748125088,28.918057856505673,32.89887640449438,26.019728072513995,21.81389076196898,25.16778523489933
De atención al público/ trato a clientes,27.003179650238472,26.110082477697357,25.25604706907823,16.888354322909297,23.626863769593474,22.59550561797753,14.849373500399894,25.429871881321645,20.58165548098434
Administrativas de oficina,15.007949125596184,15.704426864164281,21.70407496186533,18.423659261355596,15.478526825538422,15.337078651685394,17.621967475339908,16.67228590694538,23.76957494407159
Técnicas específicas del puesto de trabajo,50.29213036565978,51.873421982831175,49.618653301372845,52.64610159898118,49.87893462469734,57.831460674157306,56.091708877632634,55.824342548887394,54.977628635346754
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",9.848966613672497,8.769567412893453,14.207888428851602,7.966605348804301,11.076844654007902,9.92134831460674,15.782458011197015,13.393459204315576,12.919463087248323
En lenguas extranjeras,10.26033386327504,5.975425012624138,2.636740030507736,5.037498231215508,10.951956161590417,3.348314606741573,8.291122367368702,10.510788941335132,5.8165548098434
Generales de tecnologías de la información ,16.28974562798092,11.085675812152836,12.595336674656789,8.15763407386444,17.25755065630177,6.910112359550562,14.7960543854972,9.794335805799056,13.25503355704698
Profesionales de tecnologías de la información ,5.9360095389507155,3.4303989227402796,3.137938548703421,4.521013159756615,7.809353893207596,3.4269662921348316,6.238336443615036,7.02124072825354,3.131991051454139
Básicas de cálculo y/o comunicación oral o escrita,1.2221780604133545,1.2556808618077764,1.5907605142732621,1.4008773171076836,1.8019625334522749,2.8876404494382024,0.7997867235403893,0.13486176668914363,1.9574944071588367
Otras ,11.563990461049285,16.599899006901197,12.573545434735236,15.324748832602236,13.110742959092647,11.662921348314606,16.422287390029325,11.126095751854349,11.129753914988815
(1) Una empresa puede haber señalado de una a tres competencias.,,,,,,,,,
