ENCUESTA ANUAL LABORAL,,,EAL
,,,Volver al índice
"EAL-M1. ERRORES DE MUESTREO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,
Año 2024. Coeficientes de variación en porcentaje.,,,
,EMPRESAS QUE HAN APLICADO  MEDIDAS DE FLEXIBLIDAD INTERNA SOBRE EL TOTAL DE EMPRESAS,EMPRESAS QUE HAN PROPORCIONADO FORMACIÓN A SUS TRABAJADORES SOBRE EL TOTAL DE EMPRESAS,EMPRESAS QUE PREVÉN UN AUMENTO DE SU PLANTILLA EN UN AÑO SOBRE EL TOTAL DE EMPRESAS
TOTAL,3.2884468363507313,1.102095957404562,3.9461805476772978
TAMAÑO DE LA EMPRESA,,,
De 5 a 9 trabajadores,6.4020127946054135,2.1272679580064477,7.651681454179708
De 10 a 49 trabajadores,4.22212712616671,1.221104054203552,5.388506410926214
De 50 a 249 trabajadores,3.3419584106830347,0.6134737475730503,4.28471785927737
De 250 a 499 trabajadores,4.27318873934564,0.49682933751258584,5.044809894585546
Más de 499 trabajadores,0.45765126224113045,0.0357757507087025,0.6085282617323513
ACTIVIDAD ECONÓMICA,,,
Industria,5.4895313544457665,1.6097457846209116,6.471150826415551
Construcción,7.258335970497703,1.7633764024783678,7.203164065787725
Comercio y reparación de vehículos,9.80149040414636,2.8649842291050116,12.107165550464421
Transporte y almacenamiento,12.533704478202282,2.7928515666497606,10.92467075905123
Hostelería,7.22561779654053,4.359589318696921,18.521913076558473
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",12.64722290069905,3.254377916505282,11.313883476905628
"Actividades profesionales, científicas y técnicas",11.053320897017095,2.7603026591136963,11.531970151692985
Actividades administrativas y servicios auxiliares,8.469004687693142,3.375718195849976,10.820817196714735
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",8.520334311076597,3.3819373477428485,14.952039172826048
COMUNIDAD AUTÓNOMA,,,
Andalucía ,8.840863747000784,3.5064922544765404,13.474179030215366
Aragón ,10.84840191312659,3.463716786537548,11.97407575767585
Asturias (Principado de),12.429419602891775,3.747504152360427,17.46747091648347
Balears (Illes),13.572314222803714,4.709270771689297,16.34681021227925
Canarias ,11.900738050937036,4.273704696082172,15.211396985002931
Cantabria ,11.503337353291682,3.941117591690768,17.626085002704333
Castilla-La Mancha,11.093509098766873,3.5442966334583117,13.684146486235433
Castilla y León,11.455339317363341,3.897146511562504,13.697414514023931
Cataluña ,10.239282354628733,2.9455500971590194,10.908934370601402
Comunitat Valenciana ,8.562765899772758,3.2271003691784554,12.466028353810769
Extremadura ,10.844818705627809,3.512285366154292,16.712378954578558
Galicia ,10.552282294292665,3.4340591827334275,14.048861604038063
Madrid (Comunidad de),10.237315223508812,3.2646810849832066,9.96271377620296
Murcia (Región de),11.943148803011983,3.4658165992848398,12.242605919601354
Navarra (Comunidad Foral de),10.02452719284771,3.1246276962323107,15.54360855149905
País Vasco ,12.94335338967201,3.8543478842459282,12.964349959065952
"Rioja, La",13.043861096497519,3.8957946525863414,15.8658599786216
