ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-18. EMPRESAS, SEGÚN DETECTARAN O NO NECESIDADES FORMATIVAS DE SU PERSONAL E IMPARTIERAN O NO FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,,,,
Año 2021. Porcentaje sobre el total de empresas en cada categoría.,,,,,,
,DETECTARON NECESIDADES FORMATIVAS DE SU PERSONAL,,,NO DETECTARON NECESIDADES FORMATIVAS DE SU PERSONAL,,
,Total,Proporcionaron formación (1),No proporcionaron formación (1),Total,Proporcionaron formación (2),No proporcionaron formación (2)
TOTAL,17.44744159128367,87.99012096410738,12.008076292116602,82.5528729413837,62.92606167749998,37.07393832250002
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,12.700211589817165,83.06910955002849,16.93089044997152,87.29978841018284,55.38154523922966,44.61845476077034
De 10 a 49 trabajadores,19.630729722621865,88.29347097994405,11.706529020055951,80.36927027737813,70.03455145664707,29.965448543352935
De 50 a 249 trabajadores,37.4278820937795,98.38845291479821,1.5975336322869955,62.5721179062205,87.92958927074602,12.070410729253982
De 250 a 499 trabajadores,48.0330257406508,99.3933265925177,0.7077856420626896,51.9669742593492,92.89719626168224,7.102803738317757
Más de 499 trabajadores,54.82295482295482,99.77728285077951,0.22271714922049,45.17704517704518,94.86486486486487,5
ACTIVIDAD ECONÓMICA,,,,,,
Industria,19.961152857619336,87.47788480440339,12.52211519559662,80.03884714238066,68.20443681823753,31.79556318176247
Construcción,16.957686393174264,88.21120374433231,11.788796255667691,83.04231360682573,67.0380215644694,32.9619784355306
Comercio y reparación de vehículos,15.486848177203507,89.44321471139111,10.556785288608888,84.51315182279649,64.84188520881762,35.15811479118239
Transporte y almacenamiento,19.006065765669895,93.25307950727884,6.746920492721165,80.99393423433011,68.23019314150571,31.769806858494285
Hostelería,13.77747400985647,74.94778067885117,25.052219321148826,86.22252599014352,47.7637782135258,52.23830781426009
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",25.90506329113924,95.5289518690447,4.47104813095529,74.09493670886076,73.17844024942342,26.81301785256684
"Actividades profesionales, científicas y técnicas",22.262339474008122,92.68337633615923,7.316623663840767,77.73766052599187,69.56246371457223,30.442814165831003
Actividades administrativas y servicios auxiliares,17.164349213585595,94.9535192563081,5.046480743691899,82.8356507864144,63.78646119977986,36.20665932856357
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",15.786375555198802,84.77966101694915,15.220338983050848,84.2136244448012,57.33621401791955,42.66378598208045
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,16.252602931777417,81.36496257769885,18.62235189648611,83.74739706822258,62.72033481043821,37.27966518956179
Aragón ,20.01986535702461,92.28224917309812,7.772877618522602,79.98013464297539,63.84710914861322,36.15289085138678
Asturias (Principado de),14.64471403812825,88.28402366863905,11.597633136094675,85.35528596187174,59.898477157360404,40.121827411167516
Balears (Illes),12.793685756240823,82.7116212338594,17.21664275466284,87.20631424375918,53.8623447695222,46.1376552304778
Canarias ,21.861853711494096,87.33705772811918,12.66294227188082,78.13814628850591,52.90031260854463,47.09968739145537
Cantabria ,15.203252032520325,85.02673796791444,14.795008912655971,84.79674796747967,57.39852988175136,42.633429210610416
Castilla-La Mancha,16.888964404043836,80.58350100603622,19.41649899396378,83.11103559595617,57.405703771849126,42.594296228150874
Castilla y León,17.795082558223378,87.76337115072934,12.236628849270664,82.20491744177663,70.45873169020261,29.541268309797385
Cataluña ,17.1437967606676,87.88605409553041,12.113945904469595,82.8562032393324,63.773839528468514,36.226160471531486
Comunitat Valenciana ,16.128760428077864,86.06757227446883,13.932427725531173,83.87123957192213,63.26400750192572,36.73599249807428
Extremadura ,12.456365974646335,84.21828908554572,15.781710914454278,87.54363402535367,60.44071353620147,39.53830010493179
Galicia ,16.987568661462852,96.5282505105514,3.4717494894486043,83.01243133853716,66.46931810266769,33.530681897332315
Madrid (Comunidad de),18.913892893708603,93.39372514361467,6.606274856385329,81.08819657744625,67.23098330241187,32.766439909297056
Murcia (Región de),14.274661508704062,99.1869918699187,0.8130081300813008,85.72533849129594,65.69268953068593,34.30731046931408
Navarra (Comunidad Foral de),19.30493273542601,87.45644599303135,12.543554006968641,80.69506726457399,66.6296193387052,33.398166157265905
País Vasco ,24.318387388551493,87.51328374070138,12.513283740701382,75.68161261144851,56.08673382277617,43.91326617722383
"Rioja, La",15.364916773367478,79.16666666666667,20.555555555555557,84.63508322663252,56.379223398890566,43.620776601109434
(1) Los porcentajes en estas columnas se calculan respecto al total de empresas en cada categoría que detectaron necesidades formativas de su personal.,,,,,,
(2) Los porcentajes en estas columnas se calculan respecto al total de empresas en cada categoría que no detectaron necesidades formativas de su personal.,,,,,,
