ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-C1. EMPRESAS  Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,,,,
Año 2021,,,,,,
,TOTAL EMPRESAS,TOTAL TRABAJADORES,VARONES,MUJERES,DISTRIBUCIÓN PORCENTUAL,
,,,,,Varones,Mujeres
TOTAL,317952,9250630,5510116,3740514,59.6,40.4
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,165887,1073494,632097,441397,58.9,41.1
De 10 a 49 trabajadores,129282,2499098,1628931,870167,65.2,34.8
De 50 a 249 trabajadores,19066,1878181,1202512,675669,64,36
De 250 a 499 trabajadores,2070,709052,421376,287676,59.4,40.6
Más de 499 trabajadores,1647,3090805,1625200,1465605,52.6,47.4
ACTIVIDAD ECONÓMICA,,,,,,
Industria,50970,1934769,1422610,512159,73.5,26.5
Construcción,40319,702387,622964,79423,88.7,11.3
Comercio y reparación de vehículos,75845,1975778,995688,980090,50.4,49.6
Transporte y almacenamiento,18797,631712,480036,151676,76,24
Hostelería,55600,915848,432385,483463,47.2,52.8
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",15802,815412,472789,342623,58,42
"Actividades profesionales, científicas y técnicas",24377,613787,301960,311827,49.2,50.8
Actividades administrativas y servicios auxiliares,17548,1299625,602494,697131,46.4,53.6
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",18694,361312,179190,182122,49.6,50.4
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,48503,939834,604321,335513,64.3,35.7
Aragón ,9063,229987,149670,80317,65.1,34.9
Asturias (Principado de),5770,134210,85667,48543,63.8,36.2
Balears (Illes),10896,219408,130021,89387,59.3,40.7
Canarias ,14744,316360,185201,131159,58.5,41.5
Cantabria ,3692,82856,51821,31035,62.5,37.5
Castilla-La Mancha,11771,233716,160631,73085,68.7,31.3
Castilla y León,13870,303486,187455,116031,61.8,38.2
Cataluña ,60815,1869262,1061082,808180,56.8,43.2
Comunitat Valenciana ,35601,934632,548916,385716,58.7,41.3
Extremadura ,5443,98093,62823,35270,64,36
Galicia ,17296,420679,238128,182551,56.6,43.4
Madrid (Comunidad de),47859,2577275,1469096,1108179,57,43
Murcia (Región de),10341,233520,150133,83387,64.3,35.7
Navarra (Comunidad Foral de),4465,133582,87945,45637,65.8,34.2
País Vasco ,15478,475418,306334,169084,64.4,35.6
"Rioja, La",2345,48312,30872,17440,63.9,36.1
(1) Datos obtenidos a partir del marco del que se extrae la muestra de la encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2021.,,,,,,
Los datos de trabajadores de esta tabla se han calculado promediando los valores del último día de cada mes del Año 2021 en los que la empresa ha estado activa y sumando para todas las empresas del marco.,,,,,,
