ENCUESTA ANUAL LABORAL,,,EAL
,,,Volver al índice
"EAL-C3. TRABAJADORES CON CONTRATO TEMPORAL, SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,
Año 2021. Porcentaje respecto al total de trabajadores en cada categoría.,,,
,PORCENTAJE DE TEMPORALIDAD (2),,
,TOTAL,Varones,Mujeres
TOTAL,23.4,23.9,22.7
TAMAÑO DE LA EMPRESA,,,
De 5 a 9 trabajadores,27.2,29.3,24.1
De 10 a 49 trabajadores,24.3,25.4,22.3
De 50 a 249 trabajadores,21.4,21.4,21.2
De 250 a 499 trabajadores,20,19,21.5
Más de 499 trabajadores,23.4,23.5,23.4
ACTIVIDAD ECONÓMICA,,,
Industria,16.5,16.4,16.7
Construcción,42.6,45.1,23.3
Comercio y reparación de vehículos,17.3,15.9,18.6
Transporte y almacenamiento,21.5,22.2,19.1
Hostelería,28.9,29.1,28.7
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",8.5,8.4,8.5
"Actividades profesionales, científicas y técnicas",18.5,18.7,18.3
Actividades administrativas y servicios auxiliares,40.1,43.7,36.9
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",29.5,30.5,28.5
COMUNIDAD AUTÓNOMA,,,
Andalucía ,34.5,35.1,33.4
Aragón ,19.6,19.7,19.6
Asturias (Principado de),24.4,24.9,23.5
Balears (Illes),22.3,24.8,18.6
Canarias ,25.5,26.3,24.3
Cantabria ,24.4,24.1,24.9
Castilla-La Mancha,26.6,26.9,25.9
Castilla y León,21.8,21.5,22.3
Cataluña ,20.1,20.4,19.8
Comunitat Valenciana ,24.9,25.8,23.7
Extremadura ,30.2,30.7,29.2
Galicia ,24.5,24.6,24.5
Madrid (Comunidad de),20.9,21.1,20.7
Murcia (Región de),29.4,29.7,28.9
Navarra (Comunidad Foral de),21.1,20.7,21.7
País Vasco ,20.7,20.5,21
"Rioja, La",18.1,17.8,18.7
(1) Datos obtenidos a partir del marco del que se extrae la muestra de la encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2021.,,,
(2) El porcentaje de temporalidad para cada empresa del marco se ha calculado como suma de trabajadores temporales en el último día de cada uno de los doce meses del año entre suma de total trabajadores en el último día de cada uno de los doce meses del año.,,,
