ENCUESTA ANUAL LABORAL,,,,,EAL
,,,,,Volver al índice
"EAL-16. EMPRESAS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",,,,,
Año 2022. Porcentaje sobre el total de empresas. ,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
De dirección,100,8.849,19.912,42.71,28.53
De trabajo en equipo,100,2.354,6.313,48.921,42.412
De atención al público/ trato a clientes,100,4.344,14.56,39.998,41.099
Administrativas de oficina,100,7.903,24.507,43.707,23.883
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,4.426,14.532,48.469,32.573
En lenguas extranjeras,100,18.558,40.786,26.824,13.832
Básicas de cálculo y/o comunicación oral o escrita,100,17.603,38.581,33.558,10.258
Generales de tecnologías de la información ,100,10.301,28.712,44.416,16.571
Profesionales de tecnologías de la información ,100,21.65,41.529,26.527,10.294
"Competencias técnicas, prácticas y otras específicas del puesto de trabajo ",100,15.553,25.882,36.815,21.749
"EAL-16a. EMPRESAS DE 5 A 49 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",,,,,
Año 2022. Porcentaje respecto al total de empresas de 5 a 49 trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
De dirección,100,9.329,20.593,42.503,27.575
De trabajo en equipo,100,2.472,6.489,49.238,41.801
De atención al público/ trato a clientes,100,4.364,14.368,40.028,41.24
Administrativas de oficina,100,8.317,24.79,43.145,23.748
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,4.612,14.849,48.435,32.104
En lenguas extranjeras,100,19.052,41.421,26.212,13.315
Básicas de cálculo y/o comunicación oral o escrita,100,18.356,38.89,32.724,10.03
Generales de tecnologías de la información ,100,10.853,29.468,43.803,15.876
Profesionales de tecnologías de la información ,100,22.556,42.214,25.686,9.544
"Competencias técnicas, prácticas y otras específicas del puesto de trabajo ",100,16.055,26.41,36.367,21.168
"EAL-16b. EMPRESAS DE 50 A 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",,,,,
Año 2022. Porcentaje respecto al total de empresas de 50 a 499 trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
De dirección,100,2.866,11.5,45.193,40.441
De trabajo en equipo,100,0.893,4.153,45.124,49.83
De atención al público/ trato a clientes,100,4.207,17.251,39.323,39.218
Administrativas de oficina,100,2.74,20.738,50.668,25.854
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,2.143,10.565,48.905,38.386
En lenguas extranjeras,100,12.618,32.988,34.262,20.133
Básicas de cálculo y/o comunicación oral o escrita,100,8.354,35.119,43.654,12.873
Generales de tecnologías de la información ,100,3.456,19.585,52.309,24.65
Profesionales de tecnologías de la información ,100,10.551,33.589,36.721,19.139
"Competencias técnicas, prácticas y otras específicas del puesto de trabajo ",100,9.405,19.266,42.593,28.736
"EAL-16c. EMPRESAS DE MÁS DE 499 TRABAJADORES, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",,,,,
Año 2022. Porcentaje respecto al total de empresas de más de 499 trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
De dirección,100,1.714,8.773,46.978,42.535
De trabajo en equipo,100,0.504,3.198,42.374,53.924
De atención al público/ trato a clientes,100,2.505,13.57,43.319,40.606
Administrativas de oficina,100,1.828,23.259,52.651,22.261
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,1.236,10.034,48.775,39.955
En lenguas extranjeras,100,8.469,29.958,38.298,23.275
Básicas de cálculo y/o comunicación oral o escrita,100,4.834,29.013,49.702,16.452
Generales de tecnologías de la información ,100,1.674,13.755,50.314,34.257
Profesionales de tecnologías de la información ,100,5.784,23.95,42.536,27.731
"Competencias técnicas, prácticas y otras específicas del puesto de trabajo ",100,6.771,18.571,41.027,33.63
"EAL-16d. EMPRESAS DE LA INDUSTRIA, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",,,,,
Año 2022. Porcentaje respecto al total de empresas en la industria.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
De dirección,100,6.771,18.792,44.371,30.067
De trabajo en equipo,100,2.115,6.007,52.843,39.035
De atención al público/ trato a clientes,100,6.353,20.932,44.358,28.356
Administrativas de oficina,100,4.557,23.763,48.055,23.626
