ENCUESTA ANUAL LABORAL,,,,,EAL
,,,,,Volver al índice
"EAL-25. EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2022. Porcentaje sobre el total de empresas que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,8.374,15.002,51.328,25.296
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,20.172,16.547,43.83,19.452
Dificultad para evaluar la necesidades de formación de la empresa,100,29.22,48.032,18.593,4.155
La falta de cursos de formación adecuados en el mercado,100,27.962,42.463,20.571,9.004
El alto coste de los cursos de formación,100,25.904,37.525,25.636,10.935
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,68.922,20.929,7.327,2.822
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,32.429,37.605,23.386,6.58
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,19.957,30.93,33.078,16.036
Dificultad para acceder a ayudas o subvenciones públicas,100,27.198,34.555,27.378,10.869
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,48.105,38.953,8.039,4.903
Otras razones,100,57.226,29.077,7.852,5.845
"EAL-25a. EMPRESAS DE 5 A 49 TRABAJADORES QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2022. Porcentaje sobre el total de empresas de 5 a 49 trabajadores que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,8.306,15.045,51.26,25.389
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,20.153,16.506,43.856,19.485
Dificultad para evaluar la necesidades de formación de la empresa,100,29.223,48.026,18.575,4.176
La falta de cursos de formación adecuados en el mercado,100,27.925,42.488,20.498,9.09
El alto coste de los cursos de formación,100,25.891,37.455,25.612,11.042
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,68.962,20.944,7.26,2.833
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,32.419,37.621,23.319,6.641
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,19.895,30.973,33.026,16.105
Dificultad para acceder a ayudas o subvenciones públicas,100,27.179,34.54,27.391,10.89
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,48.126,39.03,7.911,4.933
Otras razones,100,57.295,29.079,7.723,5.903
"EAL-25b. EMPRESAS DE 50 O MÁS TRABAJADORES QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2022. Porcentaje sobre el total de empresas de más de 50 trabajadores no que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,13.466,11.743,56.511,18.281
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,21.56,19.577,41.861,17.003
Dificultad para evaluar la necesidades de formación de la empresa,100,29.01,48.47,19.973,2.547
La falta de cursos de formación adecuados en el mercado,100,30.764,40.566,26.094,2.576
El alto coste de los cursos de formación,100,26.862,42.816,27.447,2.875
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,65.922,19.738,12.35,1.991
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,33.152,36.402,28.414,2.032
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,24.599,27.633,36.991,10.777
Dificultad para acceder a ayudas o subvenciones públicas,100,28.627,35.686,26.379,9.307
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,46.577,33.159,17.686,2.579
Otras razones,100,52.013,28.912,17.598,1.477
"EAL-25c. EMPRESAS DE LA INDUSTRIA QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2022. Porcentaje sobre el total de empresas en la industria que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
