ENCUESTA ANUAL LABORAL,,,,,,,EAL
,,,,,,,Volver al índice
"EAL-C2. EMPRESAS, SEGÚN PORCENTAJE DE TRABAJADORES CON CONTRATO TEMPORAL, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA (1)",,,,,,,
Año 2022. Porcentaje respecto al total de trabajadores en cada categoría.,,,,,,,
                         ,PORCENTAJE DE TEMPORALIDAD (2),,,,,,
,TOTAL,De más de 0% hasta 20%,De más de 20% hasta 40%,De más de 40% hasta 60%,De más de 60% hasta 80%,De más de 80% hasta 100%,No tienen
                         ,,,,,,,
 TOTAL,100,55.1,16.3,5.1,1.8,0.8,20.9
TAMAÑO DE LA EMPRESA,,,,,,,
De 5 a 9 trabajadores,100,47.4,16.4,5.7,2.1,0.9,27.5
De 10 a 49 trabajadores,100,62,16.2,4.7,1.5,0.7,15
De 50 a 249 trabajadores,100,69.5,16.2,4.2,1.2,0.7,8.2
De 250 a 499 trabajadores,100,70.2,16,3.4,0.9,1.1,8.3
Más de 499 trabajadores,100,70.2,16.4,2.1,1.1,2.2,7.9
ACTIVIDAD ECONÓMICA,,,,,,,
Industria,100,63.7,12.8,2.7,0.8,0.3,19.6
Construcción,100,45.5,24.8,10.6,4,1.4,13.7
Comercio y reparación de vehículos,100,60.1,11.9,2.5,0.7,0.2,24.6
Transporte y almacenamiento,100,58.5,17.3,5.1,1.5,0.4,17.2
Hostelería,100,54.2,20.5,6.5,2.2,0.9,15.6
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100,46,9,2.8,1.1,1.2,39.9
"Actividades profesionales, científicas y técnicas",100,52.2,10.9,2.9,1,0.3,32.7
Actividades administrativas y servicios auxiliares,100,51.9,20.3,6.6,2.8,1.8,16.6
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100,47.1,19.8,9.1,3.9,3,17.1
COMUNIDAD AUTÓNOMA,,,,,,,
Andalucía ,100,49.6,23.6,9.6,3.9,1.8,11.6
Aragón ,100,59.7,16,4,1.1,0.5,18.7
Asturias (Principado de),100,55.7,18.7,6.3,2,0.8,16.4
Balears (Illes),100,57.4,11.2,3,0.9,0.4,27.1
Canarias ,100,58.3,15.1,4.5,1.4,0.6,20.1
Cantabria ,100,57.5,18.5,4.8,1.7,0.9,16.5
Castilla-La Mancha,100,56.5,18.4,5.5,2,1,16.6
Castilla y León,100,58.2,15.7,4.3,1.5,0.5,19.9
Cataluña ,100,55.3,12,3.5,1.1,0.5,27.6
Comunitat Valenciana ,100,58.2,17.4,5.1,1.6,0.7,17
Extremadura ,100,52.9,21.6,8.1,2.4,1,14
Galicia ,100,58.9,16.7,4.4,1.3,0.5,18.3
Madrid (Comunidad de),100,50.2,13.6,4.4,1.6,0.9,29.4
Murcia (Región de),100,61.4,14.7,3.5,1.2,0.6,18.6
Navarra (Comunidad Foral de),100,60.5,18.3,3.9,1.2,1,15.1
País Vasco ,100,57.4,15.7,4.3,1.4,0.8,20.4
"Rioja, La",100,61.8,13.3,2.4,1,1.1,20.4
(1)  Datos obtenidos a partir del marco del que se extrae la muestra de la Encuesta. Dicho marco es una explotación específica de los ficheros de Cuentas de Cotización a la Seguridad Social en el último día de cada uno de los doce meses del Año 2022.,,,,,,,
(2) El porcentaje de temporalidad para cada empresa del marco se ha calculado como suma de trabajadores temporales en el último día de cada uno de los doce meses del año entre la suma del total trabajadores en el último día de cada uno de los doce meses del año.,,,,,,,
