ENCUESTA ANUAL LABORAL,EAL
,Volver al índice
"EAL-18c. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",
Año 2023. Porcentaje sobre el total de empresas en cada categoría.,
                         ,PORCENTAJE DE EMPRESAS QUE PROPORCIONARON FORMACIÓN EN SEGURIDAD Y SALUD LABORAL
                         ,
TOTAL,73.809
TAMAÑO DE LA EMPRESA,
De 5 a 9 trabajadores,66.985
De 10 a 49 trabajadores,78.531
De 50 a 249 trabajadores,93.039
De 250 a 499 trabajadores,95.566
Más de 499 trabajadores,97.093
ACTIVIDAD ECONÓMICA,
Industria,79.249
Construcción,81.786
Comercio y reparación de vehículos,69.71
Transporte y almacenamiento,78.148
Hostelería,69.843
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",73.498
"Actividades profesionales, científicas y técnicas",70.226
Actividades administrativas y servicios auxiliares,77.03
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",68.728
COMUNIDAD AUTÓNOMA,
Andalucía ,75.509
Aragón ,69.395
Asturias (Principado de),64.758
Balears (Illes),78.099
Canarias ,72.643
Cantabria ,70.311
Castilla-La Mancha,69.528
Castilla y León,70.572
Cataluña ,76.529
Comunitat Valenciana ,77.683
Extremadura ,72.836
Galicia ,71.612
Madrid (Comunidad de),72.67
Murcia (Región de),76.808
Navarra (Comunidad Foral de),73.635
País Vasco ,64.572
"Rioja, La",70.55
