ENCUESTA ANUAL LABORAL,,,,,,,,,EAL
,,,,,,,,,Volver al índice
"EAL-22. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",,,,,,,,,
Año 2023. Porcentaje sobre el total de empresas formadoras en cada categoría.,,,,,,,,,
,TOTAL,ANDALUCÍA,ARAGÓN,ASTURIAS (PRINCIPADO DE),BALEARS (ILLES),CANARIAS,CANTABRIA,CASTILLA-LA MANCHA,CASTILLA Y LEÓN
De dirección,11.720302260634622,12.363427257044279,10.530391018195896,6.078304131516331,9.880199219275811,11.70838073568449,7.1547420965058235,12.661469933184856,10.210236849108488
De trabajo en equipo,25.101615980470772,28.229617221291598,21.40921409214092,16.07181483884923,24.59281195315655,32.78346605991657,20.69883527454243,19.309576837416483,21.20997072651468
De atención al público/ trato a clientes,21.546537946507925,21.496612245918445,19.008904374758032,19.143413367942895,27.72916947099206,24.241562381494123,27.154742096505824,18.474387527839642,22.150270557970373
Administrativas de oficina,15.40415312116101,15.41615621171588,16.350496838301716,11.680726800778714,16.529815587562258,10.219946909366705,14.10981697171381,14.064587973273943,15.585913244034419
Técnicas específicas del puesto de trabajo,41.047325988805454,36.450233767532566,51.47761001419538,41.40168721609344,37.29977116704806,37.2392870686386,38.56905158069883,51.31403118040089,45.17874567550785
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",12.247243827002002,11.130834812610946,12.040263259775456,10.923642656283798,13.945349306770764,7.982555934774365,14.742096505823627,11.915367483296214,8.684467311274727
En lenguas extranjeras,8.198404954988762,4.720354026551991,5.020002580978191,9.171533636166991,11.333961502221026,4.379977246871444,4.292845257903494,3.0289532293986636,2.4217156036547505
Generales de tecnologías de la información ,12.089240358825876,9.200690051753881,12.324170860756226,12.329656067488644,5.976578274330327,8.598786499810391,9.217970049916806,10.267260579064589,12.738401490286526
Profesionales de tecnologías de la información ,6.125399452517983,4.812860964572343,5.355529745773648,7.09495998269522,6.272715035671019,1.8202502844141069,2.7287853577371046,3.173719376391982,2.732191963097667
Básicas de cálculo y/o comunicación oral o escrita,1.9142120169537722,1.0800810060754558,0.45167118337850043,0.1081548777849881,1.4537622829452146,2.796738718240425,1.9301164725457571,0.9131403118040089,0.44353765634702386
Otras ,18.897609802535165,20.809060679550967,17.421602787456447,24.486264330521305,19.073899582716383,19.965870307167236,19.56738768718802,20.12249443207127,17.901179810165882
,CATALUÑA,COMUNITAT VALENCIANA,EXTREMADURA,GALICIA,MADRID (COMUNIDAD DE),MURCIA (REGIÓN DE),NAVARRA (COMUNIDAD FORAL DE),PAÍS VASCO,"RIOJA, LA"
De dirección,11.366823393549451,9.99965048407955,11.690821256038648,12.402005791369447,13.636363636363637,12.331838565022421,11.631288165164293,13.68005915701257,12.147043153969099
De trabajo en equipo,26.903406747504743,27.10845479011569,25.241545893719806,18.108623490359488,25.665060745705908,20.757611517583197,18.028496656004652,23.186262427080766,21.6302610548748
De atención al público/ trato a clientes,20.386867936979296,19.730173709412465,19.3719806763285,17.020976057631188,27.010892333472977,22.563134293131935,14.539110206455366,17.804617533481228,19.49920085242408
Administrativas de oficina,17.460612059721193,17.0249204851281,17.318840579710145,15.198813475527933,14.620863007959782,16.1198961529384,14.190171561500437,11.141237367512941,14.597762386787426
Técnicas específicas del puesto de trabajo,39.38794027880888,42.39977630981091,45.21739130434783,48.75344303976269,36.554775869292,41.26740618362049,44.7223029950567,49.338591734450745,46.19072988811934
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",14.394126866287223,14.53287197231834,16.47342995169082,9.315629634861219,11.232718894009217,15.069624734481945,12.619947659203257,11.461671185605127,11.241342567927544
En lenguas extranjeras,11.183287965025158,9.46489112579078,4.202898550724638,4.308213856910799,13.8903435274403,5.038942648100071,8.287292817679559,8.495604305315915,5.8071390516782095
Generales de tecnologías de la información ,12.952651983832384,11.974415434623047,7.463768115942029,8.482237446147327,18.85735232509426,9.310833136653292,13.172433847048561,12.981677758606523,9.270111880660629
Profesionales de tecnologías de la información ,6.82793038026891,5.854391667540456,4.106280193236715,4.244650045907197,11.855886049434437,4.000472032098183,6.949694678685664,4.527154712020376,4.8481619605753865
Básicas de cálculo y/o comunicación oral o escrita,2.5303142786439,3.6384607318863376,3.6231884057971016,0.36725757468747794,2.704754922496858,2.135945244276611,0.5524861878453039,0.5176238599950702,0.7458710708577517
Otras ,20.40336550358822,16.626472335814896,17.391304347826086,23.34204392965605,15.532048596564726,17.205569978758554,22.099447513812155,16.128502177306714,16.515716568993074
(1) Una empresa puede haber señalado de una a tres competencias.,,,,,,,,,
