ENCUESTA ANUAL LABORAL,,,EAL
,,,Volver al índice
"EAL-M1. ERRORES DE MUESTREO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,
Año 2023. Coeficientes de variación en porcentaje,,,
,EMPRESAS QUE HAN APLICADO  MEDIDAS DE FLEXIBLIDAD INTERNA SOBRE EL TOTAL DE EMPRESAS,EMPRESAS QUE HAN PROPORCIONADO FORMACIÓN A SUS TRABAJADORES SOBRE EL TOTAL DE EMPRESAS,EMPRESAS QUE PREVÉN UN AUMENTO DE SU PLANTILLA EN UN AÑO SOBRE EL TOTAL DE EMPRESAS
TOTAL,2.798323275423407,1.0630573944151906,3.43238803366532
TAMAÑO DE LA EMPRESA,,,
De 5 a 9 trabajadores,4.903862556276728,2.0403213926858776,6.618331732873811
De 10 a 49 trabajadores,3.7447589615706858,1.1897669547281922,4.449555514861105
De 50 a 249 trabajadores,3.157361896495196,0.5827073762810379,3.5696426262708414
De 250 a 499 trabajadores,3.49942495067845,0.5156238618270944,4.564917701166711
Más de 499 trabajadores,1.190017289706714,0.10492676149532007,1.355704315406802
ACTIVIDAD ECONÓMICA,,,
Industria,4.936190780121995,1.461446961041503,5.8560066304486025
Construcción,6.229725934511506,1.6821522226594479,6.60060978295215
Comercio y reparación de vehículos,7.420705313845841,2.876561364036687,9.069421528026604
Transporte y almacenamiento,9.693672921839154,2.668209531069498,11.44225779329556
Hostelería,6.746786394688466,4.461011263280683,12.189489843419203
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",10.35377318855323,2.9027640327155617,9.654940631518857
"Actividades profesionales, científicas y técnicas",9.447760517854013,2.3738994861786837,8.227266083514895
Actividades administrativas y servicios auxiliares,7.2776457755437205,3.4525188820086186,9.174976416017342
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",7.7421932537643094,3.417580446795817,12.62235498201327
COMUNIDAD AUTÓNOMA,,,
Andalucía ,7.383237209584831,3.021786607571382,9.7959185469282
Aragón ,9.901955508866982,2.963876263836078,11.16615606523667
Asturias (Principado de),9.738747650947994,3.525191765962644,13.333399423075196
Balears (Illes),9.285461002347773,3.955910384749923,10.14374652920868
Canarias ,10.521414301890971,4.694580504321868,14.082196636340116
Cantabria ,11.135653670998357,3.3289964261147547,12.598649686083899
Castilla-La Mancha,10.871022286415286,3.6473123492926662,14.12810642949484
Castilla y León,8.717040131000047,3.1870283551582634,12.09783270462483
Cataluña ,8.152098690917903,2.885414125551957,8.896196324554307
Comunitat Valenciana ,8.430888369646725,3.3433299956901545,10.36643081629872
Extremadura ,8.612769082150551,3.9867045490433815,12.265512223618646
Galicia ,10.028803372714309,3.540352105816422,12.787601145557115
Madrid (Comunidad de),8.373386172461537,3.4193809097931425,9.536270929375917
Murcia (Región de),9.752388297880497,3.359822287851185,11.575758015951791
Navarra (Comunidad Foral de),9.329158360576084,3.5219825019862934,15.395154914427053
País Vasco ,9.37457789514784,3.3073085593520966,10.583067102283076
"Rioja, La",9.690499811835004,3.1795797818914515,15.086558549821952
