anio,tabla,pregunta,ambito,categoria,TOTAL,DE 5 A 9 TRABAJADORES,DE 10 A 49 TRABAJADORES,DE 50 A 249 TRABAJADORES,DE 250 A 499 TRABAJADORES,MÁS DE 499 TRABAJADORES
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,De dirección,39.91,36.411,43.242,46.37,43.679,51.599
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,De trabajo en equipo,58.868,61.092,57.303,52.457,47.959,45.956
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,De atención al público/ trato a clientes,49.737,55.038,45.58,34.963,33.399,34.232
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,Administrativas de oficina,17.702,17.661,18.34,14.941,14.166,8.715
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,Técnicas específicas del puesto de trabajo,23.85,21.635,24.593,35.016,38.859,39.31
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",34.018,32.252,35.999,36.183,34.727,30.909
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,En lenguas extranjeras,9.962,9.095,9.825,16.45,20.364,18.871
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,Generales de tecnologías de la información,12.539,9.908,14.28,20.816,25.48,28.15
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,Profesionales de tecnologías de la información,5.794,4.464,6.564,10.309,13.379,17.179
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,De cálculo o lingüísticas,0.749,0.744,0.779,0.661,0.443,0.313
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,De comunicación oral o escrita,2.314,2.082,2.354,3.742,3.443,4.451
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,Otras,5.378,5.732,4.967,4.909,6.099,6.332
2020,EAL-16,"EMPRESAS, SEGÚN TAMAÑO DE LA EMPRESA, POR COMPETENCIAS CONSIDERADAS IMPORTANTES PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS (1)",total_empresas,No sabe,1.276,1.2,1.165,2.186,3.738,3.824
