anio,tabla,pregunta,ambito,TOTAL,NADA,POCO,BASTANTE,MUCHO
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Responder a un sistema predeterminado de promoción interna,100,22.184,42.218,29.722,5.876
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Readaptar al personal a los cambios técnicos introducidos en la empresa,100,10.611,22.478,52.699,14.213
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Readaptar al personal a los cambios organizativos introducidos en la empresa,100,12.179,28.625,47.21,11.986
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,100,6.553,14.63,53.766,25.05
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,100,7.272,23.206,51.771,17.751
2023,EAL-23,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Adaptación impuesta por cambios normativos,100,8.343,24.602,45.748,21.307
2023,EAL-23a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Responder a un sistema predeterminado de promoción interna,100,23.359,42.234,28.795,5.611
2023,EAL-23a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Readaptar al personal a los cambios técnicos introducidos en la empresa,100,11.255,22.933,52.249,13.563
2023,EAL-23a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Readaptar al personal a los cambios organizativos introducidos en la empresa,100,12.868,28.87,46.685,11.577
2023,EAL-23a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,100,6.955,15.043,53.678,24.324
2023,EAL-23a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,100,7.577,23.27,51.543,17.61
2023,EAL-23a,"EMPRESAS DE 5 A 49 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Adaptación impuesta por cambios normativos,100,8.677,24.332,45.706,21.286
2023,EAL-23b,"EMPRESAS DE 50 A 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Responder a un sistema predeterminado de promoción interna,100,11.797,42.462,37.607,8.133
2023,EAL-23b,"EMPRESAS DE 50 A 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Readaptar al personal a los cambios técnicos introducidos en la empresa,100,4.914,18.578,56.761,19.746
2023,EAL-23b,"EMPRESAS DE 50 A 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Readaptar al personal a los cambios organizativos introducidos en la empresa,100,6.033,26.463,51.917,15.587
2023,EAL-23b,"EMPRESAS DE 50 A 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Adaptar al personal recién incorporado a las técnicas y sistemas de la empresa,100,2.984,10.991,54.725,31.301
2023,EAL-23b,"EMPRESAS DE 50 A 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Mejorar la cualificación básica del personal para compensar su insuficiencia o inadecuación formativa,100,4.581,22.381,53.948,19.091
2023,EAL-23b,"EMPRESAS DE 50 A 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Adaptación impuesta por cambios normativos,100,5.406,27.051,46.119,21.424
2023,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Responder a un sistema predeterminado de promoción interna,100,6.437,37.469,45.733,10.36
2023,EAL-23c,"EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE RELEVANCIA DE POSIBLES OBJETIVOS DE LAS ACCIONES FORMATIVAS",Readaptar al personal a los cambios técnicos introducidos en la empresa,100,1.92,14.956,57.677,25.447
