ENCUESTA ANUAL LABORAL,,,,,,EAL
,,,,,,Volver al índice
"EAL-17. EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",,,,,,
Año 2024. Porcentaje sobre el total de empresas en cada categoría.,,,,,,
,TOTAL,EMPRESAS QUE PROPORCIONAN FORMACIÓN,,,,EMPRESAS QUE NO PROPORCIONAN FORMACIÓN
,,Total ,Impartición de cursos y otros tipos de formación (1),Sólo impartición de cursos (1),Sólo otros tipos de formación (1),
TOTAL,100,73.468,60.22,25.366,14.415,26.532
TAMAÑO DE LA EMPRESA,,,,,,
De 5 a 9 trabajadores,100,65.319,51.321,28.014,20.665,34.681
De 10 a 49 trabajadores,100,79.228,64.481,25.163,10.356,20.772
De 50 a 249 trabajadores,100,94.759,79.559,15.091,5.349,5.241
De 250 a 499 trabajadores,100,98.371,85.856,11.71,2.434,1.629
Más de 499 trabajadores,100,99.298,88.305,9.742,1.953,0.702
ACTIVIDAD ECONÓMICA,,,,,,
Industria,100,76.222,64.223,20.911,14.866,23.778
Construcción,100,77.713,61.593,29.467,8.94,22.287
Comercio y reparación de vehículos,100,73.959,62.349,23.788,13.863,26.041
Transporte y almacenamiento,100,77.405,55.376,34.796,9.828,22.595
Hostelería,100,60.735,42.63,36.362,21.008,39.265
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",100,80.544,73.696,13.463,12.84,19.456
"Actividades profesionales, científicas y técnicas",100,81.788,66.118,18.706,15.177,18.212
Actividades administrativas y servicios auxiliares,100,74.261,64.392,22.657,12.951,25.739
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100,73.509,62.515,20.437,17.047,26.491
COMUNIDAD AUTÓNOMA,,,,,,
Andalucía ,100,73.324,53.315,31.577,15.109,26.676
Aragón ,100,73.588,62.546,23.485,13.969,26.412
Asturias (Principado de),100,73.02,55.7,31.219,13.081,26.98
Balears (Illes),100,61.539,61.355,24.875,13.77,38.461
Canarias ,100,69.622,58.685,25.936,15.379,30.378
Cantabria ,100,71.587,63.019,27.056,9.925,28.413
Castilla-La Mancha,100,73.928,58.307,24.862,16.831,26.072
Castilla y León,100,70.568,55.103,29.104,15.794,29.432
Cataluña ,100,76.296,65.436,20.504,14.06,23.704
Comunitat Valenciana ,100,74.32,58.492,27.612,13.896,25.68
Extremadura ,100,75.343,60.458,25.756,13.786,24.657
Galicia ,100,75.145,62.84,21.214,15.946,24.855
Madrid (Comunidad de),100,72.991,62.348,22.853,14.799,27.009
Murcia (Región de),100,76.934,57.263,30.705,12.032,23.066
Navarra (Comunidad Foral de),100,78.843,62.267,22.001,15.732,21.157
País Vasco ,100,71.171,64.009,24.95,11.042,28.829
"Rioja, La",100,70.224,62.081,21.054,16.865,29.776
(1) Los porcentajes en estas columnas se calculan respecto al total de empresas que proporcionan formación en cada categoría.,,,,,,
