ENCUESTA ANUAL LABORAL,EAL
,Volver al índice
"EAL-18c. EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SOBRE SEGURIDAD, SALUD E HIGIENE EN EL TRABAJO POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",
Año 2024. Porcentaje sobre el total de empresas en cada categoría.,
                         ,PORCENTAJE DE EMPRESAS QUE PROPORCIONARON FORMACIÓN EN SEGURIDAD Y SALUD LABORAL
                         ,
TOTAL,75.813
TAMAÑO DE LA EMPRESA,
De 5 a 9 trabajadores,68.611
De 10 a 49 trabajadores,81.343
De 50 a 249 trabajadores,92.156
De 250 a 499 trabajadores,95.577
Más de 499 trabajadores,96.501
ACTIVIDAD ECONÓMICA,
Industria,81.214
Construcción,81.458
Comercio y reparación de vehículos,74.164
Transporte y almacenamiento,81.207
Hostelería,73.552
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",73.552
"Actividades profesionales, científicas y técnicas",69.61
Actividades administrativas y servicios auxiliares,75.604
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",69.206
COMUNIDAD AUTÓNOMA,
Andalucía ,76.023
Aragón ,71.581
Asturias (Principado de),71.816
Balears (Illes),69.231
Canarias ,78.616
Cantabria ,70.111
Castilla-La Mancha,80.034
Castilla y León,68.388
Cataluña ,79.948
Comunitat Valenciana ,81.864
Extremadura ,72.441
Galicia ,73.287
Madrid (Comunidad de),74.704
Murcia (Región de),80.108
Navarra (Comunidad Foral de),67.513
País Vasco ,62.846
"Rioja, La",69.049
