anio,tabla,proporcionaron_formacion,pregunta,ambito,NADA,POCO,BASTANTE,MUCHO
2024,EAL-24,Si,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,8.964,19.548,53.724,17.765
2024,EAL-24,Si,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",21.954,25.684,39.843,12.519
2024,EAL-24,Si,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,Dificultad para evaluar la necesidades de formación de la empresa,31.45,51.904,14.719,1.928
2024,EAL-24,Si,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,La falta de cursos de formación adecuados en el mercado,26.775,45.123,20.708,7.394
2024,EAL-24,Si,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,El alto coste de los cursos de formación,21.532,36.681,28.491,13.295
2024,EAL-24,Si,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,68.584,23.204,6.415,1.797
2024,EAL-24,Si,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,32.592,42.286,20.426,4.696
2024,EAL-24,Si,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,15.221,28.392,39.031,17.356
2024,EAL-24,Si,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,Dificultad para acceder a ayudas o subvenciones públicas,25.833,36.915,23.157,14.095
2024,EAL-24,Si,EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,Otras razones,68.296,22.73,5.969,3.004
2024,EAL-24c,Si,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS,El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,12.96,33.75,47.697,5.594
2024,EAL-24c,Si,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS,"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",16.438,45.815,31.742,6.005
2024,EAL-24c,Si,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS,Dificultad para evaluar la necesidades de formación de la empresa,31.285,55.211,12.062,1.442
2024,EAL-24c,Si,EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS,La falta de cursos de formación adecuados en el mercado,26.306,53.799,17.182,2.713
