anio,tabla,pregunta,ambito,categoria,EMPRESAS QUE REALIZARON SUSPENSIÓN DE CONTRATO/REDUCCIÓN DE JORNADA,TOTAL,EL 0'%,MÁS DEL 0% HASTA EL 25%,MÁS DEL 25% HASTA EL 50%,MÁS DEL 50% HASTA EL 75%,MÁS DEL 75% HASTA EL 100%,EL 100%
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",tamano_empresa,De 5 a 9 trabajadores,0.7638446849140674,100,85.635,9.391,1.418,2.351,0.0,1.206
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",tamano_empresa,De 10 a 49 trabajadores,1.5639832762184325,100,82.378,13.232,0.0,2.052,0.312,2.025
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",tamano_empresa,De 50 a 249 trabajadores,3.367700688847868,100,64.167,23.95,4.927,1.052,1.926,3.978
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",tamano_empresa,De 250 a 499 trabajadores,9.91926182237601,100,69.215,19.402,4.646,0.0,3.834,2.904
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",tamano_empresa,Más de 499 trabajadores,11.78743961352657,100,66.136,26.049,5.791,1.364,0.325,0.334
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Industria,3.526077097505669,100,79.042,12.156,0.385,1.863,0.546,6.008
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Construcción,0.1312219207330634,100,84.067,8.563,0.058,5.92,1.391,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Comercio y reparación de vehículos,0.2306481334586236,100,85.276,11.029,1.964,0.0,0.0,1.732
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Transporte y almacenamiento,0.8512363194162951,100,82.853,16.628,0.328,0.0,0.191,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Hostelería,2.805053378605733,100,86.534,13.319,0.128,0.019,0.0,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",1.1781716917474427,100,73.417,25.752,0.716,0.116,0.0,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,"Actividades profesionales, científicas y técnicas",0.3409503083061299,100,66.559,29.363,2.09,0.0,1.988,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,Actividades administrativas y servicios auxiliares,1.40594863465638,100,85.59,9.907,3.315,0.094,1.094,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",sector,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",1.0023584905660377,100,68.871,6.066,6.637,12.714,0.063,5.65
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ccaa,Andalucía,1.9491814155324831,100,86.189,8.659,2.918,0.933,0.0,1.301
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ccaa,Aragón,1.0577213659715927,100,94.925,3.531,1.291,0.0,0.253,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ccaa,Asturias (Principado de),0.7723833543505675,100,83.657,7.451,0.0,0.0,8.892,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ccaa,Balears (Illes),0.035288928098809,100,73.093,26.907,0.0,0.0,0.0,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ccaa,Canarias,0.3312412831241283,100,77.763,22.237,0.0,0.0,0.0,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ccaa,Cantabria,1.1125158027812896,100,78.692,11.272,0.629,9.408,0.0,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ccaa,Castilla-La Mancha,0.4627844195912071,100,98.346,1.416,0.239,0.0,0.0,0.0
2024,EAL-18b,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES EN SUSPENSIÓN DE CONTRATO Y/O REDUCCION DE JORNADA POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ccaa,Castilla y León,1.1032051700502643,100,95.891,3.299,0.0,0.0,0.0,0.81
