anio,hoja,estado,origen,filas,columnas,detalle
2020,EAL-16,ok,interim,13,11,
2020,EAL-17,ok,interim,32,11,
2020,EAL-18,ok,interim,32,11,
2020,EAL-18a,faltante,interim,0,0,CSV no encontrado en interim
2020,EAL-18b,faltante,interim,0,0,CSV no encontrado en interim
2020,EAL-18c,faltante,interim,0,0,CSV no encontrado en interim
2020,EAL-19,ok,interim,6,9,
2020,EAL-20,ok,interim,12,11,
2020,EAL-21,ok,interim,12,8,
2020,EAL-22,ok,interim,216,6,
2020,EAL-23,faltante,interim,0,0,CSV no encontrado en interim
2020,EAL-24,ok,interim,56,9,
2020,EAL-25,ok,interim,48,9,
2021,EAL-16,ok,interim,70,9,
2021,EAL-17,ok,interim,32,11,
2021,EAL-18,ok,interim,32,11,
2021,EAL-18a,faltante,interim,0,0,CSV no encontrado en interim
2021,EAL-18b,faltante,interim,0,0,CSV no encontrado en interim
2021,EAL-18c,faltante,interim,0,0,CSV no encontrado en interim
2021,EAL-19,ok,interim,6,9,
2021,EAL-20,ok,interim,11,11,
2021,EAL-21,ok,interim,11,8,
2021,EAL-22,ok,interim,198,6,
2021,EAL-23,ok,interim,42,9,
2021,EAL-24,ok,interim,56,9,
2021,EAL-25,ok,interim,66,9,
2022,EAL-16,ok,interim,70,9,
2022,EAL-17,ok,interim,32,11,
2022,EAL-18,ok,interim,32,11,
2022,EAL-18a,faltante,interim,0,0,CSV no encontrado en interim
2022,EAL-18b,faltante,interim,0,0,CSV no encontrado en interim
2022,EAL-18c,faltante,interim,0,0,CSV no encontrado en interim
2022,EAL-19,ok,interim,6,9,
2022,EAL-20,ok,interim,11,11,
2022,EAL-21,ok,interim,11,8,
2022,EAL-22,ok,interim,198,6,
2022,EAL-23,ok,interim,42,9,
2022,EAL-24,ok,interim,56,9,
2022,EAL-25,ok,interim,66,9,
2023,EAL-16,ok,interim,70,9,
2023,EAL-17,ok,interim,32,11,
2023,EAL-18,ok,interim,32,11,
2023,EAL-18a,ok,interim,32,11,
2023,EAL-18b,ok,interim,31,13,
2023,EAL-18c,ok,interim,31,6,
2023,EAL-19,ok,interim,6,9,
2023,EAL-20,ok,interim,11,11,
2023,EAL-21,ok,interim,11,8,
2023,EAL-22,ok,interim,198,6,
2023,EAL-23,ok,interim,42,9,
2023,EAL-24,ok,interim,70,9,
2023,EAL-25,ok,interim,60,9,
2024,EAL-16,ok,interim,70,9,
2024,EAL-17,ok,interim,32,11,
2024,EAL-18,ok,interim,32,11,
2024,EAL-18a,ok,interim,32,11,
2024,EAL-18b,ok,interim,31,13,
2024,EAL-18c,ok,interim,31,6,
2024,EAL-19,ok,interim,6,9,
2024,EAL-20,ok,interim,11,11,
2024,EAL-21,ok,interim,11,8,
2024,EAL-22,ok,interim,198,6,
2024,EAL-23,ok,interim,42,9,
2024,EAL-24,ok,interim,70,9,
2024,EAL-25,ok,interim,60,9,
