anio,tabla,pregunta,ambito,TOTAL,NADA,POCO,BASTANTE,MUCHO
2021,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,8.252,11.022,49.075,31.65
2021,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN","La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,22.656,16.102,41.784,19.458
2021,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",Dificultad para evaluar la necesidades de formación de la empresa,100,32.646,45.35,18.455,3.548
2021,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",La falta de cursos de formación adecuados en el mercado,100,32.612,40.011,23.237,4.14
2021,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",El alto coste de los cursos de formación,100,32.471,35.402,24.192,7.935
2021,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,72.632,18.771,7.048,1.549
2021,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,42.927,33.179,20.706,3.189
2021,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,29.947,24.183,35.038,10.832
2021,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",Dificultad para acceder a ayudas o subvenciones públicas,100,33.525,33.42,26.36,6.694
2021,EAL-25,"EMPRESAS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN",Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,43.909,30.088,17.546,8.457
