anio,tabla,pregunta,competencia,comunidad_autonoma,porcentaje
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,TOTAL,11.720302260634622
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,TOTAL,25.101615980470772
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,TOTAL,21.546537946507925
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,TOTAL,15.40415312116101
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,TOTAL,41.047325988805454
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",TOTAL,12.247243827002002
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,TOTAL,8.198404954988762
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,TOTAL,12.089240358825876
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,TOTAL,6.125399452517983
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Básicas de cálculo y/o comunicación oral o escrita,TOTAL,1.914212016953772
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,TOTAL,18.897609802535165
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,ANDALUCÍA,12.36342725704428
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,ANDALUCÍA,28.2296172212916
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,ANDALUCÍA,21.496612245918445
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,ANDALUCÍA,15.41615621171588
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,ANDALUCÍA,36.450233767532566
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",ANDALUCÍA,11.130834812610946
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,ANDALUCÍA,4.720354026551991
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,ANDALUCÍA,9.20069005175388
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,ANDALUCÍA,4.812860964572343
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Básicas de cálculo y/o comunicación oral o escrita,ANDALUCÍA,1.0800810060754558
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,ANDALUCÍA,20.809060679550967
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,ARAGÓN,10.530391018195896
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,ARAGÓN,21.40921409214092
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,ARAGÓN,19.008904374758032
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,ARAGÓN,16.350496838301716
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,ARAGÓN,51.47761001419538
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",ARAGÓN,12.040263259775456
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,ARAGÓN,5.020002580978191
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,ARAGÓN,12.324170860756226
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,ARAGÓN,5.355529745773648
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Básicas de cálculo y/o comunicación oral o escrita,ARAGÓN,0.4516711833785004
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,ARAGÓN,17.421602787456447
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,ASTURIAS (PRINCIPADO DE),6.078304131516331
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,ASTURIAS (PRINCIPADO DE),16.07181483884923
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,ASTURIAS (PRINCIPADO DE),19.143413367942895
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,ASTURIAS (PRINCIPADO DE),11.680726800778714
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,ASTURIAS (PRINCIPADO DE),41.40168721609344
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)","De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",ASTURIAS (PRINCIPADO DE),10.923642656283798
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",En lenguas extranjeras,ASTURIAS (PRINCIPADO DE),9.171533636166991
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Generales de tecnologías de la información,ASTURIAS (PRINCIPADO DE),12.329656067488644
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Profesionales de tecnologías de la información,ASTURIAS (PRINCIPADO DE),7.09495998269522
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Básicas de cálculo y/o comunicación oral o escrita,ASTURIAS (PRINCIPADO DE),0.1081548777849881
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Otras,ASTURIAS (PRINCIPADO DE),24.486264330521305
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De dirección,BALEARS (ILLES),9.880199219275813
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De trabajo en equipo,BALEARS (ILLES),24.59281195315655
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",De atención al público/ trato a clientes,BALEARS (ILLES),27.72916947099206
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Administrativas de oficina,BALEARS (ILLES),16.529815587562258
2023,EAL-22,"EMPRESAS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN COMUNIDAD AUTÓNOMA, POR COMPETENCIAS EN LAS QUE SE HAN FORMADO (1)",Técnicas específicas del puesto de trabajo,BALEARS (ILLES),37.29977116704806
