id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,no_previous_contact,had_previous_contact,age_group,financial_burden,financial_burden_label,education_rank,education_label,job_profile,week_of_month,campaign_group
1,59.0,admin.,married,secondary,no,2343,yes,no,unknown,5,May,1042,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,2.0,Secondary,White Collar,1,0-3
2,56.0,admin.,married,secondary,no,45,no,no,unknown,5,May,1381,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,No burden,2.0,Secondary,White Collar,1,0-3
3,41.0,technician,married,secondary,no,1270,yes,no,unknown,5,May,1381,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,1,0-3
4,55.0,services,married,secondary,no,2476,yes,no,unknown,5,May,579,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,2.0,Secondary,Blue Collar,1,0-3
5,54.0,admin.,married,tertiary,no,184,no,no,unknown,5,May,673,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,No burden,3.0,Tertiary,White Collar,1,0-3
6,42.0,management,single,tertiary,no,0,yes,yes,unknown,5,May,562,2,-1,0,unknown,1,1,0,Adult (36-50),2,High burden,3.0,Tertiary,White Collar,1,0-3
7,56.0,management,married,tertiary,no,830,yes,yes,unknown,6,May,1201,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),2,High burden,3.0,Tertiary,White Collar,1,0-3
8,60.0,retired,divorced,secondary,no,545,yes,no,unknown,6,May,1030,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,2.0,Secondary,Retired,1,0-3
9,37.0,technician,married,secondary,no,1,yes,no,unknown,6,May,608,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,1,0-3
10,28.0,services,single,secondary,no,5090,yes,no,unknown,6,May,1297,3,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,1,0-3
11,38.0,admin.,single,secondary,no,100,yes,no,unknown,7,May,786,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,1,0-3
12,30.0,blue-collar,married,secondary,no,309,yes,no,unknown,7,May,1381,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,1,0-3
13,29.0,management,married,tertiary,no,199,yes,yes,unknown,7,May,1381,4,-1,0,unknown,1,1,0,Young Adult (26-35),2,High burden,3.0,Tertiary,White Collar,1,4-10
14,46.0,blue-collar,single,tertiary,no,460,yes,no,unknown,7,May,1102,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,3.0,Tertiary,Blue Collar,1,0-3
15,31.0,technician,single,tertiary,no,703,yes,no,unknown,8,May,943,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,White Collar,2,0-3
16,35.0,management,divorced,tertiary,no,3837,yes,no,unknown,8,May,1084,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,White Collar,2,0-3
17,32.0,blue-collar,single,primary,no,611,yes,no,unknown,8,May,541,3,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,1.0,Primary,Blue Collar,2,0-3
18,49.0,services,married,secondary,no,-8,yes,no,unknown,8,May,1119,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
19,41.0,admin.,married,secondary,no,55,yes,no,unknown,8,May,1120,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,White Collar,2,0-3
20,49.0,admin.,divorced,secondary,no,168,yes,yes,unknown,8,May,513,1,-1,0,unknown,1,1,0,Adult (36-50),2,High burden,2.0,Secondary,White Collar,2,0-3
21,28.0,admin.,divorced,secondary,no,785,yes,no,unknown,8,May,442,2,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,White Collar,2,0-3
22,43.0,management,single,tertiary,no,2067,yes,no,unknown,8,May,756,1,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,3.0,Tertiary,White Collar,2,0-3
23,43.0,management,divorced,tertiary,no,388,yes,no,unknown,8,May,1381,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,3.0,Tertiary,White Collar,2,0-3
24,43.0,blue-collar,married,primary,no,-192,yes,no,unknown,8,May,1120,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,1.0,Primary,Blue Collar,2,0-3
25,37.0,unemployed,single,secondary,no,381,yes,no,unknown,8,May,985,2,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Unemployed,2,0-3
26,35.0,blue-collar,single,secondary,no,40,yes,no,unknown,9,May,617,4,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,2,4-10
27,31.0,technician,single,tertiary,no,22,yes,no,unknown,9,May,483,3,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,3.0,Tertiary,White Collar,2,0-3
28,43.0,blue-collar,single,secondary,no,3,yes,no,unknown,9,May,929,3,-1,0,unknown,1,1,0,Adult (36-50),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
29,31.0,admin.,married,secondary,no,307,yes,no,unknown,9,May,538,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,White Collar,2,0-3
30,28.0,blue-collar,single,secondary,no,759,yes,no,unknown,9,May,710,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
31,32.0,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,May,653,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,Low burden,2.0,Secondary,Blue Collar,2,0-3
32,60.0,technician,married,primary,no,65,yes,no,unknown,9,May,1028,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),1,Low burden,1.0,Primary,White Collar,2,0-3
