id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,no_previous_contact,had_previous_contact,age_group,housing_score,loan_score,vinculacion,productos_detalle,education_rank,education_label,job_profile,week_of_month,campaign_group,segment,segment_label
1,59.0,admin.,married,secondary,no,2343,yes,no,unknown,5,May,1042,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,1,0-3,Cluster_0,Adultos consolidados
2,56.0,admin.,married,secondary,no,45,no,no,unknown,5,May,1373,1,-1,0,unknown,1,1,0,Mediana edad (55-64),0,0,1,Depósito,2.0,Secondary,White Collar,1,0-3,Cluster_0,Adultos consolidados
3,41.0,technician,married,secondary,no,1270,yes,no,unknown,5,May,1373,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,1,0-3,Cluster_3,Jovenes en consolidación
4,55.0,services,married,secondary,no,2476,yes,no,unknown,5,May,579,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,1,0-3,Cluster_0,Adultos consolidados
5,54.0,admin.,married,tertiary,no,184,no,no,unknown,5,May,673,2,-1,0,unknown,1,1,0,Adultos maduros (45-54),0,0,1,Depósito,3.0,Tertiary,White Collar,1,0-3,Cluster_0,Adultos consolidados
6,42.0,management,single,tertiary,no,0,yes,yes,unknown,5,May,562,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,1,3,Hipoteca + Préstamo + Depósito,3.0,Tertiary,White Collar,1,0-3,Cluster_2,Profesionales estudios superiores
7,56.0,management,married,tertiary,no,830,yes,yes,unknown,6,May,1201,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,1,3,Hipoteca + Préstamo + Depósito,3.0,Tertiary,White Collar,1,0-3,Cluster_0,Adultos consolidados
8,60.0,retired,divorced,secondary,no,545,yes,no,unknown,6,May,1030,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,2.0,Secondary,Retired,1,0-3,Retired,Jubilados
9,37.0,technician,married,secondary,no,1,yes,no,unknown,6,May,608,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,1,0-3,Cluster_2,Profesionales estudios superiores
10,28.0,services,single,secondary,no,5090,yes,no,unknown,6,May,1297,3,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,1,0-3,Cluster_1,Trabajadores técnicos
11,38.0,admin.,single,secondary,no,100,yes,no,unknown,7,May,786,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,1,0-3,Cluster_1,Trabajadores técnicos
12,30.0,blue-collar,married,secondary,no,309,yes,no,unknown,7,May,1373,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,1,0-3,Cluster_1,Trabajadores técnicos
13,29.0,management,married,tertiary,no,199,yes,yes,unknown,7,May,1373,4,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,1,3,Hipoteca + Préstamo + Depósito,3.0,Tertiary,White Collar,1,4-10,Cluster_2,Profesionales estudios superiores
14,46.0,blue-collar,single,tertiary,no,460,yes,no,unknown,7,May,1102,2,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,3.0,Tertiary,Blue Collar,1,0-3,Cluster_3,Jovenes en consolidación
15,31.0,technician,single,tertiary,no,703,yes,no,unknown,8,May,943,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,Cluster_1,Trabajadores técnicos
16,35.0,management,divorced,tertiary,no,3837,yes,no,unknown,8,May,1084,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,Cluster_2,Profesionales estudios superiores
17,32.0,blue-collar,single,primary,no,611,yes,no,unknown,8,May,541,3,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,2,0-3,Cluster_1,Trabajadores técnicos
18,49.0,services,married,secondary,no,-8,yes,no,unknown,8,May,1119,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
19,41.0,admin.,married,secondary,no,55,yes,no,unknown,8,May,1120,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,2,0-3,Cluster_3,Jovenes en consolidación
20,49.0,admin.,divorced,secondary,no,168,yes,yes,unknown,8,May,513,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,1,3,Hipoteca + Préstamo + Depósito,2.0,Secondary,White Collar,2,0-3,Cluster_0,Adultos consolidados
21,28.0,admin.,divorced,secondary,no,785,yes,no,unknown,8,May,442,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,2,0-3,Cluster_1,Trabajadores técnicos
22,43.0,management,single,tertiary,no,2067,yes,no,unknown,8,May,756,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,Cluster_2,Profesionales estudios superiores
23,43.0,management,divorced,tertiary,no,388,yes,no,unknown,8,May,1373,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,Cluster_2,Profesionales estudios superiores
24,43.0,blue-collar,married,primary,no,-192,yes,no,unknown,8,May,1120,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
25,37.0,unemployed,single,secondary,no,381,yes,no,unknown,8,May,985,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Unemployed,2,0-3,Cluster_1,Trabajadores técnicos
26,35.0,blue-collar,single,secondary,no,40,yes,no,unknown,9,May,617,4,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,4-10,Cluster_1,Trabajadores técnicos
27,31.0,technician,single,tertiary,no,22,yes,no,unknown,9,May,483,3,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,Cluster_1,Trabajadores técnicos
28,43.0,blue-collar,single,secondary,no,3,yes,no,unknown,9,May,929,3,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
29,31.0,admin.,married,secondary,no,307,yes,no,unknown,9,May,538,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,2,0-3,Cluster_1,Trabajadores técnicos
30,28.0,blue-collar,single,secondary,no,759,yes,no,unknown,9,May,710,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_1,Trabajadores técnicos
31,32.0,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,May,653,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
32,60.0,technician,married,primary,no,65,yes,no,unknown,9,May,1028,2,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,1.0,Primary,White Collar,2,0-3,Cluster_0,Adultos consolidados
33,26.0,blue-collar,single,secondary,no,82,yes,no,unknown,9,May,654,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_1,Trabajadores técnicos
34,40.0,blue-collar,married,secondary,no,10,yes,no,unknown,9,May,1373,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
35,33.0,blue-collar,divorced,primary,no,390,yes,no,unknown,9,May,665,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,2,0-3,Cluster_1,Trabajadores técnicos
36,32.0,management,single,tertiary,no,311,no,no,unknown,12,May,757,2,-1,0,unknown,1,1,0,Jovenes adultos (25-34),0,0,1,Depósito,3.0,Tertiary,White Collar,2,0-3,Cluster_1,Trabajadores técnicos
37,35.0,blue-collar,married,primary,no,414,no,no,unknown,13,May,504,4,-1,0,unknown,1,1,0,Adultos iniciales (35-44),0,0,1,Depósito,1.0,Primary,Blue Collar,2,4-10,Cluster_3,Jovenes en consolidación
38,33.0,management,divorced,secondary,no,5,yes,no,unknown,13,May,1346,1,-1,0,unknown,1,1,0,Jovenes adultos (25-34),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,2,0-3,Cluster_1,Trabajadores técnicos
39,38.0,management,married,tertiary,no,119,yes,no,unknown,13,May,568,4,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,4-10,Cluster_2,Profesionales estudios superiores
40,23.0,entrepreneur,single,primary,no,4,yes,no,unknown,13,May,395,2,-1,0,unknown,1,1,0,Jovenes (18-24),1,0,2,Hipoteca + Depósito,1.0,Primary,Self-Employed,2,0-3,Cluster_1,Trabajadores técnicos
41,60.0,blue-collar,married,primary,no,1262,yes,yes,unknown,13,May,1015,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,1,3,Hipoteca + Préstamo + Depósito,1.0,Primary,Blue Collar,2,0-3,Cluster_0,Adultos consolidados
42,48.0,management,married,tertiary,no,1949,yes,no,unknown,13,May,683,2,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,2,0-3,Cluster_0,Adultos consolidados
43,45.0,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,May,470,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,3.0,Tertiary,Self-Employed,2,0-3,Cluster_3,Jovenes en consolidación
44,36.0,blue-collar,married,secondary,no,1165,yes,no,unknown,13,May,1001,4,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,4-10,Cluster_3,Jovenes en consolidación
45,52.0,management,married,unknown,no,2240,yes,no,unknown,13,May,845,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,,Unknown,White Collar,2,0-3,Cluster_0,Adultos consolidados
46,35.0,blue-collar,divorced,primary,no,300,yes,no,unknown,13,May,945,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
47,43.0,technician,married,secondary,no,3285,yes,no,unknown,13,May,1373,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,2,0-3,Cluster_3,Jovenes en consolidación
48,52.0,housemaid,married,secondary,no,3923,yes,no,unknown,14,May,942,3,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_0,Adultos consolidados
49,53.0,technician,divorced,primary,no,1443,yes,no,unknown,14,May,476,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,1.0,Primary,White Collar,2,0-3,Cluster_0,Adultos consolidados
50,48.0,blue-collar,divorced,primary,no,24,yes,no,unknown,14,May,832,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
51,41.0,blue-collar,single,primary,no,1618,yes,no,unknown,14,May,1373,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
52,39.0,management,divorced,tertiary,no,517,yes,yes,unknown,14,May,1328,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,1,3,Hipoteca + Préstamo + Depósito,3.0,Tertiary,White Collar,2,0-3,Cluster_2,Profesionales estudios superiores
53,59.0,retired,married,secondary,no,1521,yes,yes,unknown,14,May,1125,2,-1,0,unknown,1,1,0,Mediana edad (55-64),1,1,3,Hipoteca + Préstamo + Depósito,2.0,Secondary,Retired,2,0-3,Retired,Jubilados
54,41.0,blue-collar,married,secondary,no,2823,yes,no,unknown,14,May,858,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
55,48.0,blue-collar,married,secondary,no,1405,yes,no,unknown,14,May,629,2,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
56,40.0,admin.,married,secondary,no,1535,yes,no,unknown,14,May,704,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,White Collar,2,0-3,Cluster_3,Jovenes en consolidación
57,48.0,blue-collar,married,secondary,no,1596,yes,no,unknown,14,May,760,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
58,60.0,retired,married,primary,no,1542,yes,no,unknown,14,May,930,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,1.0,Primary,Retired,2,0-3,Retired,Jubilados
59,40.0,technician,single,unknown,no,3652,yes,no,unknown,14,May,1028,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,,Unknown,White Collar,2,0-3,Cluster_2,Profesionales estudios superiores
60,57.0,technician,married,tertiary,no,-1,no,no,unknown,14,May,850,2,-1,0,unknown,1,1,0,Mediana edad (55-64),0,0,1,Depósito,3.0,Tertiary,White Collar,2,0-3,Cluster_0,Adultos consolidados
61,51.0,blue-collar,married,secondary,no,7180,yes,no,unknown,14,May,927,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_0,Adultos consolidados
62,41.0,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,May,1373,3,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,2,0-3,Cluster_3,Jovenes en consolidación
63,41.0,blue-collar,married,secondary,no,1384,yes,no,unknown,15,May,1162,4,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,2.0,Secondary,Blue Collar,3,4-10,Cluster_3,Jovenes en consolidación
64,52.0,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,May,755,1,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,3,0-3,Cluster_0,Adultos consolidados
65,59.0,blue-collar,married,primary,no,320,yes,no,unknown,15,May,695,1,-1,0,unknown,1,1,0,Mediana edad (55-64),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,3,0-3,Cluster_0,Adultos consolidados
66,44.0,blue-collar,married,unknown,no,146,yes,no,unknown,15,May,483,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,,Unknown,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
67,49.0,unknown,married,primary,no,341,yes,yes,unknown,15,May,520,2,-1,0,unknown,1,1,0,Adultos maduros (45-54),1,1,3,Hipoteca + Préstamo + Depósito,1.0,Primary,Unknown,3,0-3,Cluster_0,Adultos consolidados
68,40.0,services,married,primary,no,-9,yes,no,unknown,15,May,920,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,1.0,Primary,Blue Collar,3,0-3,Cluster_3,Jovenes en consolidación
69,41.0,admin.,married,primary,no,-306,yes,no,unknown,15,May,500,1,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,1.0,Primary,White Collar,3,0-3,Cluster_2,Profesionales estudios superiores
70,44.0,technician,married,tertiary,no,4580,yes,no,unknown,15,May,911,2,-1,0,unknown,1,1,0,Adultos iniciales (35-44),1,0,2,Hipoteca + Depósito,3.0,Tertiary,White Collar,3,0-3,Cluster_2,Profesionales estudios superiores
