Variable,Definición
n_canales_uso_banco,Número de canales utilizados para relacionarse con el banco.
usa_banca_digital,Uso de ordenador/tablet o app móvil bancaria.
pref_banca_digital,Preferencia por ordenador/tablet o app móvil bancaria.
usa_pago_digital,Uso de aplicaciones o banca online para realizar pagos.
n_productos_financieros,Número de familias/productos financieros actualmente contratados.
tiene_vehiculo_ahorro,Tenencia de algún producto de ahorro o inversión.
tiene_exposicion_credito,"Tenencia de hipoteca, préstamo personal o tarjeta de crédito."
tiene_seguro,Tenencia de seguro de vida o seguro médico.
ahorra_12m,Ha utilizado al menos un mecanismo de ahorro en los últimos 12 meses.
n_vehiculos_ahorro,Número de mecanismos de ahorro utilizados.
ahorro_formal,"Uso de cuentas, depósitos, fondos o planes de pensiones para ahorrar."
ahorro_informal,"Uso de efectivo, familia, inmuebles, remesas u otros mecanismos."
n_fuentes_ingreso,Número de fuentes actuales o previstas de ingresos.
ingreso_por_activos,Obtiene o prevé obtener ingresos mediante activos o ahorros.
dependencia_ingresos_familiares,"Dependencia de pareja, familia, ayudas o instituciones."
score_disciplina_financiera,"Media 1–5 de control, pago puntual, vigilancia e información."
score_preocupacion_financiera,"Media 1–5 de preocupación, endeudamiento e inquietud."
score_planificacion_financiera,Media 1–5 orientada al futuro; ítems negativos invertidos.
puntos_destino_consumo,Puntos del ingreso extra destinados a consumo.
puntos_destino_ahorro,Puntos del ingreso extra destinados a ahorro.
puntos_destino_deuda,Puntos del ingreso extra destinados a pagar deuda.
score_alfabetizacion_financiera,"Aciertos 0–3: inflación, interés compuesto y diversificación."
score_numeracy_financiera,Aciertos 0–3 en cálculos financieros básicos.
score_comprension_riesgo,"Aciertos 0–3 sobre riesgo, diversificación y rendimiento."
score_competencia_economica,Aciertos 0–3 sobre tipos de interés y crecimiento económico.
score_conocimiento_productos,Aciertos 0–2 sobre inflación y características hipotecarias.
barrera_acceso_vivienda,"Presenta barreras de entrada, cuota o acceso hipotecario."
expectativa_subida_precio_vivienda,Puntos asignados a escenarios de subida del precio.
n_dificultades_compra_vivienda,Número de dificultades experimentadas al comprar vivienda.
financiacion_ahorros_activos,Cubrió el déficit utilizando ahorros o vendiendo activos.
financiacion_credito_informal,"Cubrió el déficit mediante familia, adelantos o proveedores."
financiacion_credito_formal,Cubrió el déficit mediante crédito o financiación formal.
financiacion_estres_pago,Utilizó descubierto no autorizado o retrasó pagos.
restriccion_acceso_credito,"Rechazo, concesión parcial o autoexclusión crediticia."
score_fragilidad_financiera,"Índice 0–4: déficit, impagos, pérdida de empleo y restricción crediticia."
