ccaaf,a0000,a0100,a1030,a1100,a1500,a1900,b0100,b1201,n_canales_uso_banco,usa_banca_digital,pref_banca_digital,usa_pago_digital,n_productos_financieros,tiene_vehiculo_ahorro,tiene_exposicion_credito,tiene_seguro,ahorra_12m,n_vehiculos_ahorro,ahorro_formal,ahorro_informal,c0100,c0300,c0500,n_fuentes_ingreso,ingreso_por_activos,dependencia_ingresos_familiares,d0300,d0400,d0500,d0600,score_disciplina_financiera,score_preocupacion_financiera,score_planificacion_financiera,puntos_destino_consumo,puntos_destino_ahorro,puntos_destino_deuda,e0100,e0300,score_alfabetizacion_financiera,score_numeracy_financiera,score_comprension_riesgo,score_competencia_economica,score_conocimiento_productos,f1100,i0100,i0510,i1000,barrera_acceso_vivienda,expectativa_subida_precio_vivienda,n_dificultades_compra_vivienda,j0100,j0110,j0200,j0400,j1000,j1201,j1203,j1300,financiacion_ahorros_activos,financiacion_credito_informal,financiacion_credito_formal,financiacion_estres_pago,restriccion_acceso_credito,score_fragilidad_financiera
Andalucía,Mujer,España,Casado,"g. Diplomaturas universitarias, grados universitarios de 240 créditos y similares",b. Trabaja por cuenta ajena,No,Sí,No,3,1,0,1,3,0,1,0,1,1,0,1,1 (MUY MAL),60,No ha lugar (no aplica filtro),2,0,1,2.000 euros hoy,2.000 euros hoy,No ha lugar (no aplica filtro),20,3.75,4.4,3.2,5.0,3.0,1.0,3- Medios,500.0,0,2,2,3,2,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),No,0,2.0,0,Sí,No,Sí,g. Un año o más,No,No,No,d. Entre 27.001 y 47.000 euros,1,0,0,0,0,1
Canarias,Mujer,España,Soltero,"h. Grados universitarios de más de 240 créditos, licenciaturas, másteres y similares",b. Trabaja por cuenta ajena,No,Sí,No,5,1,0,1,3,0,1,1,0,0,0,0,3 (REGULAR),67,No ha lugar (no aplica filtro),1,0,0,2.000 euros hoy,2.000 euros hoy,No ha lugar (no aplica filtro),50,4.0,3.6,3.6,2.0,0.0,8.0,3- Medios,No sabe,1,2,0,0,1,Titular muestral,b. Propiedad por herencia o regalo (mayoritariamente),No ha lugar (no aplica filtro),Sí,0,7.0,0,Sí,No,Sí,"c. Por lo menos un mes, pero menos de tres meses",No,No,Sí,d. Entre 27.001 y 47.000 euros,0,1,0,0,1,2
Extremadura,Hombre,España,Viudo,d. Segunda etapa de Educación Secundaria y similar,b. Trabaja por cuenta ajena,No,Sí,No,3,1,1,1,6,1,1,1,1,3,1,0,4 (BIEN),60,No ha lugar (no aplica filtro),5,1,0,2.200 euros dentro de un año,No ha lugar (no aplica filtro),2.100 euros dentro de un año,0,3.75,2.4,3.6,5.0,5.0,0.0,3- Medios,5.0,3,3,3,3,2,No ha lugar (no aplica filtro),b. Propiedad por herencia o regalo (mayoritariamente),No ha lugar (no aplica filtro),Sí,0,10.0,0,No,No,No,g. Un año o más,No,No,No,d. Entre 27.001 y 47.000 euros,0,0,0,0,0,0
Canarias,Hombre,España,Casado,d. Segunda etapa de Educación Secundaria y similar,b. Trabaja por cuenta ajena,No,Sí,No,3,1,1,1,5,1,1,1,1,1,1,0,4 (BIEN),62,No ha lugar (no aplica filtro),2,0,0,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),50,4.5,4.0,4.0,8.0,2.0,0.0,3- Medios,100.0,0,3,1,3,2,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,Sí,No,1,8.0,2,No,No,No,"d. Por lo menos tres meses, pero menos de seis meses",No,No,No,d. Entre 27.001 y 47.000 euros,0,0,0,0,0,0
"Balears, Illes",Hombre,España,Soltero,b. Educación primaria Incluye sabe leer y escribir pero no tiene título,b. Trabaja por cuenta ajena,No,Sí,No,4,1,0,1,2,0,1,0,0,0,0,0,3 (REGULAR),65,No ha lugar (no aplica filtro),2,0,1,2.200 euros dentro de un año,No ha lugar (no aplica filtro),2.100 euros dentro de un año,25,4.0,2.6,3.8,10.0,0.0,0.0,1- Muy bajos,2.0,1,1,1,0,2,Madre,b. Propiedad por herencia o regalo (mayoritariamente),No ha lugar (no aplica filtro),No,0,0.0,0,Sí,Sí,Sí,"b. Por lo menos una semana, pero menos de un mes",Sí,Sí,No,b. Entre 9.501 y 15.000 euros,0,0,1,0,0,3
Canarias,Hombre,España,Casado,b. Educación primaria Incluye sabe leer y escribir pero no tiene título,b. Trabaja por cuenta ajena,No,Sí,No,3,0,0,0,0,0,0,0,1,1,1,0,4 (BIEN),63,No ha lugar (no aplica filtro),2,0,1,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),50,4.25,3.0,3.6,5.0,5.0,0.0,3- Medios,500.0,3,1,2,2,2,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No,No,0,10.0,0,Sí,No,No,g. Un año o más,No,No,No,d. Entre 27.001 y 47.000 euros,0,0,0,0,0,0
"Murcia, Región de",Mujer,España,Casado,f. Enseñanzas de Formación Profesional de Grado Superior y equivalentes,b. Trabaja por cuenta ajena,Sí,Sí,No,5,1,0,1,8,1,1,1,1,1,1,0,4 (BIEN),53,No ha lugar (no aplica filtro),6,1,1,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),70,4.25,2.6,2.2,9.0,0.0,0.0,4- Bastante altos,5.0,3,3,2,2,1,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,10.0,0,No,No,No,"e. Por lo menos seis meses, pero menos de nueve meses",No,No,Sí,f. Más de 71.000 euros,0,0,0,0,0,0
Castilla - La Mancha,Hombre,España,Soltero,b. Educación primaria Incluye sabe leer y escribir pero no tiene título,d. Desempleado,No,No,No,2,0,0,0,0,0,0,0,0,0,0,0,4 (BIEN),65,No ha lugar (no aplica filtro),2,0,1,2.000 euros hoy,2.000 euros hoy,No ha lugar (no aplica filtro),0,2.75,2.6,2.4,10.0,0.0,0.0,1- Muy bajos,No sabe,0,1,1,2,2,Padre,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),No,0,0.0,0,Sí,Sí,No,"c. Por lo menos un mes, pero menos de tres meses",No,No,No,b. Entre 9.501 y 15.000 euros,0,0,0,0,0,0
Castilla - La Mancha,Hombre,España,Casado,d. Segunda etapa de Educación Secundaria y similar,b. Trabaja por cuenta ajena,No,Sí,Sí,2,0,0,0,3,1,1,0,1,1,0,1,3 (REGULAR),67,No ha lugar (no aplica filtro),2,0,0,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),0,4.0,2.6,3.6,7.0,1.0,1.0,1- Muy bajos,100.0,0,2,2,2,1,Titular muestral,d. Cesión gratuita (incluye usufructo y similares),No ha lugar (no aplica filtro),Sí,0,0.0,0,No,Sí,No,"f. Por lo menos nueve meses, pero menos de un año",No,No,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,0
Cantabria,Hombre,España,Casado,c. Primera etapa de Educación Secundaria y similar,a. Trabaja por cuenta propia,No,Sí,No,5,1,1,1,3,0,1,1,0,1,0,1,4 (BIEN),No sabe,No ha lugar (no aplica filtro),2,1,0,2.200 euros dentro de un año,No ha lugar (no aplica filtro),2.100 euros dentro de un año,0,4.25,2.8,3.6,0.0,10.0,0.0,3- Medios,No sabe,1,2,3,3,1,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,0.0,0,Sí,Sí,No,"f. Por lo menos nueve meses, pero menos de un año",No,No,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,0
