Variable_original,Etiqueta_Stata,Estado,Variable_destino
a01,a01: anio de la entrevista,Eliminada: perfil no seleccionado para segmentación,
a02,a02: mes de la entrevista,Eliminada: perfil no seleccionado para segmentación,
a0000,"a0000: es requisito que pregunte su genero, es vd. hombre o mujer?",Conservada directamente,a0000
a0400,a0400: en que anio nacio?,Eliminada: perfil no seleccionado para segmentación,
a04,a04: edad calculada,Conservada directamente,a04
a0800,a0800: me podria decir su edad aproximada?,Eliminada: perfil no seleccionado para segmentación,
a0100,a0100: en que pais nacio?,Conservada directamente,a0100
a0320,a0320: nacio alguno de sus padres fuera de espania?,Conservada directamente,a0320
a1030,a1030: cual es su estado civil actual?,Conservada directamente,a1030
a1040,a1040: cual es su regimen economico matrimonial?,Eliminada: perfil no seleccionado para segmentación,
a0910,a0910: con cuantas personas vive habitualmente (incluyendose a si mismo)?,Conservada directamente,a0910
a1100,a1100: cual es el mayor nivel de formacion que ha alcanzado?,Conservada directamente,a1100
a1200,a1200: cual es el contenido del titulo universitario que ha obtenido?,Eliminada: perfil no seleccionado para segmentación,
a1300,a1300: cual es el contenido del titulo de formacion profesional que ha obtenido?,Eliminada: perfil no seleccionado para segmentación,
a1400,"a1400: cuantos libros habia, donde vivia cuando tenia 10 anios?",Conservada directamente,a1400
a1410,a1410: le explicaron sus padres como encargarse de asuntos financieros?,Conservada directamente,a1410
a1420a,a1420a: ha recibido formación financiera de otra manera?: a. colegio,Agrupada en variable padre,a1420x
a1420b,a1420b: ha recibido formación financiera de otra manera?: b. universidad,Agrupada en variable padre,a1420x
a1420c,a1420c: ha recibido formación financiera de otra manera?: c. trabajo,Agrupada en variable padre,a1420x
a1420d,a1420d: ha recibido formación financiera de otra manera?: d. cursos ,Agrupada en variable padre,a1420x
a1420e,a1420e: ha recibido formación financiera de otra manera?: e. estudios autodirigi,Agrupada en variable padre,a1420x
a1420f,a1420f: ha recibido formación financiera de otra manera?: f. otra via,Agrupada en variable padre,a1420x
a1420g,a1420g: ha recibido formación financiera de otra manera?: g. no,Agrupada en variable padre,a1420x
a1500,a1500: cual es su situacion laboral actual?,Conservada directamente,a1500
a1510,"a1510. si tiene más de una situacion laboral, cual es la secundaria?",Conservada directamente,a1510
a1600,a1600: cual es el nivel de estudios que esta cursando?,Eliminada: perfil no seleccionado para segmentación,
a1520,a1520: trabaja a tiempo completo o parcial?,Conservada directamente,a1520
a1530,a1530: tiene empleados a su cargo?,Conservada directamente,a1530
a2000,a2000: que tipo de contrato laboral tiene?,Eliminada: perfil no seleccionado para segmentación,
a1700,a1700: ha trabajado alguna vez...?,Conservada directamente,a1700
a1710,a1710. cuantos años ha trabajado en total?,Conservada directamente,a1710
a1900,a1900: su trabajo se relaciona/relacionaba con temas financieros?,Conservada directamente,a1900
a2100,a2100: probabilidad de perder su trabajo en los proximos 12 meses?,Eliminada: perfil no seleccionado para segmentación,
a2200,a2200: probabilidad de encontrar un trabajo en los proximos 12 meses con...?,Eliminada: perfil no seleccionado para segmentación,
a2300,a2300: probabilidad de encontrar un trabajo en los proximos 12 meses?,Eliminada: perfil no seleccionado para segmentación,
a2500,a2500: cual es el mayor nivel de formacion que ha alcanzado su pareja?,Eliminada: perfil no seleccionado para segmentación,
a2400,a2400: cual es la situacion laboral actual de su conyuge o pareja?,Eliminada: perfil no seleccionado para segmentación,
a2600,a2600: seleccione la categoria que mas se aproxima a la ocupacion de su madre,Eliminada: perfil no seleccionado para segmentación,
a2700,a2700: seleccione la categoria que mas se aproxima a la ocupacion de su padre,Eliminada: perfil no seleccionado para segmentación,
b0100,"b0100: poseen cuentas corrientes, libretas u otros depositos...?",Conservada directamente,b0100
b0110a,b0110a: en los ultimos 12 meses...: a. visitando personalmente alguna oficina,Agrupada en variable padre,b0110x
b0110b,b0110b: en los ultimos 12 meses...: b. usando un cajero automatico,Agrupada en variable padre,b0110x
b0110c,b0110c: en los ultimos 12 meses...: c. llamando por telefono,Agrupada en variable padre,b0110x
b0110d,b0110d: en los ultimos 12 meses...: d. usando ordenador/tablet,Agrupada en variable padre,b0110x
b0110e,b0110e: en los ultimos 12 meses...: e. usando el telefono movil (apps),Agrupada en variable padre,b0110x
b0110f,b0110f: en los ultimos 12 meses...: f. otros,Agrupada en variable padre,b0110x
b0110g,b0110g: en los ultimos 12 meses...: g. no he accedido en los ultimos 12 meses,Agrupada en variable padre,b0110x
b0120a,b0120a: en que manera prefiera relacionarse con un banco: a. visitando personalm,Agrupada en variable padre,b0120x
b0120b,b0120b: en que manera prefiera relacionarse con un banco: b. usando un cajero au,Agrupada en variable padre,b0120x
b0120c,b0120c: en que manera prefiera relacionarse con un banco: c. llamando por telefo,Agrupada en variable padre,b0120x
b0120d,b0120d: en que manera prefiera relacionarse con un banco: d. usando el ordenador,Agrupada en variable padre,b0120x
b0120e,b0120e: en que manera prefiera relacionarse con un banco: e. usando el telefono ,Agrupada en variable padre,b0120x
b0120f,b0120f: en que manera prefiera relacionarse con un banco: f. otros,Agrupada en variable padre,b0120x
b0130a,"b0130a: en los últimos 12 meses, ha realizado algun pago…?: a. utilizando una ap",Agrupada en variable padre,b0130x
b0130b,"b0130b:en los últimos 12 meses, ha realizado algun pago…?: b. utilizando apps ba",Agrupada en variable padre,b0130x
b0130c,"b0130c: en los últimos 12 meses, ha realizado algun pago…?: c. ninguna de ellas",Agrupada en variable padre,b0130x
b0208,b0208: ha oido hablar de las cuentas o depositos de ahorro o a plazo...?,Conservada directamente,b0208
b0308,"b0308: en la actualidad tiene, personal o conjuntamente, alguna cuenta...?",Conservada directamente,b0308
b0408,"b0408: en los ultimos 2 anios ha contratado,(...) cuenta o deposito de ahorro...",Conservada directamente,b0408
b0201,b0201: ha oido hablar de las hipotecas? ,Conservada directamente,b0201
b0301,"b0301: en la actualidad tiene, personal o conjuntamente, alguna hipoteca?",Conservada directamente,b0301
b0401,"b0401: en los ultimos 2 anios ha contratado,(...) alguna hipoteca...?",Conservada directamente,b0401
b0202,b0202: ha oido hablar de los planes de pensiones individuales o de empresa?,Conservada directamente,b0202
b0302,b0302: en la actualidad tiene algun plan de pensiones individual o de empresa?,Conservada directamente,b0302
b0402,"b0402: en los ultimos 2 anios ha contratado,(...) plan de pensiones...?",Conservada directamente,b0402
b0203,b0203: ha oido hablar de los fondos de inversion?,Conservada directamente,b0203
b0303,"b0303: en la actualidad tiene, personal o conjuntamente, fondo de inversion?",Conservada directamente,b0303
b0403,"b0403: en los ultimos 2 anios ha contratado,(...)algun fondo de inversion...?",Conservada directamente,b0403
b0204,b0204: ha oido hablar de las acciones?,Conservada directamente,b0204
b0304,"b0304: en la actualidad tiene, personal o conjuntamente, acciones de empresas?",Conservada directamente,b0304
b0404,"b0404: en los ultimos 2 anios ha adquirido,(...)acciones de alguna empresa...?",Conservada directamente,b0404
b0205,b0205: ha oido hablar de los activos de renta fija publica/privada...?,Conservada directamente,b0205
b0305,"b0305: en la actualidad tiene, (...) algun activo de renta fija publica/privada?",Conservada directamente,b0305
b0405,"b0405: en los ultimos 2 anios ha adquirido,(...) algun activo de renta fija...?",Conservada directamente,b0405
b0206,b0206: ha oido hablar de los prestamos personales?,Conservada directamente,b0206
b0306,"b0306: en la actualidad tiene, personal o conjuntamente, prestamo personal?",Conservada directamente,b0306
b0406,"b0406: en los ultimos 2 anios ha adquirido,(...) algun prestamo personal...?",Conservada directamente,b0406
b0207,b0207: ha oido hablar de las tarjetas de credito?,Conservada directamente,b0207
b0307,"b0307: en la actualidad tiene, personal o conjuntamente, tarjeta de credito?",Conservada directamente,b0307
b0407,"b0407: en los ultimos 2 anios ha adquirido,(...) alguna tarjeta de credito...?",Conservada directamente,b0407
b0209,b0209: ha oido hablar de los seguros de vida?,Conservada directamente,b0209
b0309,b0309: en la actualidad tiene suscrito algun seguro de vida?,Conservada directamente,b0309
b0409,"b0409: en los ultimos 2 anios ha adquirido,(...) algun seguro de vida...?",Conservada directamente,b0409
b0210,b0210: ha oido hablar de los seguros medicos?,Conservada directamente,b0210
b0310,"b0310: en la actualidad tiene suscrito, personal o conjuntamente,seguro medico?",Conservada directamente,b0310
b0410,"b0410: en los ultimos 2 anios ha adquirido,(...) algun seguro medico...?",Conservada directamente,b0410
b0212,b0212: ha oido hablar de las criptomonedas?,Conservada directamente,b0212
b0312,"b0312: en la actualidad tiene suscrito, personal o conjuntamente, algunas cripto",Conservada directamente,b0312
b0412,"b0412: en los ultimos 2 anios ha adquirido,(...) alguna criptomoneda...?",Conservada directamente,b0412
b1100a,b1100a: que productos son exclusivamente suyos?: a. cuenta corriente,Agrupada en variable padre,b1100x
b1100b,b1100b: que productos son exclusivamente suyos?: b. cuenta o deposito de ahorro…,Agrupada en variable padre,b1100x
b1100c,b1100c: que productos son exclusivamente suyos?: c. hipoteca,Agrupada en variable padre,b1100x
b1100d,b1100d: que productos son exclusivamente suyos?: d. fondo de inversion,Agrupada en variable padre,b1100x
b1100e,b1100e: que productos son exclusivamente suyos?: e. acciones,Agrupada en variable padre,b1100x
b1100f,b1100f: que productos son exclusivamente suyos?: f. activos de renta fija,Agrupada en variable padre,b1100x
b1100g,b1100g: que productos son exclusivamente suyos?: g. criptomonedas,Agrupada en variable padre,b1100x
b1100i,b1100i: que productos son exclusivamente suyos?: i. prestamos,Agrupada en variable padre,b1100x
b1100h,b1100h: que productos son exclusivamente suyos?: h. ninguno,Agrupada en variable padre,b1100x
b0502,b0502: cual fue el ultimo producto o servicio contratado por decision propia?,Conservada directamente,b0502
b0503,b0503: se trato de una decision individual o conjunta?,Conservada directamente,b0503
b0600,b0600: cual de las afirmaciones siguientes describe mejor como eligio...?,Conservada directamente,b0600
b0720a,b0720a: que fuentes de informacion utilizaron…: a. comparaciones de productos...,Agrupada en variable padre,b0720x
b0720b,b0720b: que fuentes de informacion utilizaron… :b. recomendacion de un consultor,Agrupada en variable padre,b0720x
b0720c,b0720c: que fuentes de informacion utilizaron…: c. informacion de un anuncio,Agrupada en variable padre,b0720x
b0720d,b0720d: que fuentes de informacion utilizaron…: d. recomendacion de mi pareja,Agrupada en variable padre,b0720x
b0720e,b0720e: que fuentes de informacion utilizaron…: e. recomendacion de familiares,Agrupada en variable padre,b0720x
b0720f,b0720f: que fuentes de informacion utilizaron…: f. recomendacion de amigos o con,Agrupada en variable padre,b0720x
b0720g,b0720g: que fuentes de informacion utilizaron…: g. informacion proporcionada por,Agrupada en variable padre,b0720x
b0720h,b0720h: que fuentes de informacion utilizaron…: h. otros,Agrupada en variable padre,b0720x
b0720i,b0720i: que fuentes de informacion utilizaron…: i. ninguna,Agrupada en variable padre,b0720x
b0710a,b0710a: que fuentes de informacion influyeron mas: a. comparaciones de productos,Agrupada en variable padre,b0710x
b0710b,b0710b: que fuentes de informacion influyeron mas: b. recomendacion de un consul,Agrupada en variable padre,b0710x
b0710c,b0710c: que fuentes de informacion influyeron mas: c. informacion de un anuncio,Agrupada en variable padre,b0710x
b0710d,b0710d: que fuentes de informacion influyeron mas: d. recomendacion de mi pareja,Agrupada en variable padre,b0710x
b0710e,b0710e: que fuentes de informacion influyeron mas: e. recomendacionde familiares,Agrupada en variable padre,b0710x
b0710f,b0710f: que fuentes de informacion influyeron mas: f. recomendacion de amigos o ,Agrupada en variable padre,b0710x
b0710g,b0710g: que fuentes de informacion influyeron mas: g. informacion proporcionada ,Agrupada en variable padre,b0710x
b0710h,b0710h: que fuentes de informacion influyeron mas: h. otros,Agrupada en variable padre,b0710x
b0710i,b0710i: que fuentes de informacion influyeron mas: i. ninguna,Agrupada en variable padre,b0710x
b1000a,b1000a: ha estado los ultimos 12 meses: a. ahorrando dinero en metalico,Agrupada en variable padre,b1000x
b1000b,b1000b: ha estado los ultimos 12 meses: b. ahorrando en cuentas corrientes,Agrupada en variable padre,b1000x
b1000c,b1000c: ha estado los ultimos 12 meses: c. ahorrando en cuentas ahorro a plazo,Agrupada en variable padre,b1000x
b1000d,b1000d: ha estado los ultimos 12 meses: d. dando dinero a familiares para que...,Agrupada en variable padre,b1000x
b1000e,b1000e: ha estado los ultimos 12 meses: e. adquiriendo propiedades inmobiliarias,Agrupada en variable padre,b1000x
b1000f,b1000f: ha estado los ultimos 12 meses: f. enviando remesas a familiares,Agrupada en variable padre,b1000x
b1000g,b1000g: ha estado los ultimos 12 meses: g. contribuyendo fondo de inversion...,Agrupada en variable padre,b1000x
