id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,no_previous_contact,had_previous_contact,age_group,default_score,housing_score,loan_score,financial_burden,financial_burden_label,education_rank,education_label,job_profile
1,59.0,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,2.0,Secondary,White Collar
4,55.0,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
5,54.0,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,0,0,0,No burden,3.0,Tertiary,White Collar
6,42.0,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,1,2,Medium burden,3.0,Tertiary,White Collar
8,60.0,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,2.0,Secondary,Retired
9,37.0,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
11,38.0,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
15,31.0,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
17,32.0,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,3,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,1.0,Primary,Blue Collar
20,49.0,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,1,2,Medium burden,2.0,Secondary,White Collar
21,28.0,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,White Collar
22,43.0,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,3.0,Tertiary,White Collar
25,37.0,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Unemployed/Unknown
26,35.0,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,4,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
27,31.0,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,3,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,3.0,Tertiary,White Collar
28,43.0,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,3,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
29,31.0,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,White Collar
30,28.0,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
31,32.0,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,1,-1,0,unknown,1,1,0,Young Adult (26-35),1,1,0,2,Medium burden,2.0,Secondary,Blue Collar
32,60.0,technician,married,primary,no,65,yes,no,unknown,9,may,1028,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,1.0,Primary,White Collar
33,26.0,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,1,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
35,33.0,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,1.0,Primary,Blue Collar
36,32.0,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,0,0,0,No burden,3.0,Tertiary,White Collar
37,35.0,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,4,-1,0,unknown,1,1,0,Young Adult (26-35),0,0,0,0,No burden,1.0,Primary,Blue Collar
39,38.0,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,3.0,Tertiary,White Collar
40,23.0,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,2,-1,0,unknown,1,1,0,Young (18-25),0,1,0,1,Low burden,1.0,Primary,Self-Employed
41,60.0,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,1,2,Medium burden,1.0,Primary,Blue Collar
42,48.0,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,3.0,Tertiary,White Collar
43,45.0,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,3.0,Tertiary,Self-Employed
44,36.0,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,4,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
45,52.0,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,,Unknown,White Collar
46,35.0,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown,1,1,0,Young Adult (26-35),0,1,0,1,Low burden,1.0,Primary,Blue Collar
48,52.0,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,3,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
49,53.0,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,1.0,Primary,White Collar
50,48.0,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,1.0,Primary,Blue Collar
54,41.0,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
55,48.0,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
56,40.0,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,White Collar
57,48.0,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,1,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
58,60.0,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,1.0,Primary,Retired
59,40.0,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,-1,0,unknown,1,1,0,Adult (36-50),0,1,0,1,Low burden,,Unknown,White Collar
60,57.0,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,0,0,0,No burden,3.0,Tertiary,White Collar
61,51.0,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,2.0,Secondary,Blue Collar
64,52.0,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,1,-1,0,unknown,1,1,0,Middle-Aged (51-65),0,1,0,1,Low burden,1.0,Primary,Blue Collar
